league,season,n_clubs,entropy,hhi,mco_rate,state_link_rate,prop_member-owned,count_member-owned,prop_investment fund,count_investment fund,prop_corporate-MCO,count_corporate-MCO,prop_domestic private,count_domestic private,prop_hybrid,count_hybrid,prop_foreign private,count_foreign private,prop_unknown,count_unknown,prop_state-linked,count_state-linked
Bundesliga,2019,18,1.2418892652969198,0.41358024691358025,0.05555555555555555,0.05555555555555555,0.6111111111111112,11,0.0,0,0.05555555555555555,1,0.05555555555555555,1,0.16666666666666666,3,0.0,0,0.05555555555555555,1,0.05555555555555555,1
Bundesliga,2020,18,1.2418892652969198,0.41358024691358025,0.05555555555555555,0.05555555555555555,0.6111111111111112,11,0.0,0,0.05555555555555555,1,0.05555555555555555,1,0.16666666666666666,3,0.0,0,0.05555555555555555,1,0.05555555555555555,1
Bundesliga,2021,18,1.2418892652969198,0.41358024691358025,0.05555555555555555,0.05555555555555555,0.6111111111111112,11,0.0,0,0.05555555555555555,1,0.05555555555555555,1,0.16666666666666666,3,0.0,0,0.05555555555555555,1,0.05555555555555555,1
Bundesliga,2022,18,1.2418892652969198,0.41358024691358025,0.05555555555555555,0.05555555555555555,0.6111111111111112,11,0.0,0,0.05555555555555555,1,0.05555555555555555,1,0.16666666666666666,3,0.0,0,0.05555555555555555,1,0.05555555555555555,1
Bundesliga,2023,18,1.0506652765928128,0.4814814814814815,0.05555555555555555,0.05555555555555555,0.6666666666666666,12,0.0,0,0.05555555555555555,1,0.05555555555555555,1,0.16666666666666666,3,0.0,0,0.0,0,0.05555555555555555,1
Bundesliga,2024,18,1.0506652765928128,0.4814814814814815,0.05555555555555555,0.05555555555555555,0.6666666666666666,12,0.0,0,0.05555555555555555,1,0.05555555555555555,1,0.16666666666666666,3,0.0,0,0.0,0,0.05555555555555555,1
LaLiga,2019,20,1.735433771585304,0.18500000000000003,0.25,0.0,0.2,4,0.1,2,0.1,2,0.15,3,0.25,5,0.2,4,0.0,0,0.0,0
LaLiga,2020,20,1.6264278161136403,0.21500000000000002,0.15,0.0,0.2,4,0.05,1,0.05,1,0.2,4,0.3,6,0.2,4,0.0,0,0.0,0
LaLiga,2021,20,1.6922814607175372,0.19500000000000003,0.2,0.0,0.2,4,0.1,2,0.05,1,0.25,5,0.2,4,0.2,4,0.0,0,0.0,0
LaLiga,2022,20,1.735433771585304,0.18500000000000003,0.15,0.1,0.2,4,0.1,2,0.0,0,0.25,5,0.15,3,0.2,4,0.0,0,0.1,2
LaLiga,2023,20,1.7820471559051687,0.19,0.2,0.1,0.2,4,0.05,1,0.05,1,0.3,6,0.15,3,0.15,3,0.0,0,0.1,2
LaLiga,2024,20,1.8479008005090656,0.17000000000000004,0.25,0.05,0.2,4,0.1,2,0.1,2,0.25,5,0.15,3,0.15,3,0.0,0,0.05,1
Ligue 1,2019,20,1.5387680910402701,0.27,0.25,0.05,0.0,0,0.15,3,0.1,2,0.45,9,0.0,0,0.15,3,0.1,2,0.05,1
Ligue 1,2020,20,1.4717037295887678,0.30500000000000005,0.2,0.05,0.0,0,0.1,2,0.1,2,0.5,10,0.0,0,0.15,3,0.1,2,0.05,1
Ligue 1,2021,20,1.5387680910402701,0.27,0.3,0.1,0.0,0,0.15,3,0.1,2,0.45,9,0.0,0,0.15,3,0.05,1,0.1,2
Ligue 1,2022,20,1.583275505245873,0.24500000000000005,0.35,0.1,0.0,0,0.2,4,0.1,2,0.4,8,0.05,1,0.15,3,0.0,0,0.1,2
Ligue 1,2023,18,1.3979917020604717,0.2901234567901234,0.3333333333333333,0.05555555555555555,0.0,0,0.2222222222222222,4,0.1111111111111111,2,0.4444444444444444,8,0.0,0,0.16666666666666666,3,0.0,0,0.05555555555555555,1
Ligue 1,2024,18,1.4264444338582805,0.271604938271605,0.2777777777777778,0.05555555555555555,0.0,0,0.16666666666666666,3,0.1111111111111111,2,0.3888888888888889,7,0.0,0,0.2777777777777778,5,0.0,0,0.05555555555555555,1
Premier League,2019,20,1.7127324378491742,0.195,0.7,0.1,0.0,0,0.15,3,0.3,6,0.1,2,0.2,4,0.15,3,0.0,0,0.1,2
Premier League,2020,20,1.7228001946245186,0.19,0.6,0.1,0.0,0,0.15,3,0.25,5,0.1,2,0.15,3,0.25,5,0.0,0,0.1,2
Premier League,2021,20,1.7524236752648437,0.18,0.65,0.1,0.0,0,0.15,3,0.25,5,0.15,3,0.2,4,0.15,3,0.0,0,0.1,2
Premier League,2022,20,1.7127324378491742,0.195,0.65,0.1,0.0,0,0.1,2,0.3,6,0.15,3,0.15,3,0.2,4,0.0,0,0.1,2
Premier League,2023,20,1.735433771585304,0.18500000000000003,0.6,0.1,0.0,0,0.1,2,0.25,5,0.2,4,0.15,3,0.2,4,0.0,0,0.1,2
Premier League,2024,20,1.7297223415287137,0.18999999999999997,0.65,0.1,0.0,0,0.15,3,0.3,6,0.15,3,0.15,3,0.15,3,0.0,0,0.1,2
Serie A,2019,20,1.4843373065495533,0.27,0.25,0.0,0.0,0,0.2,4,0.05,1,0.4,8,0.05,1,0.25,5,0.05,1,0.0,0
Serie A,2020,20,1.3491689438896621,0.29500000000000004,0.25,0.0,0.0,0,0.2,4,0.05,1,0.4,8,0.05,1,0.3,6,0.0,0,0.0,0
Serie A,2021,20,1.3491689438896621,0.29500000000000004,0.25,0.0,0.0,0,0.2,4,0.05,1,0.4,8,0.05,1,0.3,6,0.0,0,0.0,0
Serie A,2022,20,1.327362863420189,0.31000000000000005,0.2,0.0,0.0,0,0.25,5,0.05,1,0.45,9,0.05,1,0.2,4,0.0,0,0.0,0
Serie A,2023,20,1.289921982609012,0.33499999999999996,0.25,0.0,0.0,0,0.2,4,0.05,1,0.5,10,0.05,1,0.2,4,0.0,0,0.0,0
Serie A,2024,20,1.4305622903362423,0.265,0.3,0.0,0.0,0,0.2,4,0.1,2,0.35,7,0.05,1,0.3,6,0.0,0,0.0,0
