LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,1920,2019-08-09 Liverpool-Norwich,11643,2019-08-09 20:00:00,0,1,Liverpool,Norwich,4,1,0,0,1,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Mohamed Salah | Divock Origi | Virgil van Dijk | Trent Alexander-Arnold | Jordan Henderson | Joseph Gomez | Roberto Firmino | Fabinho | Georginio Wijnaldum | Alisson | Andrew Robertson,Emiliano Buendía | Kenny McLean | Todd Cantwell | Ben Godfrey | Jamal Lewis | Tom Trybull | Grant Hanley | Teemu Pukki | Max Aarons | Tim Krul | Marco Stiepermann,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-10 West Ham-Manchester City,11644,2019-08-10 12:30:00,0,2,West Ham,Manchester City,0,5,0,0,2,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Issa Diop | Michail Antonio | Ryan Fredericks | Fabián Balbuena | Aaron Cresswell | Jack Wilshere | Lukasz Fabianski | Manuel Lanzini | Felipe Anderson | Declan Rice | Sébastien Haller,Aymeric Laporte | Kyle Walker | Oleksandr Zinchenko | Riyad Mahrez | Ederson | Kevin De Bruyne | John Stones | Rodri | Gabriel Jesus | David Silva | Raheem Sterling,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-10 Bournemouth-Sheffield United,11645,2019-08-10 15:00:00,0,X,Bournemouth,Sheffield United,1,1,0,0,3,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Philip Billing | Jefferson Lerma | Joshua King | Callum Wilson | Diego Rico | Ryan Fraser | Steve Cook | Chris Mepham | Adam Smith | Aaron Ramsdale | Nathan Aké,Callum Robinson | George Baldock | Enda Stevens | John Fleck | Oliver Norwood | Dean Henderson | Jack O'Connell | John Egan | John Lundstram | Chris Basham | David McGoldrick,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-10 Burnley-Southampton,11646,2019-08-10 15:00:00,0,1,Burnley,Southampton,3,0,0,0,5,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Erik Pieters | Ashley Westwood | Johann Berg Gudmundsson | Jack Cork | Nick Pope | Dwight McNeil | Matthew Lowton | Chris Wood | Ashley Barnes | James Tarkowski | Ben Mee,Jan Bednarek | Oriol Romeu | Che Adams | Yan Valery | Jannik Vestergaard | Jack Stephens | Angus Gunn | James Ward-Prowse | Ryan Bertrand | Nathan Redmond | Danny Ings,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-10 Crystal Palace-Everton,11647,2019-08-10 15:00:00,0,X,Crystal Palace,Everton,0,0,0,0,6,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Max Meyer | Vicente Guaita | Martin Kelly | Andros Townsend | Luka Milivojevic | Joel Ward | James McArthur | Patrick van Aanholt | Jordan Ayew | Christian Benteke | Scott Dann,André Gomes | Richarlison | Seamus Coleman | Gylfi Sigurdsson | Michael Keane | Jordan Pickford | Bernard | Morgan Schneiderlin | Dominic Calvert-Lewin | Lucas Digne | Yerry Mina,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-10 Watford-Brighton,11648,2019-08-10 15:00:00,0,2,Watford,Brighton,0,3,0,0,8,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kiko Femenía | Craig Dawson | Will Hughes | Ben Foster | José Holebas | Etienne Capoue | Andre Gray | Troy Deeney | Craig Cathcart | Gerard Deulofeu | Abdoulaye Doucouré,Martín Montoya | Jürgen Locadia | Lewis Dunk | Glenn Murray | Pascal Groß | Dale Stephens | Mat Ryan | Dan Burn | Shane Duffy | Davy Pröpper | Solly March,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-10 Tottenham-Aston Villa,11649,2019-08-10 17:30:00,0,1,Tottenham,Aston Villa,3,1,0,0,9,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Toby Alderweireld | Kyle Walker-Peters | Harry Winks | Moussa Sissoko | Hugo Lloris | Erik Lamela | Harry Kane | Lucas Moura | Tanguy NDombele Alvaro | Davinson Sánchez | Danny Rose,Tyrone Mings | Ahmed Elmohamady | John McGinn | Conor Hourihane | Tom Heaton | Neil Taylor | Anwar El Ghazi | Björn Engels | Trézéguet | Wesley | Jack Grealish,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-11 Leicester-Wolverhampton Wanderers,11651,2019-08-11 14:00:00,0,X,Leicester,Wolverhampton Wanderers,0,0,0,0,10,15,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jonny Evans | Ben Chilwell | James Maddison | Jamie Vardy | Caglar Söyüncü | Kasper Schmeichel | Ricardo Pereira | Wilfred Ndidi | Youri Tielemans | Ayoze Pérez | Hamza Choudhury,Willy Boly | Jonny | Matt Doherty | Raúl Jiménez | Conor Coady | Rúben Neves | João Moutinho | Rui Patrício | Diogo Jota | Ryan Bennett | Leander Dendoncker,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,-1,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-11 Newcastle United-Arsenal,11650,2019-08-11 14:00:00,0,2,Newcastle United,Arsenal,0,1,0,0,12,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Sean Longstaff | Joelinton | Martin Dubravka | Paul Dummett | Javier Manquillo | Jamaal Lascelles | Fabian Schär | Isaac Hayden | Jonjo Shelvey | Miguel Almirón | Matt Ritchie,Sokratis | Henrikh Mkhitaryan | Ainsley Maitland-Niles | Bernd Leno | Joe Willock | Calum Chambers | Granit Xhaka | Reiss Nelson | Nacho Monreal | Pierre-Emerick Aubameyang | Matteo Guendouzi,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-11 Manchester United-Chelsea,11652,2019-08-11 16:30:00,0,1,Manchester United,Chelsea,4,0,0,0,13,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Anthony Martial | Andreas Pereira | Paul Pogba | Victor Lindelöf | David de Gea | Jesse Lingard | Luke Shaw | Aaron Wan-Bissaka | Scott McTominay | Marcus Rashford | Harry Maguire,Kurt Zouma | Ross Barkley | Tammy Abraham | Kepa | Mason Mount | Mateo Kovacic | César Azpilicueta | Andreas Christensen | Jorginho | Emerson | Pedro,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,1920,2019-08-17 Arsenal-Burnley,11653,2019-08-17 12:30:00,0,1,Arsenal,Burnley,2,1,3,3,7,4,4,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,2,1,0,-24,-3,3,0,0,0,1,0,1,0,1,0,63.91,89.45,Sokratis | Henrikh Mkhitaryan | Ainsley Maitland-Niles | Bernd Leno | Joe Willock | Calum Chambers | Granit Xhaka | Reiss Nelson | Nacho Monreal | Pierre-Emerick Aubameyang | Matteo Guendouzi,Erik Pieters | Ashley Westwood | Nick Pope | Jack Cork | Johann Berg Gudmundsson | Dwight McNeil | Matthew Lowton | Chris Wood | James Tarkowski | Ashley Barnes | Ben Mee,8,11,2,0,1,0,3,0,11,11,1,1,1.13,0.91,-0.13,2.09,0.69,0.9,0,0,2,0,0.76,0.91,0.89,0.64,-0.76,-0.91,0.37,0.0,0,3,0,0,0,3,-3,-25.540000000000006,0.21999999999999986,-0.15000000000000002,0.25
