LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2021,2020-09-12 Fulham-Arsenal,14086,2020-09-12 11:30:00,0,2,Fulham,Arsenal,0,3,0,0,1,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Joe Bryan | Tim Ream | Harrison Reed | Ivan Cavaleiro | Tom Cairney | Michael Hector | Denis Odoi | Josh Onomah | Marek Rodák | Aboubakar Kamara | Neeskens Kebano,Héctor Bellerín | Gabriel | Ainsley Maitland-Niles | Willian | Pierre-Emerick Aubameyang | Rob Holding | Bernd Leno | Granit Xhaka | Alexandre Lacazette | Mohamed Elneny | Kieran Tierney,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2021,2020-09-12 Crystal Palace-Southampton,14087,2020-09-12 14:00:00,0,1,Crystal Palace,Southampton,1,0,0,0,2,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Scott Dann | James McCarthy | Joel Ward | Vicente Guaita | Cheikhou Kouyaté | Jeffrey Schlupp | Jordan Ayew | Wilfried Zaha | Tyrick Mitchell | Andros Townsend | James McArthur,Jan Bednarek | Nathan Redmond | Oriol Romeu | Jack Stephens | Ryan Bertrand | Alex McCarthy | Kyle Walker-Peters | James Ward-Prowse | Danny Ings | William Smallbone | Che Adams,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2021,2020-09-12 Liverpool-Leeds,14090,2020-09-12 16:30:00,0,1,Liverpool,Leeds,4,3,0,0,3,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Roberto Firmino | Mohamed Salah | Virgil van Dijk | Joseph Gomez | Naby Keita | Sadio Mané | Jordan Henderson | Trent Alexander-Arnold | Georginio Wijnaldum | Andrew Robertson | Alisson,Kalvin Phillips | Illan Meslier | Luke Ayling | Mateusz Klich | Patrick Bamford | Jack Harrison | Pascal Struijk | Robin Koch | Hélder Costa | Stuart Dallas | Pablo Hernández,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2021,2020-09-12 West Ham-Newcastle United,14091,2020-09-12 19:00:00,0,2,West Ham,Newcastle United,0,2,0,0,4,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Issa Diop | Ryan Fredericks | Tomas Soucek | Lukasz Fabianski | Pablo Fornals | Mark Noble | Michail Antonio | Declan Rice | Angelo Ogbonna | Aaron Cresswell | Jarrod Bowen,Jeff Hendrick | Andy Carroll | Allan Saint-Maximin | Karl Darlow | Javier Manquillo | Jonjo Shelvey | Jamal Lewis | Isaac Hayden | Jamaal Lascelles | Federico Fernández | Callum Wilson,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2021,2020-09-13 West Bromwich Albion-Leicester,14092,2020-09-13 13:00:00,0,2,West Bromwich Albion,Leicester,0,3,0,0,5,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kyle Bartley | Matheus Pereira | Romaine Sawyers | Kieran Gibbs | Jake Livermore | Grady Diangana | Sam Johnstone | Darnell Furlong | Dara O'Shea | Callum Robinson | Semi Ajayi,Youri Tielemans | Harvey Barnes | Jamie Vardy | Caglar Söyüncü | Timothy Castagne | James Justin | Nampalys Mendy | Dennis Praet | Kasper Schmeichel | Wilfred Ndidi | Ayoze Pérez,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2021,2020-09-13 Tottenham-Everton,14093,2020-09-13 15:30:00,0,2,Tottenham,Everton,0,1,0,0,6,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Hugo Lloris | Son Heung-Min | Harry Winks | Harry Kane | Toby Alderweireld | Ben Davies | Dele Alli | Matt Doherty | Pierre-Emile Højbjerg | Lucas Moura | Eric Dier,Michael Keane | Abdoulaye Doucouré | Yerry Mina | Seamus Coleman | Richarlison | Lucas Digne | James Rodríguez | André Gomes | Allan | Jordan Pickford | Dominic Calvert-Lewin,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2021,2020-09-14 Sheffield United-Wolverhampton Wanderers,14094,2020-09-14 17:00:00,0,2,Sheffield United,Wolverhampton Wanderers,0,2,0,0,7,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jack O'Connell | Billy Sharp | Chris Basham | John Fleck | John Lundstram | John Egan | Oliver Norwood | Oliver McBurnie | Aaron Ramsdale | George Baldock | Enda Stevens,Rui Patrício | Fernando Marçal | Conor Coady | João Moutinho | Adama Traoré | Daniel Podence | Pedro Neto | Raúl Jiménez | Romain Saiss | Leander Dendoncker | Willy Boly,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2021,2020-09-14 Brighton-Chelsea,14095,2020-09-14 19:15:00,0,2,Brighton,Chelsea,1,3,0,0,8,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Lewis Dunk | Leandro Trossard | Adam Webster | Mat Ryan | Steven Alzate | Tariq Lamptey | Neal Maupay | Solly March | Yves Bissouma | Adam Lallana | Ben White,Kai Havertz | N'Golo Kanté | Andreas Christensen | Jorginho | Marcos Alonso | Reece James | Ruben Loftus-Cheek | Mason Mount | Timo Werner | Kepa | Kurt Zouma,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2021,2020-09-19 Everton-West Bromwich Albion,14096,2020-09-19 11:30:00,0,1,Everton,West Bromwich Albion,5,2,3,0,8,20,4,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,1,-22,-29,0,0,0,0,0,0,0,0,0,0,87.91,83.73,Michael Keane | Abdoulaye Doucouré | Yerry Mina | Seamus Coleman | Richarlison | Lucas Digne | James Rodríguez | André Gomes | Allan | Jordan Pickford | Dominic Calvert-Lewin,Kyle Bartley | Matheus Pereira | Romaine Sawyers | Kieran Gibbs | Jake Livermore | Grady Diangana | Sam Johnstone | Darnell Furlong | Dara O'Shea | Callum Robinson | Semi Ajayi,11,11,0,0,0,0,0,2,11,11,1,1,1.27,0.35,-0.27,-0.35,0.62,0.79,0,0,3,0,1.27,0.27,0.72,0.22,-1.27,-0.27,0.0,0.0,3,-12,3,0,0,0,0,4.179999999999993,0.92,1.0,0.5
ENG-Premier League,2021,2020-09-19 Leeds-Fulham,14097,2020-09-19 14:00:00,0,1,Leeds,Fulham,4,3,0,0,14,19,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,1,-26,-26,2,4,0,1,1,1,1,1,0,1,73.0,58.36,Kalvin Phillips | Illan Meslier | Luke Ayling | Mateusz Klich | Patrick Bamford | Jack Harrison | Pascal Struijk | Robin Koch | Hélder Costa | Stuart Dallas | Pablo Hernández,Joe Bryan | Tim Ream | Harrison Reed | Ivan Cavaleiro | Tom Cairney | Michael Hector | Denis Odoi | Josh Onomah | Marek Rodák | Aboubakar Kamara | Neeskens Kebano,9,7,1,4,1,0,1,7,11,11,1,0,0.27,0.13,2.73,-0.13,1.0,1.0,0,0,0,0,0.27,0.08,0.16,0.1,-0.27,-0.08,0.0,0.01,0,-5,0,0,0,-2,2,14.64,0.14,0.19,0.06
ENG-Premier League,2021,2020-09-19 Manchester United-Crystal Palace,14098,2020-09-19 16:30:00,0,2,Manchester United,Crystal Palace,1,3,0,3,10,7,4,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,-14,0,1,0,0,0,1,0,0,0,0,0.0,79.91,Bruno Fernandes | Paul Pogba | Timothy Fosu-Mensah | Daniel James | Marcus Rashford | David de Gea | Luke Shaw | Anthony Martial | Harry Maguire | Scott McTominay | Victor Lindelöf,Scott Dann | Andros Townsend | James McCarthy | Vicente Guaita | Cheikhou Kouyaté | Jeffrey Schlupp | Jordan Ayew | Wilfried Zaha | Tyrick Mitchell | Joel Ward | James McArthur,11,10,0,0,0,1,0,0,11,11,0,1,0.0,1.4,0.0,-0.4,0.0,0.92,0,0,0,0,0.0,1.4,0.0,1.28,0.0,-1.4,0.0,0.0,-3,3,-3,0,0,-1,1,-79.91,-1.4,-1.4,-1.28
