LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2122,2021-08-13 Brentford-Arsenal,16376,2021-08-13 19:00:00,0,1,Brentford,Arsenal,2,0,0,0,1,19,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Frank Onyeka | David Raya | Kristoffer Ajer | Ivan Toney | Bryan Mbeumo | Sergi Canos | Rico Henry | Pontus Jansson | Ethan Pinnock | Vitaly Janelt | Christian Nørgaard,Albert Sambi Lokonga | Ben White | Folarin Balogun | Emile Smith-Rowe | Nicolas Pepe | Granit Xhaka | Gabriel Martinelli | Bernd Leno | Calum Chambers | Pablo Marí | Kieran Tierney,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-18,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-14 Manchester United-Leeds,16377,2021-08-14 11:30:00,0,1,Manchester United,Leeds,5,1,0,0,2,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Harry Maguire | Mason Greenwood | Paul Pogba | Victor Lindelöf | Bruno Fernandes | Luke Shaw | Aaron Wan-Bissaka | Fred | Daniel James | Scott McTominay | David de Gea,Jack Harrison | Rodrigo | Patrick Bamford | Liam Cooper | Mateusz Klich | Raphinha | Illan Meslier | Pascal Struijk | Luke Ayling | Robin Koch | Stuart Dallas,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-14 Burnley-Brighton,16378,2021-08-14 14:00:00,0,2,Burnley,Brighton,1,2,0,0,3,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Chris Wood | Nick Pope | Jack Cork | Charlie Taylor | Ben Mee | Dwight McNeil | Jay Rodriguez | Johann Berg Gudmundsson | James Tarkowski | Matthew Lowton | Ashley Westwood,Lewis Dunk | Robert Sánchez | Steven Alzate | Shane Duffy | Leandro Trossard | Pascal Groß | Solly March | Adam Webster | Neal Maupay | Yves Bissouma | Enock Mwepu,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-14 Chelsea-Crystal Palace,16379,2021-08-14 14:00:00,0,1,Chelsea,Crystal Palace,3,0,0,0,4,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Christian Pulisic | Edouard Mendy | Andreas Christensen | Trevoh Chalobah | Jorginho | Mason Mount | Mateo Kovacic | Timo Werner | Marcos Alonso | César Azpilicueta | Antonio Rüdiger,Jean-Philippe Mateta | Cheikhou Kouyaté | James McArthur | Jeffrey Schlupp | Jairo Riedewald | Jordan Ayew | Marc Guehi | Vicente Guaita | Wilfried Zaha | Tyrick Mitchell | Joel Ward,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-14 Everton-Southampton,16380,2021-08-14 14:00:00,0,1,Everton,Southampton,3,1,0,0,5,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Demarai Gray | Abdoulaye Doucouré | Michael Keane | Richarlison | Lucas Digne | Mason Holgate | Dominic Calvert-Lewin | Allan | Andros Townsend | Seamus Coleman | Jordan Pickford,Valentino Livramento | Jack Stephens | Oriol Romeu | Theo Walcott | Alex McCarthy | Romain Perraud | Mohammed Salisu | James Ward-Prowse | Moussa Djenepo | Che Adams | Adam Armstrong,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-14 Leicester-Wolverhampton Wanderers,16381,2021-08-14 14:00:00,0,1,Leicester,Wolverhampton Wanderers,1,0,0,0,6,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Luke Thomas | Ricardo Pereira | Wilfred Ndidi | Daniel Amartey | Caglar Söyüncü | Kasper Schmeichel | Youri Tielemans | Ayoze Pérez | Harvey Barnes | Jamie Vardy | James Maddison,José Sá | Romain Saiss | Rúben Neves | Trincão | Fernando Marçal | Ki-Jana Hoever | Raúl Jiménez | Max Kilman | Adama Traoré | João Moutinho | Conor Coady,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,16382,2021-08-14 14:00:00,0,1,Watford,Aston Villa,3,2,0,0,7,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ismaila Sarr | Oghenekaro Etebo | William Troost-Ekong | Adam Masina | Emmanuel Dennis | Christian Kabasele | Craig Cathcart | Juraj Kucka | Ken Sema | Daniel Bachmann | Tom Cleverley,Danny Ings | Tyrone Mings | Ashley Young | Marvelous Nakamba | Matt Targett | Ezri Konsa Ngoyo | Anwar El Ghazi | Matthew Cash | Emiliano Buendía | John McGinn | Emiliano Martinez,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-14 Norwich-Liverpool,16383,2021-08-14 16:30:00,0,2,Norwich,Liverpool,0,3,0,0,8,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ben Gibson | Pierre Lees-Melou | Grant Hanley | Lukas Rupp | Dimitris Giannoulis | Max Aarons | Todd Cantwell | Teemu Pukki | Tim Krul | Billy Gilmour | Milot Rashica,Alex Oxlade-Chamberlain | Trent Alexander-Arnold | Virgil van Dijk | Konstantinos Tsimikas | Naby Keita | Mohamed Salah | Diogo Jota | Sadio Mané | James Milner | Alisson | Joel Matip,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-15 Newcastle United-West Ham,16384,2021-08-15 13:00:00,0,2,Newcastle United,West Ham,2,4,0,0,9,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Allan Saint-Maximin | Freddie Woodman | Federico Fernández | Emil Krafth | Isaac Hayden | Miguel Almirón | Callum Wilson | Matt Ritchie | Jacob Murphy | Jonjo Shelvey | Ciaran Clark,Declan Rice | Angelo Ogbonna | Said Benrahma | Aaron Cresswell | Pablo Fornals | Tomas Soucek | Lukasz Fabianski | Craig Dawson | Vladimir Coufal | Michail Antonio | Jarrod Bowen,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-15 Tottenham-Manchester City,16385,2021-08-15 15:30:00,0,1,Tottenham,Manchester City,1,0,0,0,10,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Pierre-Emile Højbjerg | Hugo Lloris | Sergio Reguilón | Oliver Skipp | Steven Bergwijn | Eric Dier | Japhet Tanganga | Lucas Moura | Dele Alli | Davinson Sánchez | Son Heung-Min,João Cancelo | Benjamin Mendy | Nathan Aké | Ilkay Gündogan | Raheem Sterling | Ferrán Torres | Jack Grealish | Fernandinho | Rúben Dias | Riyad Mahrez | Ederson,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,2021-08-21 Liverpool-Burnley,16386,2021-08-21 11:30:00,0,1,Liverpool,Burnley,2,0,3,0,3,11,1,4,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,2,0,0,-28,-17,2,2,0,0,0,0,2,1,0,1,71.09,75.0,Alex Oxlade-Chamberlain | Trent Alexander-Arnold | Virgil van Dijk | Konstantinos Tsimikas | Naby Keita | Mohamed Salah | Diogo Jota | Sadio Mané | James Milner | Alisson | Joel Matip,Chris Wood | Jack Cork | Ashley Westwood | Charlie Taylor | Ben Mee | Dwight McNeil | Johann Berg Gudmundsson | Jay Rodriguez | James Tarkowski | Matthew Lowton | Nick Pope,9,9,0,1,2,1,3,1,11,11,1,1,1.79,1.96,1.21,-0.96,0.7,0.82,1,0,0,-1,1.34,1.84,1.44,0.27,-1.34,-1.84,0.03,0.1,3,-8,3,0,0,0,0,-3.9099999999999966,-0.16999999999999993,-0.5,1.17
