LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,18202,2022-08-05 19:00:00,1,2,Crystal Palace,Arsenal,0,2,0,0,1,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Vicente Guaita | Wilfried Zaha | Marc Guehi | Joachim Andersen | Odsonne Edouard | Jeffrey Schlupp | Eberechi Eze | Tyrick Mitchell | Cheick Oumar Doucoure | Jordan Ayew | Nathaniel Clyne,Ben White | Bukayo Saka | William Saliba | Oleksandr Zinchenko | Gabriel | Gabriel Jesus | Aaron Ramsdale | Gabriel Martinelli | Granit Xhaka | Thomas Partey | Martin Odegaard,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-06 Fulham-Liverpool,18203,2022-08-06 11:30:00,1,X,Fulham,Liverpool,2,2,0,0,2,19,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Andreas Pereira | Harrison Reed | Tosin Adarabioyo | João Palhinha | Aleksandar Mitrovic | Bobby Reid | Tim Ream | Kenny Tete | Antonee Robinson | Neeskens Kebano | Marek Rodák,Virgil van Dijk | Thiago Alcántara | Roberto Firmino | Luis Díaz | Trent Alexander-Arnold | Andrew Robertson | Jordan Henderson | Alisson | Fabinho | Joel Matip | Mohamed Salah,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-17,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-06 Bournemouth-Aston Villa,18204,2022-08-06 14:00:00,1,1,Bournemouth,Aston Villa,2,0,0,0,4,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jordan Zemura | Lloyd Kelly | Mark Travers | Jefferson Lerma | Ben Pearson | Philip Billing | Chris Mepham | Marcus Tavernier | Kieffer Moore | Adam Smith | Dominic Solanke,Danny Ings | Lucas Digne | Philippe Coutinho | Emiliano Martinez | John McGinn | Jacob Ramsey | Diego Carlos | Matthew Cash | Boubacar Kamara | Leon Bailey | Ezri Konsa Ngoyo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-06 Leeds-Wolverhampton Wanderers,18205,2022-08-06 14:00:00,1,1,Leeds,Wolverhampton Wanderers,2,1,0,0,5,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Robin Koch | Jack Harrison | Marc Roca | Brenden Aaronson | Rasmus Kristensen | Tyler Adams | Illan Meslier | Rodrigo | Diego Llorente | Pascal Struijk | Patrick Bamford,Rúben Neves | Leander Dendoncker | Nathan Collins | Jonny | Max Kilman | Morgan Gibbs-White | Rayan Ait Nouri | Pedro Neto | Daniel Podence | José Sá | Hee-Chan Hwang,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-06 Newcastle United-Nottingham Forest,18206,2022-08-06 14:00:00,1,1,Newcastle United,Nottingham Forest,2,0,0,0,6,16,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Joelinton | Callum Wilson | Dan Burn | Allan Saint-Maximin | Fabian Schär | Kieran Trippier | Joe Willock | Matt Targett | Bruno Guimarães | Nick Pope | Miguel Almirón,Moussa Niakhate | Jesse Lingard | Scott McKenna | Joe Worrall | Dean Henderson | Brennan Johnson | Sam Surridge | Neco Williams | Jack Colback | Lewis O'Brien | Harry Toffolo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-06 Tottenham-Southampton,18207,2022-08-06 14:00:00,1,1,Tottenham,Southampton,4,1,0,0,7,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Hugo Lloris | Ryan Sessegnon | Harry Kane | Dejan Kulusevski | Cristian Romero | Emerson | Son Heung-Min | Eric Dier | Pierre-Emile Højbjerg | Rodrigo Bentancur | Ben Davies,Jan Bednarek | Mohammed Salisu | Oriol Romeu | James Ward-Prowse | Moussa Djenepo | Romeo Lavia | Yan Valery | Kyle Walker-Peters | Adam Armstrong | Joe Ayodele-Aribo | Gavin Bazunu,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-06 Everton-Chelsea,18208,2022-08-06 16:30:00,1,2,Everton,Chelsea,0,1,0,0,8,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Abdoulaye Doucouré | James Tarkowski | Anthony Gordon | Nathan Patterson | Alex Iwobi | Vitalii Mykolenko | Demarai Gray | Dwight McNeil | Yerry Mina | Ben Godfrey | Jordan Pickford,Edouard Mendy | Kalidou Koulibaly | César Azpilicueta | Ben Chilwell | N'Golo Kanté | Mason Mount | Raheem Sterling | Jorginho | Kai Havertz | Reece James | Thiago Silva,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-07 Leicester-Brentford,18210,2022-08-07 13:00:00,1,X,Leicester,Brentford,2,2,0,0,9,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jonny Evans | Wesley Fofana | Youri Tielemans | Timothy Castagne | James Justin | Jamie Vardy | Wilfred Ndidi | Kiernan Dewsbury-Hall | Daniel Amartey | Danny Ward | James Maddison,Rico Henry | Pontus Jansson | Ivan Toney | David Raya | Christian Nørgaard | Vitaly Janelt | Mathias Jensen | Bryan Mbeumo | Ben Mee | Yoane Wissa | Aaron Hickey,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-07 Manchester United-Brighton,18209,2022-08-07 13:00:00,1,2,Manchester United,Brighton,1,2,0,0,11,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Diogo Dalot | Jadon Sancho | Bruno Fernandes | Harry Maguire | Luke Shaw | David de Gea | Lisandro Martínez | Fred | Scott McTominay | Christian Eriksen | Marcus Rashford,Adam Lallana | Leandro Trossard | Solly March | Joël Veltman | Moisés Caicedo | Pascal Groß | Adam Webster | Robert Sánchez | Danny Welbeck | Alexis Mac Allister | Lewis Dunk,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-07 West Ham-Manchester City,18211,2022-08-07 15:30:00,1,2,West Ham,Manchester City,0,2,0,0,12,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kurt Zouma | Lukasz Fabianski | Aaron Cresswell | Declan Rice | Vladimir Coufal | Manuel Lanzini | Pablo Fornals | Michail Antonio | Tomas Soucek | Ben Johnson | Jarrod Bowen,Jack Grealish | Rodri | João Cancelo | Kevin De Bruyne | Nathan Aké | Erling Haaland | Phil Foden | Ilkay Gündogan | Kyle Walker | Rúben Dias | Ederson,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,2022-08-13 Aston Villa-Everton,18212,2022-08-13 11:30:00,1,1,Aston Villa,Everton,2,1,0,0,18,13,5,4,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,4,3,0,1,0,0,2,1,1,0,-41,-73,2,2,0,0,1,2,1,0,1,2,69.0,78.45,Danny Ings | Lucas Digne | Philippe Coutinho | Emiliano Martinez | John McGinn | Jacob Ramsey | Diego Carlos | Matthew Cash | Boubacar Kamara | Leon Bailey | Ezri Konsa Ngoyo,Abdoulaye Doucouré | James Tarkowski | Anthony Gordon | Nathan Patterson | Vitalii Mykolenko | Alex Iwobi | Demarai Gray | Dwight McNeil | Yerry Mina | Mason Holgate | Jordan Pickford,9,10,2,0,0,1,3,3,11,11,1,1,0.49,0.55,-0.49,-0.55,0.69,0.69,0,0,0,0,0.39,0.55,0.3,0.37,-0.39,-0.55,0.07,0.0,0,5,0,0,0,0,-1,-9.450000000000003,-0.06000000000000005,-0.16000000000000003,-0.07
