LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,22275,2023-08-11 19:00:00,1,2,Burnley,Manchester City,0,3,0,0,1,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Vitinho | Luca Koleosho | Zeki Amdouni | Josh Cullen | Connor Roberts | Dara O'Shea | James Trafford | Sander Berge | Louis Beyer | Ameen Al Dakhil | Lyle Foster,Rico Lewis | Bernardo Silva | Kevin De Bruyne | Nathan Aké | Rodri | Kyle Walker | Manuel Akanji | Ederson | Phil Foden | Erling Haaland | Julián Álvarez,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,22276,2023-08-12 11:30:00,1,1,Arsenal,Nottingham Forest,2,1,0,0,2,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Martin Odegaard | Declan Rice | Jurriën Timber | Eddie Nketiah | Bukayo Saka | Thomas Partey | Aaron Ramsdale | Ben White | William Saliba | Kai Havertz | Gabriel Martinelli,Joe Worrall | Ryan Yates | Brennan Johnson | Matt Turner | Orel Mangala | Serge Aurier | Willy Boly | Danilo | Ola Aina | Scott McKenna | Morgan Gibbs-White,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,2023-08-12 Bournemouth-West Ham,22277,2023-08-12 14:00:00,1,X,Bournemouth,West Ham,1,1,0,0,3,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Illia Zabarnyi | Dominic Solanke | Marcos Senesi | Max Aarons | David Brooks | Jaidon Anthony | Ryan Christie | Philip Billing | Neto | Joe Rothwell | Milos Kerkez,Pablo Fornals | Michail Antonio | Vladimir Coufal | Said Benrahma | Jarrod Bowen | Naif Aguerd | Alphonse Areola | Emerson | Lucas Paquetá | Tomas Soucek | Kurt Zouma,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,2023-08-12 Brighton-Luton,22278,2023-08-12 14:00:00,1,1,Brighton,Luton,4,1,0,0,5,18,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kaoru Mitoma | João Pedro | Mahmoud Dahoud | Jason Steele | Jan Paul van Hecke | Pascal Groß | Solly March | James Milner | Estupiñán | Lewis Dunk | Danny Welbeck,Elijah Adebayo | Marvelous Nakamba | Tom Lockyer | Issa Kabore | Tahith Chong | Mads Andersen | Pelly Ruddock Mpanzu | Thomas Kaminski | Amari'i Bell | Carlton Morris | Ryan John Giles,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,2023-08-12 Everton-Fulham,22279,2023-08-12 14:00:00,1,2,Everton,Fulham,0,1,0,0,6,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Nathan Patterson | Michael Keane | Abdoulaye Doucouré | Neal Maupay | James Tarkowski | Idrissa Gueye | Ashley Young | Alex Iwobi | Amadou Onana | James Garner | Jordan Pickford,Willian | Tom Cairney | Harrison Reed | Issa Diop | Kenny Tete | Harry Wilson | Antonee Robinson | Tim Ream | Bernd Leno | Raúl Jiménez | Sasa Lukic,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,2023-08-12 Sheffield United-Crystal Palace,22280,2023-08-12 14:00:00,1,2,Sheffield United,Crystal Palace,0,1,0,0,7,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jack Robinson | Bénie Traoré | Oliver Norwood | Chris Basham | Wes Foderingham | Anel Ahmedhodzic | George Baldock | Max Lowe | John Egan | Ben Osborn | William Osula,Jordan Ayew | Eberechi Eze | Odsonne Edouard | Joachim Andersen | Sam Johnstone | Jeffrey Schlupp | Joel Ward | Tyrick Mitchell | Cheick Oumar Doucoure | Marc Guehi | Jefferson Lerma,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,2023-08-12 Newcastle United-Aston Villa,22281,2023-08-12 16:30:00,1,1,Newcastle United,Aston Villa,5,1,0,0,8,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Fabian Schär | Sandro Tonali | Sven Botman | Bruno Guimarães | Kieran Trippier | Miguel Almirón | Anthony Gordon | Alexander Isak | Dan Burn | Joelinton | Nick Pope,Emiliano Martinez | Douglas Luiz | Lucas Digne | Moussa Diaby | Tyrone Mings | Leon Bailey | Ollie Watkins | Matthew Cash | John McGinn | Ezri Konsa Ngoyo | Boubacar Kamara,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,2023-08-13 Brentford-Tottenham,22282,2023-08-13 13:00:00,1,X,Brentford,Tottenham,2,2,0,0,9,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kristoffer Ajer | Aaron Hickey | Rico Henry | Nathan Collins | Ethan Pinnock | Yoane Wissa | Mathias Jensen | Mark Flekken | Vitaly Janelt | Bryan Mbeumo | Christian Nørgaard,Iyenoma Destiny Udogie | Guglielmo Vicario | Oliver Skipp | Yves Bissouma | Micky van de Ven | Son Heung-Min | Cristian Romero | Emerson | Dejan Kulusevski | Richarlison | James Maddison,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,-0.09
ENG-Premier League,2324,2023-08-13 Chelsea-Liverpool,22283,2023-08-13 15:30:00,1,X,Chelsea,Liverpool,1,1,0,0,11,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Robert Sánchez | Reece James | Enzo Fernández | Carney Chukwuemeka | Thiago Silva | Levi Colwill | Raheem Sterling | Nicolas Jackson | Conor Gallagher | Axel Disasi | Ben Chilwell,Luis Díaz | Ibrahima Konaté | Dominik Szoboszlai | Alexis Mac Allister | Mohamed Salah | Cody Gakpo | Trent Alexander-Arnold | Alisson | Virgil van Dijk | Andrew Robertson | Diogo Jota,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,2023-08-14 Manchester United-Wolverhampton Wanderers,22284,2023-08-14 19:00:00,1,1,Manchester United,Wolverhampton Wanderers,1,0,0,0,13,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Raphael Varane | Antony | Marcus Rashford | Alejandro Garnacho | Mason Mount | Casemiro | André Onana | Lisandro Martínez | Luke Shaw | Aaron Wan-Bissaka | Bruno Fernandes,Craig Dawson | Matheus Cunha | Matheus Nunes | Max Kilman | Nélson Semedo | Mario Lemina | Pablo Sarabia | João Gomes | Rayan Ait Nouri | José Sá | Pedro Neto,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,2023-08-18 Nottingham Forest-Sheffield United,22285,2023-08-18 18:45:00,1,1,Nottingham Forest,Sheffield United,2,1,0,0,16,15,4,4,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,0,5,5,0,0,0,0,3,5,1,1,-13,-9,2,2,0,0,1,1,1,3,1,0,74.36,72.45,Joe Worrall | Ryan Yates | Brennan Johnson | Willy Boly | Matt Turner | Orel Mangala | Serge Aurier | Scott McKenna | Ola Aina | Danilo | Morgan Gibbs-White,Jack Robinson | Bénie Traoré | Oliver Norwood | Chris Basham | Wes Foderingham | Anel Ahmedhodzic | William Osula | George Baldock | John Egan | Ben Osborn | Max Lowe,9,9,1,1,1,1,6,6,11,11,1,1,0.97,0.42,0.03,-0.42,0.89,0.96,2,0,0,0,0.93,0.42,0.26,0.37,-0.93,-0.42,-0.59,0.0,0,1,0,0,0,0,0,1.9099999999999966,0.55,0.51,-0.10999999999999999
