LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2425,2024-08-16 Manchester United-Fulham,26602,2024-08-16 19:00:00,1,1,Manchester United,Fulham,1,0,0,0,1,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,André Onana | Harry Maguire | Kobbie Mainoo | Diogo Dalot | Noussair Mazraoui | Casemiro | Amad Diallo Traore | Bruno Fernandes | Marcus Rashford | Mason Mount | Lisandro Martínez,Alex Iwobi | Sasa Lukic | Bernd Leno | Andreas Pereira | Adama Traoré | Emile Smith-Rowe | Kenny Tete | Calvin Bassey | Rodrigo Muniz | Antonee Robinson | Issa Diop,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-17 Ipswich-Liverpool,26603,2024-08-17 11:30:00,1,2,Ipswich,Liverpool,0,2,0,0,2,19,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Massimo Luongo | Axel Tuanzebe | Luke Woolfenden | Conor Chaplin | Liam Delap | Omari Hutchinson | Jacob Greaves | Wes Burns | Sam Morsy | Leif Davis | Christian Walton,Andrew Robertson | Diogo Jota | Mohamed Salah | Virgil van Dijk | Jarell Quansah | Dominik Szoboszlai | Ryan Gravenberch | Trent Alexander-Arnold | Luis Díaz | Alexis Mac Allister | Alisson,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-17,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-17 Arsenal-Wolverhampton Wanderers,26604,2024-08-17 14:00:00,1,1,Arsenal,Wolverhampton Wanderers,2,0,0,0,3,18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,David Raya | Declan Rice | William Saliba | Thomas Partey | Gabriel Martinelli | Oleksandr Zinchenko | Kai Havertz | Bukayo Saka | Ben White | Martin Odegaard | Gabriel,Hee-Chan Hwang | Matt Doherty | João Gomes | Rayan Ait Nouri | Mario Lemina | Yerson Mosquera | Jørgen Strand Larsen | Rodrigo Gomes | José Sá | Jean-Ricner Bellegarde | Toti,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-17 Everton-Brighton,26605,2024-08-17 14:00:00,1,2,Everton,Brighton,0,3,0,0,4,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Vitalii Mykolenko | Idrissa Gueye | Dominic Calvert-Lewin | Dwight McNeil | Ashley Young | Tim Iroegbunam | Jack Harrison | Jordan Pickford | Abdoulaye Doucouré | James Tarkowski | Michael Keane,Lewis Dunk | James Milner | Jan Paul van Hecke | Joël Veltman | João Pedro | Yankuba Minteh | Jason Steele | Mats Wieffer | Danny Welbeck | Jack Hinshelwood | Kaoru Mitoma,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-17 Newcastle United-Southampton,26606,2024-08-17 14:00:00,1,1,Newcastle United,Southampton,1,0,0,0,5,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Anthony Gordon | Joelinton | Sean Longstaff | Bruno Guimarães | Alexander Isak | Fabian Schär | Nick Pope | Dan Burn | Lewis Hall | Valentino Livramento | Jacob Murphy,Alex McCarthy | Ben Brereton Díaz | Joe Ayodele-Aribo | Jack Stephens | Flynn Downes | Jan Bednarek | William Smallbone | Yukinari Sugawara | Kyle Walker-Peters | Taylor Harwood-Bellis | Adam Armstrong,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-17 Nottingham Forest-Bournemouth,26607,2024-08-17 14:00:00,1,X,Nottingham Forest,Bournemouth,1,1,0,0,6,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ibrahim Sangare | Callum Hudson-Odoi | Ola Aina | Neco Williams | Murillo | Danilo | Morgan Gibbs-White | Matz Sels | Willy Boly | Chris Wood | Anthony Elanga,Alex Scott | Dean Huijsen | Luis Sinisterra | Lewis Cook | Marcus Tavernier | Neto | Dango Ouattara | Illia Zabarnyi | Milos Kerkez | Antoine Semenyo | Adam Smith,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-17 West Ham-Aston Villa,26608,2024-08-17 16:30:00,1,2,West Ham,Aston Villa,1,2,0,0,8,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Vladimir Coufal | Guido Rodríguez | Tomas Soucek | Max Kilman | Michail Antonio | Jarrod Bowen | Alphonse Areola | Lucas Paquetá | Emerson | Mohammed Kudus | Konstantinos Mavropanos,Ollie Watkins | Leon Bailey | Emiliano Martinez | Pau Torres | John McGinn | Youri Tielemans | Matthew Cash | Lucas Digne | Ezri Konsa Ngoyo | Amadou Onana | Morgan Rogers,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-18 Brentford-Crystal Palace,26609,2024-08-18 13:00:00,1,1,Brentford,Crystal Palace,2,1,0,0,9,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kristoffer Ajer | Ethan Pinnock | Vitaly Janelt | Mads Roerslev | Kevin Schade | Mathias Jensen | Christian Nørgaard | Yoane Wissa | Mark Flekken | Bryan Mbeumo | Nathan Collins,Daniel Muñoz | Daichi Kamada | Adam Wharton | Jean-Philippe Mateta | Dean Henderson | Will Hughes | Eberechi Eze | Joachim Andersen | Tyrick Mitchell | Chris Richards | Marc Guehi,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-18 Chelsea-Manchester City,26610,2024-08-18 15:30:00,1,2,Chelsea,Manchester City,0,2,0,0,10,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Enzo Fernández | Wesley Fofana | Malo Gusto | Nicolas Jackson | Romeo Lavia | Christopher Nkunku | Levi Colwill | Marc Cucurella | Cole Palmer | Moisés Caicedo | Robert Sánchez,Mateo Kovacic | Josko Gvardiol | Kevin De Bruyne | Erling Haaland | Jéremy Doku | Rico Lewis | Ederson | Rúben Dias | Bernardo Silva | Manuel Akanji | Sávio,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-19 Leicester-Tottenham,26611,2024-08-19 19:00:00,1,X,Leicester,Tottenham,1,1,0,0,11,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jannik Vestergaard | Wilfred Ndidi | Mads Hermansen | James Justin | Wout Faes | Bobby Reid | Facundo Buonanotte | Victor Kristiansen | Jamie Vardy | Abdul Fatawu | Harry Winks,Pedro Porro | Rodrigo Bentancur | Micky van de Ven | Son Heung-Min | James Maddison | Iyenoma Destiny Udogie | Brennan Johnson | Dominic Solanke | Pape Sarr | Cristian Romero | Guglielmo Vicario,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,2024-08-24 Brighton-Manchester United,26612,2024-08-24 11:30:00,1,1,Brighton,Manchester United,2,1,3,3,1,5,1,2,3,3,0,0,0,0,1,2,0,0,0,0,1,0,0,0,5,5,0,0,0,0,3,3,0,0,-44,-28,1,0,0,0,0,0,1,0,0,0,76.55,83.0,Lewis Dunk | James Milner | Jan Paul van Hecke | Joël Veltman | João Pedro | Yankuba Minteh | Jason Steele | Mats Wieffer | Danny Welbeck | Jack Hinshelwood | Kaoru Mitoma,André Onana | Kobbie Mainoo | Harry Maguire | Diogo Dalot | Noussair Mazraoui | Casemiro | Amad Diallo Traore | Bruno Fernandes | Marcus Rashford | Mason Mount | Lisandro Martínez,10,11,0,0,1,0,4,2,11,11,1,1,1.79,2.04,1.21,-1.04,0.73,0.79,1,2,0,0,1.58,1.54,1.68,1.26,-1.58,-1.54,0.0,0.0,0,-4,0,0,0,1,-1,-6.450000000000003,-0.25,0.040000000000000036,0.41999999999999993
