LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ESP-La Liga,1920,2019-08-16 Athletic Club-Barcelona,12026,2019-08-16 20:00:00,0,1,Athletic Club,Barcelona,1,0,0,0,1,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Unai López | Yuri | Dani García | De Marcos | Unai Simón | Iñaki Williams | Ander Capa | Yeray Álvarez | Muniain | Unai Núñez | Raúl García,Antoine Griezmann | Nélson Semedo | Frenkie de Jong | Luis Suárez | Clement Lenglet | Ousmane Dembélé | Gerard Piqué | Sergi Roberto | Marc-André ter Stegen | Carles Aleñá | Jordi Alba,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-17 Celta Vigo-Real Madrid,12023,2019-08-17 16:00:00,0,2,Celta Vigo,Real Madrid,1,3,0,0,2,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Brais Méndez | Gabriel Fernández | Néstor Araújo | David Costas | Iago Aspas | Kevin | Fran Beltrán | Lucas Olaza | Stanislav Lobotka | Denis Suárez | Rubén Blanco,Casemiro | Raphael Varane | Toni Kroos | Karim Benzema | Luka Modric | Sergio Ramos | Gareth Bale | Thibaut Courtois | Vinícius Júnior | Álvaro Odriozola | Marcelo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-17 Valencia-Real Sociedad,12024,2019-08-17 18:00:00,0,X,Valencia,Real Sociedad,1,1,0,0,3,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Carlos Soler | Gonçalo Guedes | Rodrigo | Daniel Wass | Jasper Cillessen | Kevin Gameiro | Ezequiel Garay | Jaume Costa | Francis Coquelin | Geoffrey Kondogbia | Gabriel,Willian José | Martin Odegaard | Adnan Januzaj | Moyá | Robin Le Normand | Igor Zubeldia | Zaldúa | Mikel Merino | Aihen Muñoz | Mikel Oyarzabal | Asier Illarramendi,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-17 Mallorca-Eibar,12025,2019-08-17 19:00:00,0,1,Mallorca,Eibar,2,1,0,0,5,17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Iddrisu Baba | Lago Junior | Raíllo | Dani Rodríguez | Lumor Agbenyenu | Martin Valjent | Salva Sevilla | Ante Budimir | Aleix Febas | Joan Sastre | Manolo Reina,Marko Dmitrovic | Gonzalo Escalante | Fabián Orellana | Iván Ramis | Pedro León | Tejero | Paulo Oliveira | Sergio Álvarez | Rober Correa | Sergi Enrich | Kike García,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-17 Leganes-Osasuna,12027,2019-08-17 20:00:00,0,2,Leganes,Osasuna,0,1,0,0,6,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Rodrigo Tarín | Rubén Pérez | Eraso | Roberto Rosales | Youssef En-Nesyri | Unai Bustinza | Iván Cuéllar | Óscar Rodríguez | Dimitrios Siovas | Martin Braithwaite | Jonathan Silva,David García | Darko Brasanac | Jon Moncayola | Nacho Vidal | Oier | Rubén Martínez | Roberto Torres | Ezequiel Ávila | Aridane Hernández | Estupiñán | Robert Ibáñez,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-17 Villarreal-Granada,12028,2019-08-17 20:00:00,0,X,Villarreal,Granada,4,4,0,0,7,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Santiago Cazorla | Moi Gómez | Pau Torres | Rubén Peña | Vicente Iborra | Andrés Fernández | Gerard Moreno | Samuel Chukwueze | Franck Zambo | Xavier Quintillá | Raúl Albiol,Víctor Díaz | Roberto Soldado | Yan Eteki | Germán Sánchez | Álvaro Vadillo | Antonio Puertas | Domingos Duarte | Rui Silva | Fede Vico | Quini | Montoro,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-18 Alaves-Levante,12029,2019-08-18 16:00:00,0,1,Alaves,Levante,1,0,0,0,9,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Rodrigo Ely | Rubén Duarte | Fernando Pacheco | Martín Aguirregabiria | Manu García | Guillermo Maripán | Joselu | Mubarak Wakaso | Tomás Pina | Aleix Vidal | Luis Rioja,Gonzalo Melero | Nikola Vukcevic | Rúben Vezo | Toño | Sergio León | Aitor Fernández | Borja Mayoral | Enis Bardhi | Sergio Postigo | José Campaña | Jorge Miramón,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-18 Espanyol-Sevilla,12030,2019-08-18 18:00:00,0,2,Espanyol,Sevilla,0,2,0,0,10,14,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Víctor Sánchez | Marc Roca | Wu Lei | Facundo Ferreyra | Matías Vargas | Óscar Melendo | Diego López | Dídac Vilá | Naldo | Lluis López | Javi López,Sergio Reguilón | Joan Jordán | Diego Carlos | Daniel Carriço | Tomás Vaclik | Luuk de Jong | Nolito | Fernando | Lucas Ocampos | Jesús Navas | Óliver Torres,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,1,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-18 Real Betis-Real Valladolid,12031,2019-08-18 20:00:00,0,2,Real Betis,Real Valladolid,1,2,0,0,11,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,William Carvalho | Marc Bartra | Emerson | Borja Iglesias | Javi García | Nabil Fekir | Alfonso | Joaquín | Sidnei | Joel Robles | Cristian Tello,Nacho | Mohammed Salisu | Míchel | Sergi Guardiola | Antoñito | Javi Moyano | Jordi Masip | Kiko Olivas | Rubén Alcaraz | Óscar Plano | Sandro Ramírez,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-18 Atletico Madrid-Getafe,12032,2019-08-18 21:00:00,0,1,Atletico Madrid,Getafe,1,0,0,0,12,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Koke | Renan Lodi | Giménez | Álvaro Morata | Thomas Partey | Thomas Lemar | Jan Oblak | Saúl Ñíguez | Stefan Savic | Kieran Trippier | João Félix,Jorge Molina | Marc Cucurella | Mauro Arambarri | Faycal Fajr | Nyom | David Soria | Bruno | Djené Dakonam | Leandro Cabrera | Damián Suárez | Jaime Mata,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,1920,2019-08-23 Granada-Sevilla,12035,2019-08-23 19:00:00,0,2,Granada,Sevilla,0,1,1,3,11,2,4,1,1,3,0,0,0,0,1,2,0,0,0,0,0,1,0,0,3,3,0,0,0,0,2,2,1,0,-27,-27,0,1,0,0,0,0,0,1,0,0,85.64,78.27,Roberto Soldado | Yan Eteki | Germán Sánchez | Álvaro Vadillo | Quini | Antonio Puertas | Domingos Duarte | Rui Silva | Fede Vico | Víctor Díaz | Montoro,Sergio Reguilón | Joan Jordán | Diego Carlos | Daniel Carriço | Tomás Vaclik | Luuk de Jong | Nolito | Fernando | Lucas Ocampos | Jesús Navas | Óliver Torres,11,10,0,0,0,1,1,1,11,11,1,1,1.97,2.79,2.03,-0.79,0.66,0.8,0,0,1,0,1.87,2.79,1.22,0.73,-1.87,-2.79,0.0,0.0,-2,9,-2,0,0,-1,1,7.3700000000000045,-0.8200000000000001,-0.9199999999999999,0.49
