LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ESP-La Liga,2021,2020-09-12 Eibar-Celta Vigo,14136,2020-09-12 14:00:00,1,X,Eibar,Celta Vigo,0,0,0,0,1,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Pedro León | Sergi Enrich | Pedro Bigas | Papakouly Diop | Paulo Oliveira | Takashi Inui | Sergio Álvarez | Edu Expósito | Kike García | Rober Correa | Marko Dmitrovic,Emre Mor | Lucas Olaza | Renato Tapia | Nolito | Iago Aspas | Joseph Aidoo | Néstor Araújo | Brais Méndez | Hugo Mallo | Okay Yokuslu | Iván Villar,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2021,2020-09-12 Granada-Athletic Club,14137,2020-09-12 16:30:00,1,1,Granada,Athletic Club,2,0,0,0,3,19,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Germán Sánchez | Antonio Puertas | Roberto Soldado | Montoro | Darwin Machís | Rui Silva | Carlos Neva | Domingos Duarte | Dimitri Foulquier | Luis Milla | Yangel Herrera,Ander Capa | Iñigo Martínez | Yeray Álvarez | Balenziaga | Unai Simón | Muniain | De Marcos | Raúl García | Mikel Vesga | Jon Morcillo | Dani García,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-16,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2021,2020-09-12 Cadiz-Osasuna,14138,2020-09-12 19:00:00,1,2,Cadiz,Osasuna,0,2,0,0,4,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jorge Pombo | Yann Bodiger | Sergio González | Álvaro Negredo | Marcos Mauro | José Mari | Alfonso Espino | Salvi Sánchez | David Gil | Isaac Carcelén | Cala,David García | Nacho Vidal | Rubén García | Juan Cruz | Iñigo Pérez | Adrián | Roberto Torres | Oier | Sergio Herrera | Jon Moncayola | Aridane Hernández,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2021,2020-09-13 Alaves-Real Betis,14139,2020-09-13 12:00:00,1,2,Alaves,Real Betis,0,1,0,0,5,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Rubén Duarte | Lucas Pérez | Luis Rioja | Víctor Laguardia | Rodrigo Ely | Tomás Pina | Edgar Méndez | Rodrigo Battaglia | Pere Pons | Fernando Pacheco | Joselu,Borja Iglesias | Nabil Fekir | William Carvalho | Emerson | Claudio Bravo | Aissa Mandi | Álex Moreno | Sergio Canales | Joaquín | Guido Rodríguez | Marc Bartra,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2021,2020-09-13 Real Valladolid-Real Sociedad,14140,2020-09-13 14:00:00,1,X,Real Valladolid,Real Sociedad,1,1,0,0,6,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Joaquín Fernández | Míchel | Waldo Rubio | Jordi Masip | Sergi Guardiola | Fede San Emeterio | Óscar Plano | Nacho | Fabián Orellana | Bruno | Javi Moyano,Ander Barrenetxea | Aritz Elustondo | Andoni Gorosabel | Diego Llorente | Remiro | Roberto López | Alexander Isak | Igor Zubeldia | Portu | Aihen Muñoz | Mikel Merino,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2021,2020-09-13 Villarreal-SD Huesca,14143,2020-09-13 16:30:00,1,X,Villarreal,SD Huesca,1,1,0,0,8,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Moi Gómez | Rubén Peña | Daniel Parejo | Gerard Moreno | Raúl Albiol | Sergio Asenjo | Paco Alcácer | Samuel Chukwueze | Pau Torres | Francis Coquelin | Alfonso,Rafa Mir | Jorge Pulido | Mikel Rico | Pedro Mosquera | Javi Galán | David Ferreiro | Juan Carlos | Andrés Fernández | Pablo Insúa | Shinji Okazaki | Pablo Maffeo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2021,2020-09-13 Valencia-Levante,14144,2020-09-13 19:00:00,1,1,Valencia,Levante,4,2,0,0,10,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Daniel Wass | Yunus Musah | Geoffrey Kondogbia | Gonçalo Guedes | Gabriel | Vicente Esquerdo | Eliaquim Mangala | Maxi Gómez | Lee Kang-In | José Gayá | Jaume,Enis Bardhi | Sergio León | Jorge Miramón | Gonzalo Melero | José Campaña | Morales | Rober | Aitor Fernández | Óscar Duarte | Nemanja Radoja | Carlos Clerc,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2021,2020-09-19 Villarreal-Eibar,14146,2020-09-19 14:00:00,1,1,Villarreal,Eibar,2,1,1,1,7,5,4,2,1,1,0,0,0,0,1,2,0,1,0,1,2,0,0,0,4,3,0,0,0,0,3,2,0,0,-9,-29,1,2,0,0,1,1,0,2,1,2,81.0,73.0,Moi Gómez | Rubén Peña | Gerard Moreno | Raúl Albiol | Daniel Parejo | Sergio Asenjo | Paco Alcácer | Samuel Chukwueze | Pau Torres | Francis Coquelin | Alfonso,Pedro León | Sergi Enrich | Pedro Bigas | Papakouly Diop | Paulo Oliveira | Takashi Inui | Sergio Álvarez | Edu Expósito | Kike García | Rober Correa | Marko Dmitrovic,10,9,0,1,1,1,2,3,11,11,1,1,2.03,0.34,-1.03,-0.34,0.66,1.0,0,0,0,1,1.83,0.29,1.01,0.08,-1.83,-0.29,0.0,0.0,0,2,0,0,0,-1,1,8.0,1.6899999999999997,1.54,0.93
ESP-La Liga,2021,2020-09-19 Getafe-Osasuna,14145,2020-09-19 16:30:00,1,1,Getafe,Osasuna,1,0,0,3,11,4,4,1,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,-16,0,1,0,0,0,1,0,0,0,0,0.0,79.09,Marc Cucurella | Etxeita | Djené Dakonam | Nemanja Maksimovic | Juan Camilo Hernández | Mauro Arambarri | Nyom | Jaime Mata | Mathías Olivera | David Soria | Damián Suárez,David García | Nacho Vidal | Rubén García | Juan Cruz | Roberto Torres | Adrián | Iñigo Pérez | Oier | Sergio Herrera | Jon Moncayola | Aridane Hernández,11,10,0,1,0,0,0,3,11,11,0,1,0.0,0.63,0.0,1.37,0.0,0.78,0,1,0,0,0.0,0.58,0.0,0.48,0.0,-0.58,0.0,0.05,-3,7,-3,0,0,-1,1,-79.09,-0.63,-0.58,-0.48
ESP-La Liga,2021,2020-09-19 Celta Vigo-Valencia,14147,2020-09-19 19:00:00,1,1,Celta Vigo,Valencia,2,1,1,3,8,3,4,1,1,3,0,0,0,0,3,1,0,0,0,0,0,2,0,0,2,5,0,1,0,0,2,0,1,0,-13,-74,3,1,0,0,1,1,3,0,0,0,65.09,84.09,Renato Tapia | Lucas Olaza | Emre Mor | Nolito | Iago Aspas | Joseph Aidoo | Néstor Araújo | Brais Méndez | Hugo Mallo | Okay Yokuslu | Iván Villar,Yunus Musah | Daniel Wass | Geoffrey Kondogbia | Gonçalo Guedes | Gabriel | Vicente Esquerdo | Mouctar Diakhaby | Maxi Gómez | Lee Kang-In | José Gayá | Jaume,8,11,3,0,0,0,3,4,11,11,1,1,0.78,1.95,-0.78,2.05,0.86,0.61,0,3,-2,3,0.47,0.93,0.38,0.81,-0.47,-0.93,0.31,0.0,-2,5,-2,0,0,2,-3,-19.0,-1.17,-0.4600000000000001,-0.43000000000000005
ESP-La Liga,2021,2020-09-20 SD Huesca-Cadiz,14148,2020-09-20 14:00:00,1,2,SD Huesca,Cadiz,0,2,1,0,9,18,4,5,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,5,5,0,0,0,0,1,2,0,1,-24,-41,2,3,0,1,1,0,1,2,0,0,71.45,63.73,Rafa Mir | Jorge Pulido | Pedro Mosquera | Mikel Rico | Javi Galán | David Ferreiro | Juan Carlos | Andrés Fernández | Pablo Insúa | Shinji Okazaki | Pablo Maffeo,Jorge Pombo | Yann Bodiger | Sergio González | Álvaro Negredo | Marcos Mauro | José Mari | Alfonso Espino | Salvi Sánchez | David Gil | Isaac Carcelén | Cala,9,8,1,2,1,1,2,3,11,11,1,0,0.56,0.61,0.44,-0.61,0.77,0.56,0,0,-2,0,0.45,0.58,0.45,0.45,-0.45,-0.58,0.11,-0.11,1,-9,1,0,0,-1,1,7.720000000000006,-0.04999999999999993,-0.12999999999999995,0.0
