LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ESP-La Liga,2122,2021-08-13 Valencia-Getafe,17136,2021-08-13 19:00:00,1,1,Valencia,Getafe,1,0,0,0,1,18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Hugo Guillamón | Gabriel | José Gayá | Maxi Gómez | Giorgi Mamardashvili | Thierry Correia | Omar Alderete | Daniel Wass | Carlos Soler | Gonçalo Guedes | Denis Cheryshev,Djené Dakonam | David Soria | Nemanja Maksimovic | Enes Ünal | Sandro Ramírez | Mauro Arambarri | Stefan Mitrovic | Damián Suárez | Mathías Olivera | Carles Aleñá | Erick Cabaco,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-17,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,2021-08-14 Cadiz-Levante,17139,2021-08-14 17:30:00,1,X,Cadiz,Levante,1,1,0,0,2,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jeremías Ledesma | Fali | Álvaro Negredo | Anthony Lozano | Carlos Akapo | Salvi Sánchez | Álex Fernández | Alfonso Espino | Varazdat Haroyan | Jens Jonsson | Tomás Alarcón,Morales | Roger | Jorge De Frutos | José Campaña | Roberto Soldado | Óscar Duarte | Rober | Son | Aitor Fernández | Carlos Clerc | Gonzalo Melero,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,2021-08-14 Mallorca-Real Betis,17138,2021-08-14 17:30:00,1,X,Mallorca,Real Betis,1,1,0,0,4,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Brian Oliván | Pablo Maffeo | Dani Rodríguez | Raíllo | Salva Sevilla | Jordi Mboula | Iddrisu Baba | Martin Valjent | Inigo Ruiz de Galarreta | Manolo Reina | Ángel,Paul Akouokou | Víctor Ruiz | Rui Silva | Borja Iglesias | Álex Moreno | Edgar González | Aitor Ruibal | Martín Montoya | Sergio Canales | Nabil Fekir | Rodrigo Sánchez,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,2021-08-14 Alaves-Real Madrid,17140,2021-08-14 20:00:00,1,2,Alaves,Real Madrid,1,4,0,0,6,19,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Edgar Méndez | Florian Lejeune | Luis Rioja | Rubén Duarte | Víctor Laguardia | Tomás Pina | Pere Pons | Manu García | Martín Aguirregabiria | Fernando Pacheco | Joselu,Lucas Vázquez | Eden Hazard | Luka Modric | Casemiro | Gareth Bale | Thibaut Courtois | Federico Valverde | Eder Militão | Karim Benzema | Nacho | David Alaba,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,2021-08-14 Osasuna-Espanyol,17137,2021-08-14 20:00:00,1,X,Osasuna,Espanyol,0,0,0,0,7,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Sergio Herrera | Jon Moncayola | Nacho Vidal | Kike Barja | David García | Darko Brasanac | Lucas Torró | Ante Budimir | Rubén García | Kike García | Unai García,Adrià Pedrosa | Raúl de Tomás | Wu Lei | David López | Diego López | Leandro Cabrera | Óscar Gil | Fran Mérida | Nicolás Melamed | Sergi Gómez | Adrián Embarba,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,2021-08-15 Celta Vigo-Atletico Madrid,17141,2021-08-15 15:30:00,1,2,Celta Vigo,Atletico Madrid,1,2,0,0,9,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Nolito | Denis Suárez | Matías Dituro | Renato Tapia | Brais Méndez | Iago Aspas | José Manuel Fontán | Santi Mina | Néstor Araújo | Hugo Mallo | Javi Galán,Mario Hermoso | Geoffrey Kondogbia | Stefan Savic | Thomas Lemar | Yannick Carrasco | Marcos Llorente | Jan Oblak | Koke | Ángel Correa | Saúl Ñíguez | Giménez,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,2021-08-15 Barcelona-Real Sociedad,17142,2021-08-15 18:00:00,1,1,Barcelona,Real Sociedad,4,2,0,0,10,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Martin Braithwaite | Eric Garcia | Gerard Piqué | Neto | Sergiño Dest | Jordi Alba | Memphis Depay | Frenkie de Jong | Pedri | Antoine Griezmann | Sergio Busquets,Mikel Oyarzabal | Aritz Elustondo | Remiro | Portu | Robin Le Normand | Martín Zubimendi | Mikel Merino | Zaldúa | David Silva | Adnan Januzaj | Aihen Muñoz,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,2021-08-15 Sevilla-Rayo Vallecano,17143,2021-08-15 20:15:00,1,1,Sevilla,Rayo Vallecano,3,0,0,0,11,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jesús Navas | Diego Carlos | Óscar Rodríguez | Fernando | Joan Jordán | Marcos Acuña | Jules Koundé | Marko Dmitrovic | Oussama Idrissi | Youssef En-Nesyri | Karim Rekik,Fran García | Isi Palazón | Luca Zidane | Randy Nteka | Óscar Trejo | Álvaro García | Iván Balliu | Santiago Comesaña | Mario Suárez | Alejandro Catena | Óscar Valentín,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,2021-08-16 Villarreal-Granada,17144,2021-08-16 18:00:00,1,X,Villarreal,Granada,0,0,0,0,12,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Juan Foyth | Alberto Moreno | Etienne Capoue | Gerónimo Rulli | Raúl Albiol | Gerard Moreno | Alfonso | Boulaye Dia | Manu Trigueros | Aissa Mandi | Yeremi Pino,Germán Sánchez | Dimitri Foulquier | Aarón | Carlos Neva | Luis Suárez | Domingos Duarte | Monchu | Antonio Puertas | Luis Milla | Maxime Gonalons | Darwin Machís,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.05,0.0,0.39,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,-0.05,-0.39
ESP-La Liga,2122,2021-08-16 Elche-Athletic Club,17145,2021-08-16 20:00:00,1,X,Elche,Athletic Club,0,0,0,0,14,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Josan | Johan Mojica | Iván Marcone | Lucas Boyé | Pedro Bigas | Raúl Guti | Enzo Roco | Pere Milla | Fidel | Kiko Casilla | Gonzalo Verdú,Iñigo Martínez | Dani García | Iñaki Williams | Julen Agirrezabala | Oihan Sancet | Alex Berenguer | Unai Vencedor | Balenziaga | Muniain | De Marcos | Dani Vivian,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,2021-08-20 Real Betis-Cadiz,17146,2021-08-20 19:00:00,1,X,Real Betis,Cadiz,1,1,1,1,11,6,4,3,1,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,5,5,1,0,0,0,2,2,1,0,-65,-29,3,1,0,0,1,0,1,2,1,0,65.45,77.91,Paul Akouokou | Víctor Ruiz | Rui Silva | Borja Iglesias | Edgar González | Aitor Ruibal | Martín Montoya | Sergio Canales | Nabil Fekir | Rodrigo Sánchez | José Manuel Calderón,Jeremías Ledesma | Fali | Álvaro Negredo | Anthony Lozano | Carlos Akapo | Salvi Sánchez | Álex Fernández | Alfonso Espino | Varazdat Haroyan | Jens Jonsson | Tomás Alarcón,8,10,3,1,0,0,5,0,11,11,1,1,0.81,0.99,0.19,0.01,0.76,0.87,1,0,1,1,0.6,0.82,0.51,0.13,-0.6,-0.82,-0.05,0.02,0,5,0,0,0,2,-2,-12.459999999999994,-0.17999999999999994,-0.21999999999999997,0.38
ESP-La Liga,2122,2021-08-21 Alaves-Mallorca,17147,2021-08-21 15:00:00,1,2,Alaves,Mallorca,0,1,0,1,19,8,5,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,2,0,0,-30,-26,1,3,0,0,1,1,0,1,0,1,71.91,65.09,Edgar Méndez | Florian Lejeune | Luis Rioja | Rubén Duarte | Víctor Laguardia | Tomás Pina | Pere Pons | Manu García | Martín Aguirregabiria | Fernando Pacheco | Joselu,Brian Oliván | Pablo Maffeo | Dani Rodríguez | Raíllo | Salva Sevilla | Jordi Mboula | Iddrisu Baba | Martin Valjent | Inigo Ruiz de Galarreta | Manolo Reina | Ángel,10,8,1,2,0,1,2,3,11,11,1,1,1.41,0.57,-0.41,0.43,0.58,0.93,0,0,0,-2,1.29,0.56,0.42,0.42,-1.29,-0.56,0.0,-0.05,-1,11,-1,0,0,-2,2,6.819999999999993,0.84,0.73,0.0
ESP-La Liga,2122,2021-08-21 Espanyol-Villarreal,17149,2021-08-21 17:30:00,1,X,Espanyol,Villarreal,0,0,1,1,12,10,4,4,1,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,5,5,0,0,0,0,2,6,0,1,-42,-15,3,1,0,0,0,0,2,1,1,0,70.91,78.36,Adrià Pedrosa | Raúl de Tomás | Wu Lei | David López | Diego López | Leandro Cabrera | Óscar Gil | Fran Mérida | Nicolás Melamed | Sergi Gómez | Adrián Embarba,Juan Foyth | Raúl Albiol | Alberto Moreno | Gerónimo Rulli | Etienne Capoue | Gerard Moreno | Alfonso | Boulaye Dia | Manu Trigueros | Aissa Mandi | Yeremi Pino,8,10,3,1,0,0,4,3,11,11,1,1,0.58,1.22,-0.58,-1.22,0.7,0.8,0,0,1,-2,0.55,1.11,0.31,0.67,-0.55,-1.11,0.0,0.11,0,2,0,0,0,2,-2,-7.450000000000003,-0.64,-0.56,-0.36000000000000004
ESP-La Liga,2122,2021-08-21 Granada-Valencia,17148,2021-08-21 17:30:00,1,X,Granada,Valencia,1,1,1,3,13,5,4,2,1,3,0,0,0,0,1,6,0,1,0,1,0,0,0,0,5,4,0,1,0,0,3,1,0,1,-41,-88,3,1,0,0,1,0,1,1,1,0,67.64,81.09,Germán Sánchez | Dimitri Foulquier | Carlos Neva | Luis Suárez | Domingos Duarte | Monchu | Antonio Puertas | Luis Milla | Darwin Machís | Maxime Gonalons | Aarón,Uros Racic | Gabriel | José Gayá | Maxi Gómez | Giorgi Mamardashvili | Thierry Correia | Omar Alderete | Daniel Wass | Carlos Soler | Gonçalo Guedes | Denis Cheryshev,8,11,3,0,0,0,3,2,11,11,1,1,0.25,1.58,-0.25,-0.58,0.93,1.0,0,0,1,2,0.13,1.58,0.3,0.39,-0.08,-1.58,-0.04,0.0,-2,8,-2,0,0,2,-3,-13.450000000000003,-1.33,-1.4500000000000002,-0.09000000000000002
