LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ESP-La Liga,2223,2022-08-12 Osasuna-Sevilla,18962,2022-08-12 19:00:00,1,1,Osasuna,Sevilla,2,1,0,0,1,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Moi Gómez | Unai García | Lucas Torró | Sergio Herrera | Juan Cruz | David García | Rubén Peña | Jon Moncayola | Ezequiel Ávila | Aimar Oroz | Kike Barja,Thomas Delaney | Marcos Acuña | Jesús Corona | Bono | Lucas Ocampos | Rafa Mir | Alejandro Gomez | Nemanja Gudelj | Jesús Navas | Karim Rekik | Fernando,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,18963,2022-08-13 15:00:00,1,X,Celta Vigo,Espanyol,2,2,0,0,2,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Gonçalo Paciência | Fran Beltrán | Javi Galán | Iago Aspas | Joseph Aidoo | Unai Núñez | Franco Cervi | Óscar Rodríguez | Agustín Marchesín | Hugo Mallo | Augusto Solari,Óscar Gil | Sergi Gómez | Fernando Calero | Joselu | Nicolás Melamed | Rubén Sánchez | Leandro Cabrera | Vinicius Souza | Sergi Darder | Brian Oliván | Benjamin Lecomte,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-13 Real Valladolid-Villarreal,18964,2022-08-13 17:00:00,1,2,Real Valladolid,Villarreal,0,3,0,0,4,19,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Monchu | Luis Pérez | Joaquín Fernández | Sergio Asenjo | Sergio León | Álvaro Aguado | Toni Villa | Jawad El Yamiq | Roque Mesa | Sergio Escudero | Gonzalo Plata,Juan Foyth | Etienne Capoue | Gerónimo Rulli | Alfonso | Raúl Albiol | Yeremi Pino | Nicolas Jackson | Daniel Parejo | Pau Torres | Francis Coquelin | Gerard Moreno,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,18965,2022-08-13 19:00:00,1,X,Barcelona,Rayo Vallecano,0,0,0,0,5,17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ousmane Dembélé | Sergio Busquets | Eric Garcia | Raphinha | Marc-André ter Stegen | Pedri | Jordi Alba | Andreas Christensen | Gavi | Ronald Araújo | Robert Lewandowski,Óscar Trejo | Florian Lejeune | Álvaro García | Stole Dimitrievski | Pathé Ciss | Alejandro Catena | Fran García | Sergio Camello | Unai López | Iván Balliu | Isi Palazón,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-14 Cadiz-Real Sociedad,18966,2022-08-14 15:30:00,1,2,Cadiz,Real Sociedad,0,1,0,0,7,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Fali | José Mari | Alfonso Espino | Santiago Arzamendia | Zaldúa | Alberto Perea | Victor Chust | Jeremías Ledesma | Anthony Lozano | Luis Hernández | Lucas Pérez,David Silva | Aritz Elustondo | Brais Méndez | Takefusa Kubo | Remiro | Igor Zubeldia | Mikel Merino | Martín Zubimendi | Robin Le Normand | Alexander Isak | Diego Rico,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-14 Valencia-Girona,18967,2022-08-14 17:30:00,1,1,Valencia,Girona,1,0,0,0,8,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Hugo Guillamón | Thierry Correia | Mouctar Diakhaby | Hugo Duro | Eray Cömert | Yunus Musah | Samuel Lino | Jesús Vázquez | Giorgi Mamardashvili | Carlos Soler | Samu Castillejo,Juanpe | Valentín Castellanos | Valery Fernández | Aleix García | Ramón Terrats | Santiago Bueno | Samu Sáiz | Yan Couto | David López | Juan Carlos | Rodrigo Riquelme,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-14 Almeria-Real Madrid,18968,2022-08-14 20:00:00,1,2,Almeria,Real Madrid,1,2,0,0,9,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Umar Sadiq | Sergio Akieme | Fernando Martínez | Chumi | Largie Ramazani | Lucas Robertone | Samú Costa | Srdjan Babic | Kaiky | Íñigo Eguaras | Rodrigo Ely,Ferland Mendy | Federico Valverde | Thibaut Courtois | Eduardo Camavinga | Karim Benzema | Nacho | Vinícius Júnior | Aurelien Tchouameni | Antonio Rüdiger | Lucas Vázquez | Toni Kroos,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-15 Athletic Club-Mallorca,18969,2022-08-15 15:30:00,1,X,Athletic Club,Mallorca,0,0,0,0,10,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Yuri | Oihan Sancet | Unai Simón | Iñaki Williams | Mikel Vesga | Dani Vivian | De Marcos | Muniain | Asier Villalibre | Alex Berenguer | Yeray Álvarez,Lee Kang-In | Martin Valjent | Rodrigo Battaglia | Vedat Muriqi | Jaume Costa | Pablo Maffeo | Clément Grenier | Predrag Rajkovic | Copete | Dani Rodríguez | Raíllo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-15 Getafe-Atletico Madrid,18970,2022-08-15 17:30:00,1,2,Getafe,Atletico Madrid,0,3,0,0,12,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Domingos Duarte | Carles Aleñá | Nemanja Maksimovic | Borja Mayoral | David Soria | Enes Ünal | Stefan Mitrovic | Juan Iglesias | Fabrizio Angileri | Mauro Arambarri | Djené Dakonam,Nahuel Molina | Jan Oblak | Saúl Ñíguez | Reinildo | Axel Witsel | João Félix | Thomas Lemar | Álvaro Morata | Stefan Savic | Koke | Marcos Llorente,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-15 Real Betis-Elche,18971,2022-08-15 19:30:00,1,1,Real Betis,Elche,3,0,0,0,13,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Rui Silva | Edgar González | Borja Iglesias | Rodrigo Sánchez | Álex Moreno | Nabil Fekir | Guido Rodríguez | William Carvalho | Juanmi | Aitor Ruibal | Germán Pezzella,Gerard Gumbau | Enzo Roco | Pere Milla | Johan Mojica | Roger | John Donald | Helibelton Palacios | Omar Mascarell | Fidel | Pedro Bigas | Edgar Badía,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,2022-08-19 Espanyol-Rayo Vallecano,18972,2022-08-19 18:00:00,1,2,Espanyol,Rayo Vallecano,0,2,1,1,11,13,4,4,1,1,0,0,0,0,2,6,0,0,0,0,1,2,0,0,4,4,0,0,0,0,1,2,0,1,-32,-23,1,0,0,0,0,0,1,0,0,0,81.18,85.18,Óscar Gil | Sergi Gómez | Fernando Calero | Joselu | Rubén Sánchez | Nicolás Melamed | Leandro Cabrera | Vinicius Souza | Sergi Darder | Brian Oliván | Benjamin Lecomte,Óscar Trejo | Florian Lejeune | Álvaro García | Pathé Ciss | Alejandro Catena | Fran García | Isi Palazón | Unai López | Iván Balliu | Sergio Camello | Stole Dimitrievski,10,11,1,0,0,0,3,2,11,11,1,1,1.03,0.77,0.97,-0.77,0.9,0.97,1,0,1,1,1.01,0.68,0.09,0.4,-1.01,-0.68,-0.06,0.0,0,-2,0,0,0,1,-1,-4.0,0.26,0.32999999999999996,-0.31000000000000005
ESP-La Liga,2223,2022-08-19 Sevilla-Real Valladolid,18973,2022-08-19 20:00:00,1,X,Sevilla,Real Valladolid,1,1,0,0,16,18,4,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,5,5,0,0,0,0,3,1,1,1,-24,-32,5,5,0,0,2,1,2,1,2,3,48.45,51.27,Thomas Delaney | Marcos Acuña | Jesús Corona | Bono | Lucas Ocampos | Rafa Mir | Alejandro Gomez | Nemanja Gudelj | Jesús Navas | Karim Rekik | Fernando,Monchu | Luis Pérez | Joaquín Fernández | Sergio Asenjo | Álvaro Aguado | Sergio León | Toni Villa | Jawad El Yamiq | Roque Mesa | Sergio Escudero | Gonzalo Plata,6,6,4,4,1,1,5,3,11,11,1,1,0.97,0.86,0.03,-0.86,0.88,0.77,0,0,-1,0,0.89,0.36,0.63,0.59,-0.89,-0.36,0.0,-0.17,0,-2,0,0,0,0,0,-2.8200000000000003,0.10999999999999999,0.53,0.040000000000000036
ESP-La Liga,2223,2022-08-20 Osasuna-Cadiz,18974,2022-08-20 15:30:00,1,1,Osasuna,Cadiz,2,0,3,0,5,16,2,4,3,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,5,5,0,0,0,0,3,1,1,1,-31,-43,1,3,0,0,0,0,1,3,1,0,77.73,70.09,Moi Gómez | Unai García | Sergio Herrera | Juan Cruz | Kike Barja | David García | Rubén Peña | Jon Moncayola | Ezequiel Ávila | Aimar Oroz | Lucas Torró,Fali | Zaldúa | Alfonso Espino | Santiago Arzamendia | José Mari | Alberto Perea | Victor Chust | Anthony Lozano | Jeremías Ledesma | Luis Hernández | Lucas Pérez,10,8,1,2,0,1,2,5,11,11,1,1,1.36,0.29,0.64,-0.29,0.76,1.0,0,0,2,0,1.33,0.23,0.45,0.07,-1.33,-0.23,0.0,0.06,3,-11,3,0,0,-2,2,7.640000000000001,1.07,1.1,0.38
ESP-La Liga,2223,2022-08-20 Mallorca-Real Betis,18975,2022-08-20 17:30:00,1,2,Mallorca,Real Betis,1,2,1,3,12,3,4,1,1,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4,5,0,0,0,0,3,2,1,1,-24,-23,0,0,0,0,0,0,0,0,0,0,86.82,86.45,Lee Kang-In | Martin Valjent | Rodrigo Battaglia | Vedat Muriqi | Jaume Costa | Pablo Maffeo | Clément Grenier | Predrag Rajkovic | Copete | Dani Rodríguez | Raíllo,Rui Silva | Edgar González | Borja Iglesias | Rodrigo Sánchez | Nabil Fekir | Guido Rodríguez | Aitor Ruibal | William Carvalho | Juanmi | Álex Moreno | Germán Pezzella,11,11,0,0,0,0,2,2,11,11,1,1,0.48,4.04,-0.48,-1.04,0.86,0.75,0,0,0,0,0.48,3.99,0.21,1.29,-0.48,-3.99,0.0,0.0,-2,9,-2,0,0,0,0,0.36999999999999034,-3.56,-3.5100000000000002,-1.08
ESP-La Liga,2223,2022-08-20 Celta Vigo-Real Madrid,18976,2022-08-20 20:00:00,1,2,Celta Vigo,Real Madrid,1,4,1,3,9,8,4,4,1,3,0,0,0,0,5,1,0,0,0,0,1,0,0,0,4,5,0,0,0,0,1,3,1,1,-42,-40,1,4,0,0,0,3,1,1,0,0,83.73,54.45,Gonçalo Paciência | Fran Beltrán | Javi Galán | Unai Núñez | Iago Aspas | Joseph Aidoo | Franco Cervi | Óscar Rodríguez | Agustín Marchesín | Hugo Mallo | Augusto Solari,Ferland Mendy | Federico Valverde | Thibaut Courtois | Nacho | Karim Benzema | Eduardo Camavinga | Vinícius Júnior | Antonio Rüdiger | Lucas Vázquez | Toni Kroos | Aurelien Tchouameni,10,7,1,3,0,1,2,1,11,11,1,0,0.35,3.11,1.65,-1.11,0.61,0.56,0,1,-2,0,0.35,2.48,0.21,1.77,-0.35,-2.48,-0.02,0.5,-2,1,-2,0,0,-3,3,29.28,-2.76,-2.13,-1.56
ESP-La Liga,2223,2022-08-21 Athletic Club-Valencia,18977,2022-08-21 15:30:00,1,1,Athletic Club,Valencia,1,0,1,3,10,7,4,4,1,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,5,5,0,0,0,0,1,3,0,1,-32,-34,1,1,0,0,0,1,0,0,1,0,76.91,73.27,Oihan Sancet | Unai Simón | Iñaki Williams | Dani Vivian | Alex Berenguer | De Marcos | Muniain | Asier Villalibre | Yuri | Mikel Vesga | Yeray Álvarez,Hugo Guillamón | Thierry Correia | Yunus Musah | Mouctar Diakhaby | Hugo Duro | Eray Cömert | Samuel Lino | Jesús Vázquez | Giorgi Mamardashvili | Carlos Soler | Samu Castillejo,10,10,1,0,0,1,1,2,11,11,1,1,1.61,1.88,-1.61,-0.88,0.56,0.63,0,0,0,0,0.79,1.69,0.89,0.55,-0.79,-1.69,0.06,0.0,-2,3,-2,0,0,0,0,3.6400000000000006,-0.2699999999999998,-0.8999999999999999,0.33999999999999997
ESP-La Liga,2223,2022-08-21 Atletico Madrid-Villarreal,18978,2022-08-21 17:30:00,1,2,Atletico Madrid,Villarreal,0,2,3,3,6,7,3,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,1,0,0,-26,-24,1,1,0,0,0,0,2,1,0,0,78.55,78.27,Nahuel Molina | Jan Oblak | Saúl Ñíguez | Reinildo | Axel Witsel | João Félix | Thomas Lemar | Álvaro Morata | Stefan Savic | Koke | Marcos Llorente,Juan Foyth | Gerónimo Rulli | Etienne Capoue | Alfonso | Raúl Albiol | Francis Coquelin | Yeremi Pino | Nicolas Jackson | Daniel Parejo | Pau Torres | Gerard Moreno,10,10,1,1,0,0,4,2,11,11,1,1,1.48,1.4,1.52,1.6,0.72,0.59,1,3,0,0,1.07,1.27,0.72,0.53,-1.07,-1.27,0.01,0.0,0,-1,0,0,0,0,0,0.28000000000000114,0.08000000000000007,-0.19999999999999996,0.18999999999999995
ESP-La Liga,2223,2022-08-21 Real Sociedad-Barcelona,18979,2022-08-21 20:00:00,1,2,Real Sociedad,Barcelona,1,4,3,1,8,10,4,4,3,1,0,0,0,0,2,1,0,1,0,1,1,0,0,0,5,5,0,0,0,0,5,2,1,1,-11,-25,1,3,0,0,1,0,1,2,0,1,79.09,62.0,David Silva | Aritz Elustondo | Brais Méndez | Takefusa Kubo | Remiro | Igor Zubeldia | Mikel Merino | Martín Zubimendi | Robin Le Normand | Alexander Isak | Diego Rico,Sergio Busquets | Ousmane Dembélé | Eric Garcia | Raphinha | Marc-André ter Stegen | Pedri | Jordi Alba | Andreas Christensen | Gavi | Ronald Araújo | Robert Lewandowski,10,8,0,2,1,1,0,2,11,11,1,1,2.64,1.38,-1.64,-1.38,0.62,0.59,0,0,0,-2,1.72,0.89,1.06,0.71,-1.72,-0.89,0.02,0.2,2,-2,2,0,0,-2,2,17.090000000000003,1.2600000000000002,0.83,0.3500000000000001
ESP-La Liga,2223,2022-08-22 Elche-Almeria,18980,2022-08-22 18:00:00,1,X,Elche,Almeria,1,1,0,0,20,16,5,4,0,0,0,0,0,0,6,3,1,0,1,0,0,0,0,0,5,5,1,0,0,0,1,4,1,1,-75,-29,4,1,0,0,1,0,2,2,1,0,56.27,76.0,Gerard Gumbau | Enzo Roco | Diego González | Pere Milla | Johan Mojica | Omar Mascarell | Helibelton Palacios | Roger | Fidel | Pedro Bigas | Edgar Badía,Umar Sadiq | Sergio Akieme | Fernando Martínez | Chumi | Largie Ramazani | Samú Costa | Lucas Robertone | Srdjan Babic | Kaiky | Íñigo Eguaras | Rodrigo Ely,7,10,3,1,1,0,1,5,11,11,1,1,0.29,0.8,-0.29,0.2,0.94,0.83,0,0,-1,0,0.05,0.54,0.15,0.43,-0.05,-0.54,0.23,0.12,0,4,0,0,0,3,-3,-19.729999999999997,-0.51,-0.49000000000000005,-0.28
ESP-La Liga,2223,2022-08-22 Girona-Getafe,18981,2022-08-22 20:00:00,1,1,Girona,Getafe,3,1,0,0,18,20,5,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,2,0,1,-25,-30,3,0,0,0,0,0,3,0,1,0,68.36,83.82,Juanpe | Valentín Castellanos | Valery Fernández | Aleix García | Ramón Terrats | Santiago Bueno | Samu Sáiz | Yan Couto | David López | Juan Carlos | Rodrigo Riquelme,Domingos Duarte | Nemanja Maksimovic | Carles Aleñá | David Soria | Enes Ünal | Borja Mayoral | Stefan Mitrovic | Juan Iglesias | Fabrizio Angileri | Mauro Arambarri | Djené Dakonam,8,11,3,0,0,0,4,2,11,11,1,1,0.13,1.14,-0.13,-1.14,1.0,0.91,0,0,0,0,0.13,1.08,0.01,0.86,-0.13,-1.08,0.0,0.0,0,-2,0,0,0,3,-3,-15.459999999999994,-1.0099999999999998,-0.9500000000000001,-0.85
ESP-La Liga,2223,2022-08-26 Girona-Celta Vigo,18982,2022-08-26 18:00:00,1,2,Girona,Celta Vigo,0,1,3,1,9,16,4,4,2,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,2,0,1,-5,23,1,1,0,0,2,0,2,0,0,1,78.91,82.64,Juanpe | Valentín Castellanos | Cristhian Stuani | Yangel Herrera | Aleix García | Miguel Gutiérrez | Santiago Bueno | Yan Couto | David López | Juan Carlos | Rodrigo Riquelme,Gonçalo Paciência | Fran Beltrán | Javi Galán | Unai Núñez | Iago Aspas | Joseph Aidoo | Renato Tapia | Franco Cervi | Óscar Rodríguez | Agustín Marchesín | Hugo Mallo,10,10,0,1,1,0,3,2,14,12,1,1,1.58,1.32,1.42,-0.32,0.71,0.63,0,0,0,0,0.7,0.69,0.6,0.34,-0.57,-0.34,0.09,0.11,2,-7,2,0,0,0,0,-3.730000000000004,0.26,0.010000000000000009,0.25999999999999995
ESP-La Liga,2223,2022-08-26 Real Betis-Osasuna,18983,2022-08-26 20:00:00,1,1,Real Betis,Osasuna,1,0,6,6,2,4,1,1,5,5,0,0,0,0,8,2,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,3,1,0,2,9,0,1,0,0,0,1,0,2,0,1,87.55,78.64,Rui Silva | Edgar González | Borja Iglesias | Rodrigo Sánchez | Nabil Fekir | Guido Rodríguez | Aitor Ruibal | William Carvalho | Juanmi | Álex Moreno | Germán Pezzella,Moi Gómez | Unai García | Sergio Herrera | Juan Cruz | David García | Rubén Peña | Jon Moncayola | Ezequiel Ávila | Ante Budimir | Aimar Oroz | Lucas Torró,11,10,0,1,0,0,2,4,11,12,1,1,2.22,2.92,-0.22,-0.92,0.91,0.71,0,1,2,2,3.1,1.21,0.95,0.5,0.89,0.12,0.0,0.47,0,-2,0,0,0,-1,1,8.909999999999997,-0.6999999999999997,1.8900000000000001,0.44999999999999996
ESP-La Liga,2223,2022-08-27 Elche-Real Sociedad,18984,2022-08-27 15:30:00,1,2,Elche,Real Sociedad,0,1,1,3,18,12,5,4,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,2,0,0,59,-8,0,2,0,0,0,1,0,0,0,1,87.55,71.91,Gerard Gumbau | Enzo Roco | Ezequiel Ponce | Pol Lirola | Johan Mojica | Omar Mascarell | Helibelton Palacios | Roger | Tete Morente | Pedro Bigas | Edgar Badía,David Silva | Brais Méndez | Aritz Elustondo | Takefusa Kubo | Aihen Muñoz | Remiro | Igor Zubeldia | Mikel Merino | Martín Zubimendi | Robin Le Normand | Alexander Isak,10,9,1,1,0,1,3,0,15,12,1,1,0.9,0.8,0.1,0.2,0.57,0.55,0,0,1,0,0.47,1.42,0.7,0.42,-0.42,0.3,-0.1,-0.17,-2,6,-2,0,0,-2,1,15.64,0.09999999999999998,-0.95,0.27999999999999997
