LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
FRA-Ligue 1,2021,2020-08-21 Bordeaux-Nantes,13977,2020-08-21 17:00:00,1,X,Bordeaux,Nantes,0,0,0,0,1,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Laurent Koscielny | Paul Baysse | Maxime Poundje | Nicolas de Preville | Hwang Ui-Jo | Youssouf Sabaly | Josh Maja | Otávio | Toma Basic | Mehdi Zerkane | Benoit Costil,Kalifa Coulibaly | Fabio | Abdoul Kader Bamba | Andrei Girotto | Alban Lafont | Nicolas Pallois | Moses Simon | Samuel Moutoussamy | Imran Louza | Pedro Chirivella | Charles Traore,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2021,2020-08-22 Dijon-Angers,13978,2020-08-22 15:00:00,1,2,Dijon,Angers,0,1,0,0,3,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Aurelien Scheidler | Jordan Marié | Ngonda Muzinga | Pape Cheikh | Didier Ndong | Eric Junior Dina Ebimbe | Wesley Lautoa | Bruno Ecuele Manga | Alfred Gomis | Mounir Chouiar | Ahmad Toure Ngouyamsa Nounchili,Ismael Traoré | Abdoulaye Bamba | Thomas Mangani | Wilfried Kanga | Sada Thioub | Souleyman Doumbia | Angelo Fulgini | Romain Thomas | Pereira Lage | Paul Bernardoni | Baptiste Santamaria,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2021,2020-08-22 Lille-Rennes,13979,2020-08-22 19:00:00,1,X,Lille,Rennes,1,1,0,0,4,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Renato Sanches | Jonathan Christian David | Reinildo | Benjamin André | Mehmet Zeki Çelik | Jonathan Ikone | Xeka | Jonathan Bamba | Sven Botman | Mike Maignan | José Fonte,Faitout Maouassa | Jonas Martin | Sacha Boey | Benjamin Bourigeaud | Naif Aguerd | Damien Da Silva | Martin Terrier | Edouard Mendy | Raphinha | Steven N'Zonzi | M'Baye Niang,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2021,2020-08-23 Monaco-Reims,13982,2020-08-23 11:00:00,1,X,Monaco,Reims,2,2,0,0,6,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Aurelien Tchouameni | Benjamin Lecomte | Axel Disasi | Fode Toure | Ruben Aguilar | Benoit Badiashile Mukinayi | Wissam Ben Yedder | Youssouf Fofana | Gelson Martins | Henry Onyekuru | Aleksandr Golovin,Mathieu Cafaro | Ghislain Konan | Predrag Rajkovic | Xavier Chavalerin | El Bilal Touré | Yunis Abdelhamid | Boulaye Dia | Thomas Foket | Wout Faes | Marshall Munetsi | Dereck Kutesa,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2021,2020-08-23 Lorient-Strasbourg,13980,2020-08-23 13:00:00,1,1,Lorient,Strasbourg,3,1,0,0,8,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Yoane Wissa | Stéphane Diarra | Julien Laporte | Adrian Grbic | Paul Nardi | Houboulang Mendes | Vincent Le Goff | Enzo Le Fée | Quentin Boisgard | Fabien Lemoine | Jérémy Morel,Mohamed Simakan | Lamine Koné | Sanjin Prcic | Kenny Lala | Adrien Thomasson | Stefan Mitrovic | Lionel Carole | Ibrahima Sissoko | Mehdi Chahiri | Eiji Kawashima | Ludovic Ajorque,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2021,2020-08-23 Nimes-Brest,13985,2020-08-23 13:00:00,1,1,Nimes,Brest,4,0,0,0,9,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Pablo Martinez | Birger Meling | Yassin Benrahou | Lucas Deaux | Zinedine Ferhat | Romain Philippoteaux | Renaud Ripart | Kévin Denkey | Baptiste Reynet | Adrián Cubas | Loïck Landre,Ronael Pierre Gabriel | Gautier Larsonneur | Brendan Chardonnet | Julien Faussurier | Franck Honorat | Haris Belkebla | Romain Faivre | Jean-Kevin Duverne | Jeremy Le Douaron | Irvin Cardona | Ibrahima Diallo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2021,2020-08-23 Nice-Lens,13984,2020-08-23 15:00:00,1,1,Nice,Lens,2,1,0,0,10,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Morgan Schneiderlin | Kasper Dolberg | Pierre Lees-Melou | Robson Bambu | Alexis Claude Maurice | Kephren Thuram | Amine Gouiri | Dante | Hassane Kamara | Jordan Lotomba | Walter Benítez,Jonathan Gradit | Ismael Boura | Loic Bade | Gaël Kakuta | Facundo Medina | Florian Sotoca | Jean-Louis Leca | Clement Michelin | Ignatius Ganago | Yannick Cahuzac | Cheick Oumar Doucoure,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2021,2020-08-28 Lyon-Dijon,13990,2020-08-28 19:00:00,1,1,Lyon,Dijon,4,1,0,0,11,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,2,0,0,0,-45,0,2,0,0,0,1,0,1,0,1,0.0,74.18,Fernando Marçal | Maxence Caqueret | Moussa Dembele | Bruno Guimarães | Léo Dubois | Anthony Lopes | Memphis Depay | Jason Denayer | Maxwel Cornet | Marcelo | Karl Toko Ekambi,Aurelien Scheidler | Jordan Marié | Bruno Ecuele Manga | Ngonda Muzinga | Eric Junior Dina Ebimbe | Mounir Chouiar | Wesley Lautoa | Didier Ndong | Alfred Gomis | Pape Cheikh | Ahmad Toure Ngouyamsa Nounchili,11,9,0,0,0,2,0,4,11,11,0,1,0.0,0.8,0.0,-0.8,0.0,0.71,0,0,0,0,0.0,0.78,0.0,0.78,0.0,-0.78,0.0,0.01,0,-6,0,0,0,-2,2,-74.18,-0.8,-0.78,-0.78
FRA-Ligue 1,2021,2020-08-29 Rennes-Montpellier,13994,2020-08-29 15:00:00,1,1,Rennes,Montpellier,2,1,1,0,9,14,4,4,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,-56,0,4,0,1,0,1,0,1,0,1,0,59.64,0.0,Faitout Maouassa | Jonas Martin | Naif Aguerd | Benjamin Bourigeaud | Damien Da Silva | Martin Terrier | Edouard Mendy | Brandon Soppy | Raphinha | Steven N'Zonzi | M'Baye Niang,Gaetan Laborde | Arnaud Souquet | Téji Savanier | Jordan Ferri | Jonas Omlin | Joris Chotard | Pedro Mendes | Mihailo Ristic | Damien Le Tallec | Florent Mollet | Daniel Congré,8,11,1,0,2,0,1,0,11,11,0,0,1.31,0.0,-0.31,0.0,0.82,0.0,1,0,0,0,1.1,0.0,0.26,0.0,-1.1,0.0,-0.59,0.0,1,-5,1,0,0,4,-3,59.64,1.31,1.1,0.26
FRA-Ligue 1,2021,2020-08-29 Strasbourg-Nice,13996,2020-08-29 19:00:00,1,2,Strasbourg,Nice,0,2,0,3,18,5,5,3,0,3,0,0,0,0,2,2,0,0,0,0,0,1,0,0,5,5,0,1,0,0,3,0,1,0,-25,-58,2,2,0,0,2,1,1,0,1,1,71.91,77.45,Mehdi Chahiri | Lamine Koné | Ibrahima Sissoko | Sanjin Prcic | Kenny Lala | Adrien Thomasson | Lionel Carole | Stefan Mitrovic | Mohamed Simakan | Eiji Kawashima | Ludovic Ajorque,Morgan Schneiderlin | Kasper Dolberg | Pierre Lees-Melou | Andy Pelmard | Alexis Claude Maurice | Kephren Thuram | Amine Gouiri | Dante | Hassane Kamara | Jordan Lotomba | Walter Benítez,9,10,2,1,0,0,3,3,11,11,1,1,0.33,0.18,0.67,1.82,0.54,0.85,0,0,0,2,0.22,0.18,0.19,0.12,-0.22,-0.18,-0.03,0.0,-3,13,-3,0,0,0,-1,-5.540000000000006,0.15000000000000002,0.04000000000000001,0.07
FRA-Ligue 1,2021,2020-08-30 Reims-Lille,13993,2020-08-30 11:00:00,1,2,Reims,Lille,0,1,1,1,10,8,4,4,1,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,4,5,0,1,0,0,1,2,1,0,-31,-48,2,2,0,0,1,1,3,1,1,1,66.73,73.18,Mathieu Cafaro | Ghislain Konan | Predrag Rajkovic | Xavier Chavalerin | El Bilal Touré | Yunis Abdelhamid | Boulaye Dia | Thomas Foket | Wout Faes | Marshall Munetsi | Dereck Kutesa,Renato Sanches | Jonathan Christian David | Reinildo | Benjamin André | Mehmet Zeki Çelik | Jonathan Ikone | Xeka | Jonathan Bamba | Sven Botman | Mike Maignan | José Fonte,9,9,0,0,2,2,2,1,11,11,1,1,1.83,0.4,0.17,0.6,0.62,0.91,0,0,-2,-2,0.45,0.35,0.89,0.4,-0.45,-0.35,1.02,0.04,0,2,0,0,0,0,0,-6.450000000000003,1.4300000000000002,0.10000000000000003,0.49
