LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,17822,2021-08-06 19:00:00,1,X,Monaco,Nantes,1,1,0,0,1,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Sofiane Diop | Jean Lucas | Aurelien Tchouameni | Caio Henrique | Myron Boadu | Ruben Aguilar | Gelson Martins | Benoit Badiashile Mukinayi | Kevin Volland | Alexander Nübel | Axel Disasi,Andrei Girotto | Randal Kolo Muani | Samuel Moutoussamy | Nicolas Pallois | Dennis Appiah | Fabio | Moses Simon | Ludovic Blas | Alban Lafont | Jean-Charles Castelletto | Roli Pereira De Sa,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-16,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-07 Lyon-Brest,17823,2021-08-07 15:00:00,1,X,Lyon,Brest,1,1,0,0,3,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Thiago Mendes | Houssem Aouar | Mathis Cherki | Maxence Caqueret | Malo Gusto | Marcelo | Castello Lukeba | Moussa Dembele | Karl Toko Ekambi | Léo Dubois | Anthony Lopes,Jere Uronen | Lilian Brassier | Ronael Pierre Gabriel | Irvin Cardona | Marco Bizot | Brendan Chardonnet | Steve Mounie | Haris Belkebla | Franck Honorat | Hianga'a M'Bock | Romain Faivre,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-07 Troyes-Paris Saint Germain,17824,2021-08-07 19:00:00,1,2,Troyes,Paris Saint Germain,1,2,0,0,5,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Dylan Chambost | Gauthier Gallon | Karim Azamoum | Rominigue Kouame | Florian Tardieu | Issa Kabore | Oualid El Hajjam | Yoann Touzghar | Renaud Ripart | Jimmy Giraudon | Youssouf Kone,Kylian Mbappe-Lottin | Presnel Kimpembe | Thilo Kehrer | Georginio Wijnaldum | Danilo Pereira | Mauro Icardi | Achraf Hakimi | Ander Herrera | Julian Draxler | Keylor Navas | Abdou Diallo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-08 Rennes-Lens,17825,2021-08-08 11:00:00,1,X,Rennes,Lens,1,1,0,0,6,18,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kamaldeen Sulemana | Martin Terrier | Flavien Tait | Chimuanya Ugochukwu | Loic Bade | Hamari Traore | Benjamin Bourigeaud | Birger Meling | Naif Aguerd | Eduardo Camavinga | Alfred Gomis,Cheick Oumar Doucoure | Steven Fortes | Gaël Kakuta | Seko Fofana | Deiver Machado | Ignatius Ganago | Simon Banza | Christopher Wooh | Ismael Boura | Jonathan Clauss | Jean-Louis Leca,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-08 Bordeaux-Clermont Foot,17828,2021-08-08 13:00:00,1,2,Bordeaux,Clermont Foot,0,2,0,0,8,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Mexer | Laurent Koscielny | Enock Kwateng | Remi Oudin | Samuel Kalu | Toma Basic | Benoit Costil | Loris Benito | Yacine Adli | Issouf Sissokho | Jimmy Briand,Mohamed Bayo | Jason Berthomier | Florent Ogier | Cédric Hountondji | Arthur Desmas | Jodel Dossou | Johan Gastien | Salis Abdul Samed | Vital N'Simba | Jim Allevinah | Akim Zedadka,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-08 Nice-Reims,17829,2021-08-08 13:00:00,1,X,Nice,Reims,0,0,0,0,9,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kephren Thuram | Amine Gouiri | Justin Kluivert | Youcef Atal | Walter Benítez | Jean-Clair Todibo | Lucas Da Cunha | Hassane Kamara | Dan Ndoye | Pablo Rosario | Dante,Andrew Gravillon | Marshall Munetsi | Yunis Abdelhamid | Kaj Sierhuis | Predrag Rajkovic | Ghislain Konan | Mathieu Cafaro | Xavier Chavalerin | Nathanael Mbuku | Wout Faes | Thomas Foket,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-08 Saint-Etienne-Lorient,17826,2021-08-08 13:00:00,1,X,Saint-Etienne,Lorient,1,1,0,0,11,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Charles Nathan Abi | Harold Moukoudi | Denis Bouanga | Mickael Nade | Adil Aouchiche | Mahdi Camara | Wahbi Khazri | Timothée Kolodziejczak | Etienne Green | Yvann Maçon | Zaydou Youssef,Enzo Le Fée | Houboulang Mendes | Julien Laporte | Fabien Lemoine | Paul Nardi | Igor Silva | Armand Lauriente | Terem Igobor Moffi | Laurent Abergel | Jérémy Morel | Vincent Le Goff,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-08 Strasbourg-Angers,17827,2021-08-08 13:00:00,1,2,Strasbourg,Angers,0,2,0,0,13,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Adrien Thomasson | Jean-Ricner Bellegarde | Anthony Caci | Alexander Djiku | Dmitri Lienard | Ibrahima Sissoko | Karol Fila | Ludovic Ajorque | Majeed Waris | Matz Sels | Habib Diallo,Romain Thomas | Vincent Manceau | Paul Bernardoni | Sofiane Boufal | Angelo Fulgini | Souleyman Doumbia | Mohamed Ali-Cho | Thomas Mangani | Waniss Taibi | Ismael Traoré | Jimmy Cabot,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-08 Metz-Lille,17830,2021-08-08 15:00:00,1,X,Metz,Lille,3,3,0,0,14,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Digbo Maiga | Dylan Bronn | Pape Sarr | Ibrahima Niane | Thomas Delaine | Kiki Kouyate | Alexandre Oukidja | Matthieu Udol | Fabien Centonze | Cheick Tidiane Sabaly | Kevin N'Doram,Renato Sanches | Sven Botman | Reinildo | Benjamin André | José Fonte | Léo Jardim | Mehmet Zeki Çelik | Jonathan Christian David | Burak Yilmaz | Jonathan Bamba | Yusuf Yazici,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-08 Montpellier-Marseille,17831,2021-08-08 18:45:00,1,2,Montpellier,Marseille,2,3,0,0,16,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Maxime Estève | Sepe Elye Wahi | Andy Delort | Florent Mollet | Gaetan Laborde | Jordan Ferri | Joris Chotard | Junior Sambia | Thuler | Nicolas Cozza | Dimitry Bertaud,Dimitri Payet | Boubacar Kamara | William Saliba | Steve Mandanda | Luan Peres | Pape Alassane Gueye | Cengiz Ünder | Leonardo Balerdi | Gerson | Matteo Guendouzi | Konrad De la Fuente,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2122,2021-08-13 Lorient-Monaco,17832,2021-08-13 19:00:00,1,1,Lorient,Monaco,1,0,1,1,11,5,4,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,1,1,0,-18,-30,1,3,0,0,0,4,1,0,0,1,79.45,60.0,Paul Nardi | Julien Laporte | Houboulang Mendes | Enzo Le Fée | Fabien Lemoine | Igor Silva | Armand Lauriente | Terem Igobor Moffi | Laurent Abergel | Jérémy Morel | Vincent Le Goff,Sofiane Diop | Jean Lucas | Alexander Nübel | Aurelien Tchouameni | Caio Henrique | Ruben Aguilar | Myron Boadu | Gelson Martins | Kevin Volland | Benoit Badiashile Mukinayi | Axel Disasi,10,8,1,2,0,1,1,4,11,11,1,0,0.84,1.78,0.16,-0.78,0.65,0.85,0,0,0,0,0.73,1.66,0.62,0.45,-0.73,-1.66,0.02,0.06,0,6,0,0,0,-2,2,19.450000000000003,-0.9400000000000001,-0.9299999999999999,0.16999999999999998
