LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
FRA-Ligue 1,2223,2022-08-05 Lyon-Ajaccio,19648,2022-08-05 19:00:00,1,1,Lyon,Ajaccio,2,1,0,0,1,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Alexandre Lacazette | Lucas Paquetá | Nicolás Tagliafico | Malo Gusto | Anthony Lopes | Tetê | Castello Lukeba | Johann Lepenant | Houssem Aouar | Thiago Mendes | Karl Toko Ekambi,Ismael Diallo | Mickaël Alphonse | Oumar Gonzalez | Romain Hamouma | Thomas Mangani | Benjamin Leroy | Riad Nouri | Mounaim El Idrissy | Cédric Avinel | Vincent Marchetti | Cyrille Bayala,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-06 Strasbourg-Monaco,19649,2022-08-06 15:00:00,1,2,Strasbourg,Monaco,1,2,0,0,2,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Habib Diallo | Gerzino Nyamsi | Lucas Perrin | Dmitri Lienard | Matz Sels | Alexander Djiku | Adrien Thomasson | Jean-Ricner Bellegarde | Sanjin Prcic | Ronael Pierre Gabriel | Ludovic Ajorque,Guillermo Maripán | Ismail Jakobs | Krépin Diatta | Axel Disasi | Alexander Nübel | Youssouf Fofana | Breel Embolo | Jean Lucas | Ruben Aguilar | Sofiane Diop | Gelson Martins,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-06 Clermont Foot-Paris Saint Germain,19650,2022-08-06 19:00:00,1,2,Clermont Foot,Paris Saint Germain,0,5,0,0,3,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Muhammed-Cham Saracevic | Mateusz Wieteska | Komnen Andric | Elbasan Rashani | Neto Borges | Jim Allevinah | Florent Ogier | Alidu Seidu | Maxime Gonalons | Johan Gastien | Mory Diaw,Marquinhos | Presnel Kimpembe | Gianluigi Donnarumma | Nuno Mendes | Vitinha | Pablo Sarabia | Neymar | Marco Verratti | Achraf Hakimi | Sergio Ramos | Lionel Messi,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-07 Toulouse-Nice,19651,2022-08-07 11:00:00,1,X,Toulouse,Nice,1,1,0,0,4,15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Anthony Rouault | Farès Chaïbi | Thijs Dallinga | Nathan N'Goumou Minpol | Rafael Ratão | Issiaga Sylla | Stijn Spierings | Rasmus Nicolaisen | Branco van den Boomen | Mikkel Desler | Maxime Dupé,Kephren Thuram | Jean-Clair Todibo | Andy Delort | Jordan Lotomba | Alexis Beka Beka | Amine Gouiri | Marcin Bulka | Calvin Stengs | Pablo Rosario | Dante | Melvin Bard,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-07 Angers-Nantes,19654,2022-08-07 13:00:00,1,X,Angers,Nantes,0,0,0,0,6,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Adrien Hunou | Souleyman Doumbia | Pierrick Capelle | Azz-Eddine Ounahi | Lois Diony | Miha Blazic | Cédric Hountondji | Batista Mendy | Halid Sabanovic | Paul Bernardoni | Sada Thioub,Ludovic Blas | Alban Lafont | Moses Simon | Nicolas Pallois | Pedro Chirivella | Dennis Appiah | Evann Guessand | Quentin Merlin | Marcus Coco | Andrei Girotto | Moussa Sissoko,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-07 Lens-Brest,19655,2022-08-07 13:00:00,1,1,Lens,Brest,3,2,0,0,8,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Brice Samba | Kevin Danso | David Pereira Da Costa | Jonathan Gradit | Loïs Openda | Salis Abdul Samed | Florian Sotoca | Facundo Medina | Przemyslaw Frankowski | Deiver Machado | Seko Fofana,Haris Belkebla | Pierre Lees-Melou | Franck Honorat | Christophe Herelle | Brendan Chardonnet | Lilian Brassier | Pereira Lage | Noah Fadiga | Marco Bizot | Mohamed Youcef Belaïli | Irvin Cardona,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-07 Lille-Auxerre,19652,2022-08-07 13:00:00,1,1,Lille,Auxerre,4,1,0,0,9,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Tiago Djaló | Jonathan Bamba | Benjamin André | José Fonte | Jonathan Christian David | Mohamed Bayo | Rémy Cabella | Léo Jardim | Alexsandro Ribeiro | Angel Gomes | Akim Zedadka,Julian Jeanvier | Mathias Autret | Youssouf M'Changama | Gauthier Hein | Birama Touré | Benoit Costil | Hamza Sakhi | Quentin Bernard | Brayann Pereira | Jubal | Gaëtan Charbonnier,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-07 Montpellier-Troyes,19653,2022-08-07 13:00:00,1,1,Montpellier,Troyes,3,2,0,0,10,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Mamadou Sakho | Wahbi Khazri | Stephy Mavididi | Enzo Tchato Mbiayi | Sepe Elye Wahi | Jonas Omlin | Faitout Maouassa | Joris Chotard | Téji Savanier | Theo Sainte Luce | Falaye Sacko,Gauthier Gallon | Erik Palmer-Brown | Florian Tardieu | Jackson Porozo | Mama Baldé | Renaud Ripart | Rominigue Kouame | Yasser Larouci | Andreas Bruus | Yoann Salmier | Xavier Chavalerin,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-07 Rennes-Lorient,19656,2022-08-07 15:05:00,1,2,Rennes,Lorient,0,1,0,0,11,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Hamari Traore | Joe Rodon | Arthur Theate | Baptiste Santamaria | Flavien Tait | Benjamin Bourigeaud | Gaetan Laborde | Martin Terrier | Adrien Truffert | Steve Mandanda | Lovro Majer,Bonke Innocent | Gédéon Kalulu | Laurent Abergel | Vincent Le Goff | Terem Igobor Moffi | Yvon Mvogo | Enzo Le Fée | Montassar Talbi | Dango Ouattara | Armand Lauriente | Julien Laporte,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-07 Marseille-Reims,19657,2022-08-07 18:45:00,1,1,Marseille,Reims,4,1,0,0,12,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Gerson | Leonardo Balerdi | Arkadiusz Milik | Jonathan Clauss | Valentin Rongier | Cengiz Ünder | Rubén Blanco | Samuel Gigot | Nuno Tavares | Matteo Guendouzi | Chancel Mbemba,Azor Matusiwa | Bradley Locko | Wout Faes | Emmanuel Agbadou | Andrew Gravillon | Marshall Munetsi | Mitchell van Bergen | Patrick Pentz | Arbër Zeneli | El Bilal Touré | Yunis Abdelhamid,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,2022-08-12 Nantes-Lille,19658,2022-08-12 19:00:00,1,X,Nantes,Lille,1,1,1,3,11,2,4,1,1,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,4,0,1,-16,-15,3,0,0,0,3,0,1,0,1,0,66.09,87.45,Ludovic Blas | Alban Lafont | Nicolas Pallois | Moses Simon | Pedro Chirivella | Dennis Appiah | Evann Guessand | Quentin Merlin | Marcus Coco | Andrei Girotto | Moussa Sissoko,Tiago Djaló | Jonathan Bamba | Benjamin André | José Fonte | Jonathan Christian David | Mohamed Bayo | Rémy Cabella | Léo Jardim | Alexsandro Ribeiro | Angel Gomes | Akim Zedadka,8,11,2,0,1,0,2,1,11,11,1,1,1.15,1.3,-1.15,2.7,0.83,0.66,0,0,1,0,0.86,1.16,0.92,1.21,-0.86,-1.16,0.29,0.0,-2,9,-2,0,0,3,-3,-21.36,-0.15000000000000013,-0.29999999999999993,-0.2899999999999999
