LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
FRA-Ligue 1,2324,2023-08-12 Brest-Lens,23378,2023-08-12 18:00:00,1,1,Brest,Lens,3,2,0,0,1,18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Pereira Lage | Pierre Lees-Melou | Hugo Magnetti | Lilian Brassier | Martín Satriano | Jeremy Le Douaron | Bradley Locko | Brendan Chardonnet | Marco Bizot | Kenny Lala | Romain Del Castillo,Brice Samba | Jonathan Gradit | Angelo Fulgini | Facundo Medina | Andy Diouf | Deiver Machado | Salis Abdul Samed | Kevin Danso | Morgan Guilavogui | Przemyslaw Frankowski | Florian Sotoca,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-17,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,2023-08-12 Marseille-Reims,23372,2023-08-12 18:00:00,1,1,Marseille,Reims,2,1,0,0,2,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Chancel Mbemba | Jonathan Clauss | Renan Lodi | François Mughe | Valentin Rongier | Samuel Gigot | Iliman Ndiaye | Vitinha | Pau López | Azz-Eddine Ounahi | Geoffrey Kondogbia,Azor Matusiwa | Junya Ito | Joseph Okumu | Oumar Diakité | Reda Khadra | Yunis Abdelhamid | Amir Richardson | Joshua Wilson-Esbrand | Thomas Foket | Marshall Munetsi | Yehvann Diouf,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,2023-08-12 Nice-Lille,23377,2023-08-12 18:00:00,1,X,Nice,Lille,1,1,0,0,3,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jeremie Boga | Morgan Sanson | Melvin Bard | Kephren Thuram | Jean-Clair Todibo | Gaetan Laborde | Marcin Bulka | Youssouf Ndayishimiye | Terem Igobor Moffi | Youcef Atal | Dante,Bafode Diakite | Carlos Baleba | Jonathan Christian David | Tiago Santos | Rémy Cabella | Lucas Chevalier | Alexsandro Ribeiro | Alan Virginius | Hákon Haraldsson | Ismaily | Benjamin André,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,2023-08-12 Paris Saint Germain-Lorient,23379,2023-08-12 18:00:00,1,X,Paris Saint Germain,Lorient,0,0,0,0,5,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Manuel Ugarte | Marco Asensio | Warren Zaïre-Emery | Lucas Hernández | Milan Skriniar | Vitinha | Achraf Hakimi | Gianluigi Donnarumma | Lee Kang-In | Gonçalo Ramos | Danilo Pereira,Bamo Meïté | Théo Le Bris | Laurent Abergel | Montassar Talbi | Romain Faivre | Ahmadou Bamba Dieng | Julien Laporte | Gédéon Kalulu | Vincent Le Goff | Yvon Mvogo | Jean-Victor Makengo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.77,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.77,0.42
FRA-Ligue 1,2324,2023-08-13 Clermont Foot-Monaco,23375,2023-08-13 13:00:00,1,2,Clermont Foot,Monaco,2,4,0,0,7,16,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Johan Gastien | Maxime Gonalons | Andy Pelmard | Mehdi Zeffane | Mory Diaw | Muhammed-Cham Saracevic | Grejohn Kyei | Neto Borges | Alidu Seidu | Jim Allevinah | Mateusz Wieteska,Caio Henrique | Vanderson | Takumi Minamino | Youssouf Fofana | Mohamed Camara | Philipp Köhn | Aleksandr Golovin | Soungoutou Magassa | Wissam Ben Yedder | Chrislain Matsima | Guillermo Maripán,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,2023-08-13 Montpellier-Le Havre,23376,2023-08-13 13:00:00,1,X,Montpellier,Le Havre,2,2,0,0,8,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kiki Kouyate | Christopher Jullien | Téji Savanier | Joris Chotard | Jordan Ferri | Mousa Al Tamari | Akor Adams | Benjamin Lecomte | Issiaga Sylla | Falaye Sacko | Wahbi Khazri,Yoann Salmier | Arouna Sangante | Daler Kuzyaev | Rassoul Ndiaye | Arthur Desmas | Issa Soumaré | Nabil Alioui | Josué Casimir | Oussama Targhaline | Loïc Négo | Gautier Lloris,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,2023-08-13 Nantes-Toulouse,23374,2023-08-13 13:00:00,1,2,Nantes,Toulouse,1,2,0,0,10,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Samuel Moutoussamy | Nicolas Pallois | Pedro Chirivella | Moses Simon | Mostafa Mohamed | Florent Mollet | Nathan Zeze | Marcus Coco | Ronael Pierre Gabriel | Quentin Merlin | Alban Lafont,Denis Genreau | Logan Costa | Zakaria Aboukhlal | Gabriel Suazo | Rasmus Nicolaisen | Guillaume Restes | Cristian Cásseres Jr. | Vincent Sierro | Mikkel Desler | Thijs Dallinga | Moussa Diarra,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,2023-08-13 Rennes-Metz,23371,2023-08-13 15:05:00,1,1,Rennes,Metz,5,1,0,0,11,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Amine Gouiri | Warmed Omari | Arthur Theate | Steve Mandanda | Baptiste Santamaria | Jéremy Doku | Benjamin Bourigeaud | Lorenz Assignon | Arnaud Kalimuendo Muinga | Enzo Le Fée | Jeanuël Belocian,Alexandre Oukidja | Georges Mikautadze | Kevin N'Doram | Koffi Kouao | Maxime Colin | Danley Jean Jacques | Youssef Maziz | Cheick Tidiane Sabaly | Fali Candé | Lamine Camara | Ismael Traoré,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,2023-08-13 Strasbourg-Lyon,23373,2023-08-13 18:45:00,1,1,Strasbourg,Lyon,2,1,0,0,12,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Gerzino Nyamsi | Emanuel Emegha | Sanjin Prcic | Thomas Delaine | Jean-Ricner Bellegarde | Matz Sels | Lebo Mothiba | Jessy Deminguet | Ismaël Doukouré | Frederic Guilbert | Abakar Sylla,Mathis Cherki | Sinaly Diomande | Nicolás Tagliafico | Johann Lepenant | Rémy Riou | Clinton Mata | Corentin Tolisso | Duje Caleta-Car | Bradley Barcola | Alexandre Lacazette | Maxence Caqueret,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,2023-08-18 Metz-Marseille,23388,2023-08-18 19:00:00,1,X,Metz,Marseille,2,2,0,3,18,4,5,1,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,5,5,0,0,0,0,4,2,0,0,-23,-34,2,4,0,0,1,1,3,2,0,1,74.36,58.73,Alexandre Oukidja | Georges Mikautadze | Maxime Colin | Kevin N'Doram | Koffi Kouao | Danley Jean Jacques | Youssef Maziz | Cheick Tidiane Sabaly | Fali Candé | Lamine Camara | Ismael Traoré,Chancel Mbemba | Jonathan Clauss | Renan Lodi | François Mughe | Valentin Rongier | Samuel Gigot | Iliman Ndiaye | Vitinha | Pau López | Azz-Eddine Ounahi | Geoffrey Kondogbia,9,7,2,4,0,0,5,1,11,11,1,1,0.56,1.51,0.44,0.49,0.51,0.87,0,1,0,0,0.56,0.57,0.19,0.81,-0.56,-0.57,-0.05,0.25,-3,14,-3,0,0,-2,2,15.630000000000003,-0.95,-0.009999999999999898,-0.6200000000000001
FRA-Ligue 1,2324,2023-08-19 Lyon-Montpellier,23384,2023-08-19 15:00:00,1,2,Lyon,Montpellier,1,4,0,1,15,9,4,4,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,3,5,1,0,0,0,1,4,0,0,-70,-14,2,1,0,0,1,0,1,0,1,1,80.0,80.91,Sinaly Diomande | Mathis Cherki | Nicolás Tagliafico | Johann Lepenant | Rémy Riou | Sael Kumbedi | Corentin Tolisso | Duje Caleta-Car | Bradley Barcola | Alexandre Lacazette | Maxence Caqueret,Kiki Kouyate | Christopher Jullien | Téji Savanier | Joris Chotard | Mousa Al Tamari | Jordan Ferri | Akor Adams | Benjamin Lecomte | Issiaga Sylla | Falaye Sacko | Wahbi Khazri,10,10,0,1,1,0,3,1,11,11,1,1,2.06,1.3,-1.06,0.7,0.65,0.77,0,0,0,-2,1.68,0.54,1.35,0.49,-1.68,-0.54,0.13,0.16,-1,6,-1,0,0,1,0,-0.9099999999999966,0.76,1.14,0.8600000000000001
