LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
GER-Bundesliga,2021,2020-09-18 Bayern Munich-Schalke 04,14173,2020-09-18 18:30:00,1,1,Bayern Munich,Schalke 04,8,0,0,0,1,16,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Manuel Neuer | Leroy Sané | Thomas Müller | Robert Lewandowski | Joshua Kimmich | Jérôme Boateng | Serge Gnabry | Niklas Süle | Leon Goretzka | Lucas Hernández | Benjamin Pavard,Benjamin Stambouli | Ralf Fährmann | Ozan Kabak | Rabbi Matondo | Amine Harit | Bastian Oczipka | Mark Uth | Sebastian Rudy | Gonçalo Paciência | Suat Serdar | Nabil Bentaleb,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2021,2020-09-19 Eintracht Frankfurt-Arminia Bielefeld,14174,2020-09-19 13:30:00,1,X,Eintracht Frankfurt,Arminia Bielefeld,1,1,0,0,2,13,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Makoto Hasebe | Filip Kostic | Kevin Trapp | Daichi Kamada | Bas Dost | Martin Hinteregger | Dominik Kohr | David Abraham | Danny da Costa | Sebastian Rode | André Silva,Amos Pieper | Ritsu Doan | Anderson-Lenda Lucoqui | Sergio Córdova | Nathan de Medina | Marcel Hartel | Mike van der Hoorn | Fabian Klos | Cebio Soukou | Stefan Ortega Moreno | Manuel Prietl,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2021,2020-09-19 FC Cologne-Hoffenheim,14176,2020-09-19 13:30:00,1,2,FC Cologne,Hoffenheim,2,3,0,0,4,16,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ondrej Duda | Marco Höger | Elvis Rexhbecaj | Sebastiaan Bornauw | Sebastian Andersson | Jannes Horn | Rafael Czichos | Jan Thielmann | Timo Horn | Jonas Hector | Ellyes Skhiri,Pavel Kaderábek | Diadie Samassékou | Oliver Baumann | Ermin Bicakcic | Kevin Vogt | Kasim Nuhu | Kevin Akpoguma | Munas Dabbur | Andrej Kramaric | Dennis Geiger | Christoph Baumgartner,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2021,2020-09-19 Union Berlin-Augsburg,14175,2020-09-19 13:30:00,1,2,Union Berlin,Augsburg,1,3,0,0,5,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Grischa Prömel | Sheraldo Becker | Andreas Luthe | Marcus Ingvartsen | Christian Gentner | Marvin Friedrich | Robert Andrich | Marius Bülter | Robin Knoche | Christopher Trimmel | Christopher Lenz,Florian Niederlechner | Ruben Vargas | Raphael Framberger | Carlos Gruezo | Rani Khedira | Daniel Caligiuri | Rafal Gikiewicz | Iago | Michael Gregoritsch | Jeffrey Gouweleeuw | Felix Uduokhai,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2021,2020-09-19 VfB Stuttgart-Freiburg,14178,2020-09-19 13:30:00,1,2,VfB Stuttgart,Freiburg,2,3,0,0,6,15,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Gregor Kobel | Roberto Massimo | Orel Mangala | Silas Wamangituka | Waldemar Anton | Marcin Kaminski | Marc-Oliver Kempf | Gonzalo Castro | Mateo Klimowicz | Wataru Endo | Daniel Didavi,Christian Günter | Florian Müller | Jonathan Schmid | Lucas Höler | Nils Petersen | Nicolas Höfler | Roland Sallai | Vincenzo Grifo | Dominique Heintz | Philipp Lienhart | Woo-Yeong Jeong,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2021,2020-09-19 Werder Bremen-Hertha Berlin,14177,2020-09-19 13:30:00,1,2,Werder Bremen,Hertha Berlin,1,4,0,0,7,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Theodor Gebre Selassie | Joshua Sargent | Marco Friedl | Niklas Moisander | Ludwig Augustinsson | Jiri Pavlenka | Yuya Osako | Davy Klaassen | Maximilian Eggestein | Tahith Chong | Davie Selke,Peter Pekarík | Alexander Schwolow | Niklas Stark | Vladimir Darida | Dedryck Boyata | Dodi Lukebakio | Lucas Tousart | Krzysztof Piatek | Matheus Cunha | Jordan Torunarigha | Maximilian Mittelstädt,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2021,2020-09-19 Borussia Dortmund-Borussia M.Gladbach,14179,2020-09-19 16:30:00,1,1,Borussia Dortmund,Borussia M.Gladbach,3,0,0,0,8,12,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Emre Can | Mats Hummels | Thorgan Hazard | Axel Witsel | Erling Haaland | Jude Bellingham | Giovanni Reyna | Thomas Meunier | Manuel Akanji | Jadon Sancho | Roman Bürki,Stefan Lainer | Matthias Ginter | Lars Stindl | Ramy Bensebaini | Nico Elvedi | Jonas Hofmann | Florian Neuhaus | Oscar Wendt | Yann Sommer | Christoph Kramer | Hannes Wolf,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2021,2020-09-20 RasenBallsport Leipzig-Mainz 05,14180,2020-09-20 13:30:00,1,1,RasenBallsport Leipzig,Mainz 05,3,1,0,0,9,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Dani Olmo | Emil Forsberg | Marcel Halstenberg | Kevin Kampl | Yussuf Poulsen | Dayotchanculle Upamecano | Tyler Adams | Péter Gulácsi | Angelino | Lukas Klostermann | Amadou Haidara,Robin Quaison | Leandro Barreiro Martins | Jeremiah St. Juste | Danny Latza | Moussa Niakhate | Bote Baku | Robin Zentner | Jean-Philippe Mateta | Jonathan Burkardt | Karim Onisiwo | Daniel Brosinski,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2021,2020-09-20 Wolfsburg-Bayer Leverkusen,14181,2020-09-20 16:00:00,1,X,Wolfsburg,Bayer Leverkusen,0,0,0,0,10,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Maxence Lacroix | Joao Victor | Josip Brekalo | Admir Mehmedi | Koen Casteels | Maximilian Arnold | Jérôme Roussillon | Wout Weghorst | John Brooks | Renato Steffen | Xaver Schlager,Moussa Diaby | Lars Bender | Daley Sinkgraven | Kerem Demirbay | Karim Bellarabi | Sven Bender | Florian Wirtz | Charles Aránguiz | Edmond Tapsoba | Lukas Hradecky | Lucas Alario,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2021,2020-09-25 Hertha Berlin-Eintracht Frankfurt,14182,2020-09-25 18:30:00,1,2,Hertha Berlin,Eintracht Frankfurt,1,3,3,1,3,8,1,4,3,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4,4,0,0,0,0,3,2,0,0,-27,-43,0,2,0,0,0,0,1,2,1,0,85.64,73.55,Vladimir Darida | Alexander Schwolow | Peter Pekarík | Niklas Stark | Dedryck Boyata | Dodi Lukebakio | Lucas Tousart | Matheus Cunha | Krzysztof Piatek | Maximilian Mittelstädt | Jordan Torunarigha,Makoto Hasebe | Filip Kostic | Kevin Trapp | Bas Dost | Daichi Kamada | Martin Hinteregger | Dominik Kohr | David Abraham | Danny da Costa | Sebastian Rode | André Silva,11,9,0,2,0,0,4,0,11,11,1,1,2.05,2.47,1.95,-1.47,0.53,0.78,2,0,0,-2,1.33,2.19,1.62,1.66,-1.33,-2.19,0.0,0.17,2,-5,2,0,0,-2,2,12.090000000000003,-0.4200000000000004,-0.8599999999999999,-0.039999999999999813
GER-Bundesliga,2021,2020-09-26 Bayer Leverkusen-RasenBallsport Leipzig,14187,2020-09-26 13:30:00,1,X,Bayer Leverkusen,RasenBallsport Leipzig,1,1,1,3,12,6,4,3,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,3,2,0,1,-26,-20,1,1,0,0,0,1,0,0,1,0,79.91,77.91,Moussa Diaby | Lars Bender | Daley Sinkgraven | Kerem Demirbay | Karim Bellarabi | Sven Bender | Florian Wirtz | Charles Aránguiz | Edmond Tapsoba | Lukas Hradecky | Lucas Alario,Dani Olmo | Emil Forsberg | Marcel Halstenberg | Kevin Kampl | Yussuf Poulsen | Dayotchanculle Upamecano | Tyler Adams | Péter Gulácsi | Angelino | Lukas Klostermann | Amadou Haidara,10,10,1,0,0,1,2,2,11,11,1,1,0.44,3.24,-0.44,-0.24,0.67,0.5,0,0,-2,0,0.36,3.08,0.12,1.91,-0.36,-3.08,-0.06,0.12,-2,6,-2,0,0,0,0,2.0,-2.8000000000000003,-2.72,-1.79
