LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
GER-Bundesliga,2122,2021-08-13 Borussia M.Gladbach-Bayern Munich,17516,2021-08-13 18:30:00,1,X,Borussia M.Gladbach,Bayern Munich,1,1,0,0,1,18,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Patrick Herrmann | Lars Stindl | Hannes Wolf | Stefan Lainer | Yann Sommer | Nico Elvedi | Florian Neuhaus | Christoph Kramer | Joe Scally | Matthias Ginter | Alassane Pléa,Alphonso Davies | Leroy Sané | Leon Goretzka | Robert Lewandowski | Manuel Neuer | Niklas Süle | Thomas Müller | Joshua Kimmich | Josip Stanisic | Dayotchanculle Upamecano | Serge Gnabry,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-17,0,0,1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,2021-08-14 Arminia Bielefeld-Freiburg,17517,2021-08-14 13:30:00,1,X,Arminia Bielefeld,Freiburg,0,0,0,0,3,15,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Masaya Okugawa | Jacob Laursen | Cédric Brunner | Manuel Prietl | Amos Pieper | Alessandro Schöpf | Bryan Lasme | Stefan Ortega Moreno | Joakim Nilsson | Fabian Kunze | Fabian Klos,Manuel Gulde | Vincenzo Grifo | Woo-Yeong Jeong | Mark Flekken | Lucas Höler | Nico Schlotterbeck | Nicolas Höfler | Yannik Keitel | Jonathan Schmid | Christian Günter | Philipp Lienhart,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,2021-08-14 Augsburg-Hoffenheim,17518,2021-08-14 13:30:00,1,2,Augsburg,Hoffenheim,0,4,0,0,5,18,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jan Morávek | Robert Gumny | Jeffrey Gouweleeuw | Felix Uduokhai | Niklas Dorsch | Florian Niederlechner | André Hahn | Ruben Vargas | Rafal Gikiewicz | Fredrik Jensen | Iago,Kevin Akpoguma | Stefan Posch | Jacob Bruun Larsen | Angelo Stiller | Christoph Baumgartner | Kevin Vogt | Andrej Kramaric | Munas Dabbur | David Raum | Oliver Baumann | Sebastian Rudy,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,2021-08-14 Union Berlin-Bayer Leverkusen,17520,2021-08-14 13:30:00,1,X,Union Berlin,Bayer Leverkusen,1,1,0,0,6,17,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Taiwo Awoniyi | Max Kruse | Robin Knoche | Timo Baumgartl | Genki Haraguchi | Andreas Luthe | Rani Khedira | Christopher Trimmel | Niko Gießelmann | Marvin Friedrich | Marcus Ingvartsen,Mitchel Bakker | Nadiem Amiri | Odilon Kossounou | Kerem Demirbay | Jonathan Tah | Charles Aránguiz | Exequiel Palacios | Patrik Schick | Jeremie Frimpong | Moussa Diaby | Lukas Hradecky,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,2021-08-14 VfB Stuttgart-Greuther Fuerth,17519,2021-08-14 13:30:00,1,1,VfB Stuttgart,Greuther Fuerth,5,1,0,0,8,17,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Konstantinos Mavropanos | Philipp Förster | Florian Müller | Borna Sosa | Marc-Oliver Kempf | Atakan Karazor | Waldemar Anton | Roberto Massimo | Hamadi Al Ghaddioui | Mateo Klimowicz | Wataru Endo,Håvard Nielsen | Marco Meyerhöfer | Paul Seguin | Maximilian Bauer | Gideon Jung | Julian Green | Nils Seufert | Branimir Hrgota | Justin Hoogma | Sascha Burchert | Gian-Luca Itter,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,2021-08-14 Wolfsburg-Bochum,17521,2021-08-14 13:30:00,1,1,Wolfsburg,Bochum,1,0,0,0,9,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Bote Baku | John Brooks | Jérôme Roussillon | Xaver Schlager | Maxence Lacroix | Maximilian Philipp | Kevin Mbabu | Wout Weghorst | Maximilian Arnold | Renato Steffen | Koen Casteels,Maxim Leitsch | Cristian Gamboa | Robert Tesche | Vasilios Lampropoulos | Christopher Antwi-Adjei | Danilo Soares | Anthony Losilla | Manuel Riemann | Elvis Rexhbecaj | Simon Zoller | Takuma Asano,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,2021-08-14 Borussia Dortmund-Eintracht Frankfurt,17522,2021-08-14 16:30:00,1,1,Borussia Dortmund,Eintracht Frankfurt,5,2,0,0,10,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Felix Passlack | Axel Witsel | Erling Haaland | Thorgan Hazard | Manuel Akanji | Nico Schulz | Gregor Kobel | Giovanni Reyna | Jude Bellingham | Marco Reus | Mahmoud Dahoud,Martin Hinteregger | Santos Borré | Djibril Sow | Stefan Ilsanker | Makoto Hasebe | Evan Ndicka | Kevin Trapp | Daichi Kamada | Danny da Costa | Filip Kostic | Aymen Barkok,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,2021-08-15 Mainz 05-RasenBallsport Leipzig,17523,2021-08-15 13:30:00,1,1,Mainz 05,RasenBallsport Leipzig,1,0,0,0,11,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Leandro Barreiro Martins | Silvan Widmer | Alexander Hack | Stefan Bell | Moussa Niakhate | Jonathan Burkardt | Robin Zentner | Aarón Martín | Niklas Tauer | Jae-Sung Lee | Paul Nebel,Christopher Nkunku | Angelino | Mohamed Simakan | Emil Forsberg | Nordi Mukiele | Willi Orban | Kevin Kampl | Tyler Adams | André Silva | Péter Gulácsi | Amadou Haidara,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,2021-08-15 FC Cologne-Hertha Berlin,17524,2021-08-15 15:30:00,1,1,FC Cologne,Hertha Berlin,3,1,0,0,12,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Dejan Ljubicic | Florian Kainz | Jonas Hector | Benno Schmitz | Timo Hübers | Mark Uth | Jan Thielmann | Timo Horn | Ellyes Skhiri | Rafael Czichos | Anthony Modeste,Stevan Jovetic | Márton Dárdai | Santiago Ascacibar | Alexander Schwolow | Marvin Plattenhardt | Peter Pekarík | Suat Serdar | Lucas Tousart | Niklas Stark | Matheus Cunha | Kevin-Prince Boateng,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,2021-08-20 RasenBallsport Leipzig-VfB Stuttgart,17525,2021-08-20 18:30:00,1,1,RasenBallsport Leipzig,VfB Stuttgart,4,0,0,3,13,1,4,1,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,4,0,1,0,0,1,0,1,0,-23,-82,3,1,0,0,2,0,1,1,1,0,61.27,85.09,Christopher Nkunku | Angelino | Mohamed Simakan | Emil Forsberg | Nordi Mukiele | Willi Orban | Kevin Kampl | Tyler Adams | André Silva | Péter Gulácsi | Amadou Haidara,Konstantinos Mavropanos | Philipp Förster | Florian Müller | Borna Sosa | Marc-Oliver Kempf | Philipp Klement | Waldemar Anton | Roberto Massimo | Hamadi Al Ghaddioui | Mateo Klimowicz | Wataru Endo,8,11,1,0,2,0,1,4,11,11,1,1,0.84,4.27,-0.84,0.73,0.52,0.37,0,1,-1,2,0.59,3.8,0.42,3.31,-0.59,-3.8,0.16,0.0,-3,12,-3,0,0,2,-3,-23.82,-3.4299999999999997,-3.21,-2.89
GER-Bundesliga,2122,2021-08-21 Hertha Berlin-Wolfsburg,17528,2021-08-21 13:30:00,1,2,Hertha Berlin,Wolfsburg,1,2,0,3,15,5,4,2,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,3,0,0,-28,-18,4,0,0,0,1,0,1,0,3,0,54.18,87.0,Stevan Jovetic | Márton Dárdai | Santiago Ascacibar | Alexander Schwolow | Marvin Plattenhardt | Suat Serdar | Peter Pekarík | Lucas Tousart | Niklas Stark | Matheus Cunha | Kevin-Prince Boateng,Bote Baku | John Brooks | Jérôme Roussillon | Xaver Schlager | Maxence Lacroix | Maximilian Philipp | Kevin Mbabu | Wout Weghorst | Maximilian Arnold | Renato Steffen | Koen Casteels,7,11,2,0,2,0,1,3,11,11,1,1,2.12,2.79,-1.12,-1.79,0.73,0.55,0,0,0,0,0.89,2.59,0.44,1.47,-0.89,-2.59,0.67,0.0,-3,10,-3,0,0,4,-4,-32.82,-0.6699999999999999,-1.6999999999999997,-1.03
