LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
GER-Bundesliga,2223,2022-08-05 Eintracht Frankfurt-Bayern Munich,19342,2022-08-05 18:30:00,1,2,Eintracht Frankfurt,Bayern Munich,1,6,0,0,1,18,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Mario Götze | Jesper Lindstrom | Sebastian Rode | Almamy Touré | Ansgar Knauff | Kevin Trapp | Filip Kostic | Djibril Sow | Evan Ndicka | Tuta | Santos Borré,Serge Gnabry | Jamal Musiala | Benjamin Pavard | Joshua Kimmich | Alphonso Davies | Sadio Mané | Marcel Sabitzer | Thomas Müller | Dayotchanculle Upamecano | Manuel Neuer | Lucas Hernández,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-17,0,0,1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,2022-08-06 Augsburg-Freiburg,19347,2022-08-06 13:30:00,1,2,Augsburg,Freiburg,0,4,0,0,2,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Elvis Rexhbecaj | Carlos Gruezo | André Hahn | Arne Maier | Felix Uduokhai | Iago | Rafal Gikiewicz | Maximilian Bauer | Daniel Caligiuri | Ermedin Demirovic | Jeffrey Gouweleeuw,Mark Flekken | Maximilian Eggestein | Matthias Ginter | Nicolas Höfler | Christian Günter | Michael Gregoritsch | Ritsu Doan | Kiliann Sildillia | Roland Sallai | Philipp Lienhart | Vincenzo Grifo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,2022-08-06 Bochum-Mainz 05,19346,2022-08-06 13:30:00,1,2,Bochum,Mainz 05,1,2,0,0,3,16,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Philipp Hofmann | Anthony Losilla | Simon Zoller | Konstantinos Stafylidis | Manuel Riemann | Gerrit Holtmann | Ivan Ordets | Takuma Asano | Cristian Gamboa | Erhan Masovic | Kevin Stöger,Robin Zentner | Maxim Leitsch | Edimilson Fernandes | Aarón Martín | Karim Onisiwo | Stefan Bell | Alexander Hack | Jae-Sung Lee | Angelo Fulgini | Dominik Kohr | Anton Stach,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,2022-08-06 Borussia M.Gladbach-Hoffenheim,19344,2022-08-06 13:30:00,1,1,Borussia M.Gladbach,Hoffenheim,3,1,0,0,4,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Christoph Kramer | Florian Neuhaus | Yann Sommer | Kouadio Kone | Alassane Pléa | Joe Scally | Ko Itakura | Marcus Thuram | Ramy Bensebaini | Jonas Hofmann | Nico Elvedi,Georginio Rutter | Ozan Kabak | Andrej Kramaric | Kevin Vogt | Stefan Posch | Christoph Baumgartner | Robert Skov | Oliver Baumann | Grischa Prömel | Pavel Kaderábek | Diadie Samassékou,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,2022-08-06 Union Berlin-Hertha Berlin,19343,2022-08-06 13:30:00,1,1,Union Berlin,Hertha Berlin,3,1,0,0,5,13,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Frederik Rönnow | Robin Knoche | Genki Haraguchi | Rani Khedira | Sheraldo Becker | Julian Ryerson | Paul Jäckel | Diogo Leite | Jordan Siebatcheu | Christopher Trimmel | Janik Haberer,Ivan Sunjic | Suat Serdar | Jonjoe Kenny | Marvin Plattenhardt | Myziane Maolida | Oliver Christensen | Marc-Oliver Kempf | Davie Selke | Dodi Lukebakio | Kevin-Prince Boateng | Filip Uremovic,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,2022-08-06 Wolfsburg-Werder Bremen,19345,2022-08-06 13:30:00,1,X,Wolfsburg,Werder Bremen,2,2,0,0,6,10,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Sebastiaan Bornauw | Micky van de Ven | Maximilian Arnold | Maxence Lacroix | Omar Marmoush | Lukas Nmecha | Bote Baku | Patrick Wimmer | Josip Brekalo | Koen Casteels | Mattias Svanberg,Amos Pieper | Christian Groß | Marvin Ducksch | Niclas Füllkrug | Jiri Pavlenka | Milos Veljkovic | Anthony Jung | Marco Friedl | Mitchell Weiser | Jens Stage | Leonardo Bittencourt,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,2022-08-06 Borussia Dortmund-Bayer Leverkusen,19348,2022-08-06 16:30:00,1,1,Borussia Dortmund,Bayer Leverkusen,1,0,0,0,8,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Donyell Malen | Mahmoud Dahoud | Gregor Kobel | Mats Hummels | Marco Reus | Jude Bellingham | Karim Adeyemi | Nico Schlotterbeck | Raphael Guerreiro | Thomas Meunier | Youssoufa Moukoko,Moussa Diaby | Piero Hincapié | Jeremie Frimpong | Jonathan Tah | Karim Bellarabi | Lukas Hradecky | Exequiel Palacios | Patrik Schick | Edmond Tapsoba | Kerem Demirbay | Robert Andrich,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,2022-08-07 VfB Stuttgart-RasenBallsport Leipzig,19349,2022-08-07 13:30:00,1,X,VfB Stuttgart,RasenBallsport Leipzig,1,1,0,0,9,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Sasa Kalajdzic | Chris Führich | Wataru Endo | Joshua Vagnoman | Silas Wamangituka | Naouirou Ahamada | Hiroki Ito | Konstantinos Mavropanos | Waldemar Anton | Florian Müller | Tiago Tomás,Dani Olmo | Marcel Halstenberg | Lukas Klostermann | Christopher Nkunku | Willi Orban | Hugo Novoa Ramos | Benjamin Henrichs | David Raum | Péter Gulácsi | Kevin Kampl | André Silva,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,2022-08-07 FC Cologne-Schalke 04,19350,2022-08-07 15:30:00,1,1,FC Cologne,Schalke 04,3,1,0,0,11,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ellyes Skhiri | Jan Thielmann | Jonas Hector | Julian Chabot | Marvin Schwäbe | Dejan Ljubicic | Kingsley Schindler | Benno Schmitz | Florian Dietz | Luca Kilian | Florian Kainz,Sebastian Polter | Maya Yoshida | Marcin Kaminski | Tobias Mohr | Cédric Brunner | Tom Krauß | Rodrigo Zalazar | Thomas Ouwejan | Dominick Drexler | Alex Kral | Alexander Schwolow,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,2022-08-12 Freiburg-Borussia Dortmund,19351,2022-08-12 18:30:00,1,2,Freiburg,Borussia Dortmund,1,3,3,3,2,6,1,3,3,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,4,0,1,0,0,5,2,0,1,-12,-68,0,2,0,0,0,0,0,0,0,2,86.36,79.27,Mark Flekken | Maximilian Eggestein | Matthias Ginter | Nicolas Höfler | Christian Günter | Michael Gregoritsch | Ritsu Doan | Kiliann Sildillia | Roland Sallai | Philipp Lienhart | Vincenzo Grifo,Donyell Malen | Mahmoud Dahoud | Gregor Kobel | Mats Hummels | Marco Reus | Jude Bellingham | Nico Schlotterbeck | Thorgan Hazard | Raphael Guerreiro | Thomas Meunier | Youssoufa Moukoko,11,10,0,1,0,0,1,4,11,11,1,1,1.54,2.41,2.46,-1.41,0.72,0.83,0,0,0,0,1.48,2.1,1.05,0.87,-1.48,-2.1,0.0,0.0,0,-4,0,0,0,-2,1,7.090000000000003,-0.8700000000000001,-0.6200000000000001,0.18000000000000005
GER-Bundesliga,2223,2022-08-13 Hoffenheim-Bochum,19355,2022-08-13 13:30:00,1,1,Hoffenheim,Bochum,3,2,0,0,17,15,5,4,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,5,4,2,0,0,0,2,3,1,0,-72,-11,4,3,0,0,2,1,1,2,1,0,64.36,64.55,Georginio Rutter | Ozan Kabak | Andrej Kramaric | Kevin Vogt | Christoph Baumgartner | Robert Skov | Oliver Baumann | Grischa Prömel | Pavel Kaderábek | Stanley N'Soki | Kevin Akpoguma,Philipp Hofmann | Anthony Losilla | Simon Zoller | Konstantinos Stafylidis | Manuel Riemann | Gerrit Holtmann | Takuma Asano | Ivan Ordets | Cristian Gamboa | Erhan Masovic | Kevin Stöger,8,8,3,1,0,2,2,4,11,11,1,1,0.12,0.82,0.88,0.18,1.0,0.7,0,0,-1,0,0.12,0.66,0.12,0.56,-0.12,-0.66,0.0,0.13,0,2,0,0,0,1,0,-0.18999999999999773,-0.7,-0.54,-0.44000000000000006
