LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
GER-Bundesliga,2324,2023-08-18 Werder Bremen-Bayern Munich,23065,2023-08-18 18:30:00,1,2,Werder Bremen,Bayern Munich,0,4,0,0,1,18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Anthony Jung | Mitchell Weiser | Milos Veljkovic | Jiri Pavlenka | Jens Stage | Senne Lynen | Amos Pieper | Niclas Füllkrug | Leonardo Bittencourt | Marvin Ducksch | Marco Friedl,Harry Kane | Kingsley Coman | Leroy Sané | Kim Min-Jae | Leon Goretzka | Joshua Kimmich | Alphonso Davies | Sven Ulreich | Dayotchanculle Upamecano | Jamal Musiala | Noussair Mazraoui,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-17,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-08-19 Augsburg-Borussia M.Gladbach,23069,2023-08-19 13:30:00,1,X,Augsburg,Borussia M.Gladbach,4,4,0,0,2,16,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Felix Uduokhai | Arne Engels | Mërgim Berisha | Ermedin Demirovic | Mads Pedersen | Elvis Rexhbecaj | Ruben Vargas | Sven Michel | Finn Dahmen | Niklas Dorsch | Maximilian Bauer,Joe Scally | Nathan N'Goumou Minpol | Julian Weigl | Tomás Cvancara | Franck Honorat | Alassane Pléa | Florian Neuhaus | Luca Netz | Maximilian Wöber | Ko Itakura | Jonas Omlin,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-08-19 Bayer Leverkusen-RasenBallsport Leipzig,23066,2023-08-19 13:30:00,1,1,Bayer Leverkusen,RasenBallsport Leipzig,3,2,0,0,4,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Álex Grimaldo | Lukas Hradecky | Edmond Tapsoba | Florian Wirtz | Granit Xhaka | Exequiel Palacios | Jeremie Frimpong | Jonas Hofmann | Jonathan Tah | Odilon Kossounou | Victor Boniface,Willi Orban | Benjamin Henrichs | Timo Werner | David Raum | Nicolas Seiwald | Xaver Schlager | Mohamed Simakan | Janis Blaswich | Xavi Simons | Loïs Openda | Dani Olmo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-08-19 Hoffenheim-Freiburg,23068,2023-08-19 13:30:00,1,2,Hoffenheim,Freiburg,1,2,0,0,5,11,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Grischa Prömel | Marius Bülter | Oliver Baumann | Florian Grillitsch | Andrej Kramaric | Ihlas Bebou | Angelo Stiller | Pavel Kaderábek | Ozan Kabak | Attila Szalai | John Brooks,Merlin Röhl | Michael Gregoritsch | Noah Atubolu | Christian Günter | Maximilian Eggestein | Philipp Lienhart | Roland Sallai | Lukas Kübler | Matthias Ginter | Lucas Höler | Vincenzo Grifo,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-08-19 VfB Stuttgart-Bochum,23070,2023-08-19 13:30:00,1,1,VfB Stuttgart,Bochum,5,0,0,0,6,13,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Serhou Guirassy | Waldemar Anton | Hiroki Ito | Woo-Yeong Jeong | Chris Führich | Dan-Axel Zagadou | Enzo Millot | Silas Wamangituka | Atakan Karazor | Pascal Stenzel | Alexander Nübel,Bernardo | Ivan Ordets | Kevin Stöger | Philipp Hofmann | Maximilian Wittek | Takuma Asano | Felix Passlack | Manuel Riemann | Erhan Masovic | Christopher Antwi-Adjei | Anthony Losilla,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-08-19 Wolfsburg-FC Heidenheim,23067,2023-08-19 13:30:00,1,1,Wolfsburg,FC Heidenheim,2,0,0,0,7,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Václav Cerny | Patrick Wimmer | Jonas Wind | Mattias Svanberg | Bote Baku | Yannick Gerhardt | Koen Casteels | Joakim Maehle | Cédric Zesiger | Maxence Lacroix | Lovro Majer,Lennard Maloney | Jonas Föhrenbach | Marvin Pieringer | Patrick Mainka | Tim Kleindienst | Adrian Beck | Tim Siersleben | Marnon Busch | Kevin Müller | Florian Pick | Eren Sami Dinkci,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-08-19 Borussia Dortmund-FC Cologne,23071,2023-08-19 16:30:00,1,1,Borussia Dortmund,FC Cologne,1,0,0,0,8,11,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Mats Hummels | Julian Ryerson | Ramy Bensebaini | Julian Brandt | Gregor Kobel | Emre Can | Sébastien Haller | Marco Reus | Marcel Sabitzer | Niklas Süle | Donyell Malen,Julian Chabot | Timo Hübers | Marvin Schwäbe | Dejan Ljubicic | Benno Schmitz | Davie Selke | Gian-Luca Waldschmidt | Rasmus Carstensen | Eric Martel | Florian Kainz | Leart Paqarada,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-08-20 Union Berlin-Mainz 05,23072,2023-08-20 13:30:00,1,1,Union Berlin,Mainz 05,4,1,0,0,9,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Diogo Leite | Jérôme Roussillon | Kevin Behrens | Frederik Rönnow | Aissa Laidouni | Alex Kral | Christopher Trimmel | David Datro Fofana | Robin Knoche | Brenden Aaronson | Danilho Doekhi,Jae-Sung Lee | Leandro Barreiro Martins | Anton Stach | Anthony Caci | Danny da Costa | Dominik Kohr | Robin Zentner | Stefan Bell | Ludovic Ajorque | Karim Onisiwo | Edimilson Fernandes,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-08-20 Eintracht Frankfurt-Darmstadt,23073,2023-08-20 15:30:00,1,1,Eintracht Frankfurt,Darmstadt,1,0,0,0,10,11,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ellyes Skhiri | Kevin Trapp | Mario Götze | Tuta | Sebastian Rode | Robin Koch | Randal Kolo Muani | William Pacho | Eric Junior Dina Ebimbe | Jesper Lindstrom | Philipp Max,Fraser Hornby | Marvin Mehlem | Mathias Honsak | Matej Maglica | Fabian Holland | Fabian Nürnberger | Marcel Schuhen | Christoph Klarer | Oscar Vilhelmsson | Christoph Zimmermann | Emir Karic,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-08-25 RasenBallsport Leipzig-VfB Stuttgart,23074,2023-08-25 18:30:00,1,1,RasenBallsport Leipzig,VfB Stuttgart,5,1,0,3,12,1,4,1,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,5,1,0,-25,-6,2,1,0,0,0,0,2,1,1,0,74.55,80.09,Benjamin Henrichs | Timo Werner | David Raum | Nicolas Seiwald | Xaver Schlager | Mohamed Simakan | Loïs Openda | Janis Blaswich | Xavi Simons | Willi Orban | Dani Olmo,Waldemar Anton | Serhou Guirassy | Woo-Yeong Jeong | Hiroki Ito | Chris Führich | Dan-Axel Zagadou | Enzo Millot | Silas Wamangituka | Atakan Karazor | Pascal Stenzel | Alexander Nübel,9,10,1,1,1,0,2,3,11,11,1,1,1.61,3.99,0.39,1.01,0.84,0.77,0,0,0,0,1.57,3.87,1.03,3.07,-1.57,-3.87,-0.18,0.01,-3,11,-3,0,0,1,-1,-5.540000000000006,-2.38,-2.3,-2.04
GER-Bundesliga,2324,2023-08-26 Darmstadt-Union Berlin,23079,2023-08-26 13:30:00,1,2,Darmstadt,Union Berlin,1,4,0,3,14,5,4,2,0,3,0,0,0,0,3,1,0,0,0,0,2,0,0,0,5,5,0,0,0,0,2,1,1,0,-25,-19,4,2,0,0,2,2,2,0,1,0,58.64,72.82,Fraser Hornby | Marvin Mehlem | Mathias Honsak | Matej Maglica | Fabian Holland | Fabian Nürnberger | Marcel Schuhen | Christoph Klarer | Oscar Vilhelmsson | Christoph Zimmermann | Emir Karic,Diogo Leite | Jérôme Roussillon | Kevin Behrens | Frederik Rönnow | Aissa Laidouni | Alex Kral | Christopher Trimmel | David Datro Fofana | Robin Knoche | Brenden Aaronson | Danilho Doekhi,7,9,2,2,2,0,3,4,11,11,1,1,0.92,2.12,-0.92,1.88,0.65,0.65,0,3,0,0,0.75,1.56,0.32,0.07,-0.75,-1.56,0.0,0.0,-3,9,-3,0,0,2,-2,-14.179999999999993,-1.2000000000000002,-0.81,0.25
