LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
GER-Bundesliga,2425,2024-08-23 Borussia M.Gladbach-Bayer Leverkusen,27742,2024-08-23 18:30:00,1,2,Borussia M.Gladbach,Bayer Leverkusen,2,3,0,0,1,16,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Rocco Reitz | Julian Weigl | Franck Honorat | Ko Itakura | Jonas Omlin | Luca Netz | Kevin Stöger | Tim Kleindienst | Joe Scally | Nico Elvedi | Alassane Pléa,Granit Xhaka | Jonas Hofmann | Jonathan Tah | Robert Andrich | Lukas Hradecky | Piero Hincapié | Edmond Tapsoba | Álex Grimaldo | Florian Wirtz | Victor Boniface | Jeremie Frimpong,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2425,2024-08-24 Augsburg-Werder Bremen,27746,2024-08-24 13:30:00,1,X,Augsburg,Werder Bremen,2,2,0,0,2,11,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Arne Engels | Elvis Rexhbecaj | Mads Pedersen | Tim Breithaupt | Samuel Essende | Jeffrey Gouweleeuw | Arne Maier | Keven Schlotterbeck | Dimitris Giannoulis | Nediljko Labrovic | Phillip Tietz,Niklas Stark | Senne Lynen | Michael Zetterer | Marco Friedl | Milos Veljkovic | Marvin Ducksch | Jens Stage | Keke Maximilian Topp | Mitchell Weiser | Romano Schmid | Felix Agu,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2425,2024-08-24 Freiburg-VfB Stuttgart,27745,2024-08-24 13:30:00,1,1,Freiburg,VfB Stuttgart,3,1,0,0,4,15,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Lukas Kübler | Patrick Osterhage | Philipp Lienhart | Florian Müller | Ritsu Doan | Maximilian Eggestein | Junior Adamu | Merlin Röhl | Max Rosenfelder | Christian Günter | Vincenzo Grifo,Jamie Leweling | Ermedin Demirovic | Pascal Stenzel | Alexander Nübel | Atakan Karazor | Angelo Stiller | Frans Krätzig | Julian Chabot | Deniz Undav | Chris Führich | Enzo Millot,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2425,2024-08-24 Hoffenheim-Holstein Kiel,27744,2024-08-24 13:30:00,1,1,Hoffenheim,Holstein Kiel,3,2,0,0,5,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Alexander Prass | Andrej Kramaric | Grischa Prömel | Kevin Akpoguma | Oliver Baumann | Pavel Kaderábek | Anton Stach | Florian Grillitsch | Marius Bülter | Tim Drexler | Adam Hlozek,Timo Becker | Shuto Machino | Alexander Bernhardsson | Marco Komenda | Lewis Holtby | Magnus Knudsen | Benedikt Pichler | Marko Ivezic | Tymoteusz Puchacz | Timon Weiner | Patrick Erras,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2425,2024-08-24 Mainz 05-Union Berlin,27747,2024-08-24 13:30:00,1,X,Mainz 05,Union Berlin,1,1,0,0,6,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jae-Sung Lee | Karim Onisiwo | Dominik Kohr | Kaishu Sano | Robin Zentner | Maxim Leitsch | Nadiem Amiri | Anthony Caci | Andreas Hanche-Olsen | Jonathan Burkardt | Philipp Mwene,Robin Gosens | Rani Khedira | Benedict Hollerbach | Diogo Leite | Christopher Trimmel | Danilho Doekhi | Frederik Rönnow | Jordan Siebatcheu | Lucas Tousart | Andras Schafer | Kevin Vogt,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2425,2024-08-24 RasenBallsport Leipzig-Bochum,27743,2024-08-24 13:30:00,1,1,RasenBallsport Leipzig,Bochum,1,0,0,0,8,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Péter Gulácsi | David Raum | Mohamed Simakan | Castello Lukeba | Willi Orban | Amadou Haidara | Kevin Kampl | Nicolas Seiwald | Xavi Simons | Loïs Openda | Benjamin Sesko,Felix Passlack | Philipp Hofmann | Erhan Masovic | Matús Bero | Ibrahima Sissoko | Anthony Losilla | Moritz Broschinski | Patrick Drewes | Jakov Medic | Lukas Daschner | Maximilian Wittek,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2425,2024-08-24 Borussia Dortmund-Eintracht Frankfurt,27748,2024-08-24 16:30:00,1,1,Borussia Dortmund,Eintracht Frankfurt,2,0,0,0,9,12,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Nico Schlotterbeck | Emre Can | Karim Adeyemi | Pascal Groß | Donyell Malen | Julian Ryerson | Marcel Sabitzer | Julian Brandt | Niklas Süle | Waldemar Anton | Gregor Kobel,Hugo Larsson | Omar Marmoush | Ellyes Skhiri | Robin Koch | Kevin Trapp | Arthur Theate | Rasmus Kristensen | Tuta | Hugo Ekitike | Farès Chaïbi | Mario Götze,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,-1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2425,2024-08-25 Wolfsburg-Bayern Munich,27749,2024-08-25 13:30:00,1,2,Wolfsburg,Bayern Munich,2,3,0,0,10,13,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Patrick Wimmer | Maximilian Arnold | Kilian Fischer | Cédric Zesiger | Tiago Tomás | Mattias Svanberg | Lovro Majer | Sebastiaan Bornauw | Jakub Kaminski | Bote Baku | Kamil Grabara,Alphonso Davies | Kim Min-Jae | Jamal Musiala | Sacha Boey | Manuel Neuer | Michael Olise | Dayotchanculle Upamecano | Harry Kane | Joshua Kimmich | Aleksandar Pavlovic | Serge Gnabry,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,1,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2425,2024-08-25 St. Pauli-FC Heidenheim,27750,2024-08-25 15:30:00,1,2,St. Pauli,FC Heidenheim,0,2,0,0,11,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Morgan Guilavogui | Philipp Treu | Karol Mets | Johannes Eggestein | Eric Smith | Lars Ritzka | Jackson Irvine | Connor Metcalfe | Nikola Vasilj | Robert Wagner | Hauke Wahl,Adrian Beck | Omar Traoré | Lennard Maloney | Paul Wanner | Maximilian Breunig | Léo Scienza | Jan Schöppner | Benedikt Gimber | Kevin Müller | Jonas Föhrenbach | Patrick Mainka,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
GER-Bundesliga,2425,2024-08-30 Union Berlin-St. Pauli,27751,2024-08-30 18:30:00,1,1,Union Berlin,St. Pauli,1,0,1,0,10,16,4,5,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,5,4,0,0,0,0,4,4,0,0,-22,-14,3,0,0,0,2,0,1,2,0,0,65.09,85.64,Robin Gosens | Rani Khedira | Benedict Hollerbach | Diogo Leite | Christopher Trimmel | Frederik Rönnow | Danilho Doekhi | Jordan Siebatcheu | Lucas Tousart | Andras Schafer | Kevin Vogt,Morgan Guilavogui | Karol Mets | Johannes Eggestein | Eric Smith | Lars Ritzka | Connor Metcalfe | Jackson Irvine | Nikola Vasilj | Philipp Treu | Robert Wagner | Hauke Wahl,8,11,2,0,1,0,3,5,11,11,1,1,0.73,1.16,0.27,-1.16,0.74,0.86,2,0,1,-3,0.5,1.16,0.36,1.06,-0.5,-1.16,0.08,0.0,1,-6,1,0,0,3,-3,-20.549999999999997,-0.42999999999999994,-0.6599999999999999,-0.7000000000000001
GER-Bundesliga,2425,2024-08-31 VfB Stuttgart-Mainz 05,27755,2024-08-31 13:30:00,1,X,VfB Stuttgart,Mainz 05,3,3,0,1,15,14,4,4,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,5,4,0,1,0,0,1,3,1,0,-30,-60,2,2,0,0,2,1,1,1,1,0,71.82,78.82,Jamie Leweling | Ermedin Demirovic | Pascal Stenzel | Alexander Nübel | Atakan Karazor | Angelo Stiller | Julian Chabot | Frans Krätzig | Deniz Undav | Chris Führich | Enzo Millot,Jae-Sung Lee | Karim Onisiwo | Dominik Kohr | Kaishu Sano | Robin Zentner | Stefan Bell | Nadiem Amiri | Anthony Caci | Andreas Hanche-Olsen | Jonathan Burkardt | Philipp Mwene,9,10,2,1,0,0,3,2,11,11,1,1,0.37,1.79,0.63,-0.79,1.0,0.77,0,0,0,0,0.14,1.61,0.11,0.87,-0.14,-1.61,0.08,0.1,-1,1,-1,0,1,0,-1,-7.0,-1.42,-1.4700000000000002,-0.76
