LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,1920,2019-08-24 Parma Calcio 1913-Juventus,13089,2019-08-24 17:00:00,0,2,Parma Calcio 1913,Juventus,0,1,0,0,1,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Antonino Barillà | Vincent Laurini | Roberto Inglese | Dejan Kulusevski | Hernani | Simone Iacoponi | Gastón Brugman | Bruno Alves | Luigi Sepe | Riccardo Gagliolo | Gervinho,Wojciech Szczesny | Sami Khedira | Alex Sandro | Cristiano Ronaldo | Gonzalo Higuaín | Mattia De Sciglio | Blaise Matuidi | Douglas Costa | Leonardo Bonucci | Giorgio Chiellini | Miralem Pjanic,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-24 Fiorentina-Napoli,13090,2019-08-24 19:45:00,0,2,Fiorentina,Napoli,3,4,0,0,2,18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Lorenzo Venuti | Pol Lirola | Riccardo Sottil | Germán Pezzella | Bartlomiej Dragowski | Federico Chiesa | Erick Pulgar | Nikola Milenkovic | Gaetano Castrovilli | Milan Badelj | Dusan Vlahovic,Lorenzo Insigne | Giovanni Di Lorenzo | Fabián | Allan | Alex Meret | Piotr Zielinski | Kostas Manolas | Dries Mertens | Kalidou Koulibaly | José Callejón | Mário Rui,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-16,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-25 Udinese-AC Milan,13091,2019-08-25 17:00:00,0,1,Udinese,AC Milan,1,0,0,0,3,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Samir | Kevin Lasagna | Jens Stryger Larsen | Giuseppe Pezzella | William Troost-Ekong | Juan Musso | Seko Fofana | Ignacio Pussetto | Rolando Mandragora | Mato Jajalo | Rodrigo Becão,Ricardo Rodríguez | Mateo Musacchio | Fabio Borini | Hakan Calhanoglu | Suso | Krzysztof Piatek | Alessio Romagnoli | Lucas Paquetá | Gianluigi Donnarumma | Samu Castillejo | Davide Calabria,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-25 Cagliari-Brescia,13097,2019-08-25 19:45:00,0,2,Cagliari,Brescia,0,1,0,0,4,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Valter Birsa | Nahitan Nández | João Pedro | Simone Pinna | Artur Ionita | Charalampos Lykogiannis | Rafael | Luca Ceppitelli | Leonardo Pavoletti | Radja Nainggolan | Ragnar Klavan,Bruno Martella | Jesse Joronen | Andrea Cistana | Dimitri Bisoli | Daniele Dessena | Florian Aye | Nikolas Spalek | Sandro Tonali | Jhon Chancellor | Stefano Sabelli | Alfredo Donnarumma,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-25 Roma-Genoa,13093,2019-08-25 19:45:00,0,X,Roma,Genoa,3,3,0,0,5,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Bryan Cristante | Cengiz Ünder | Justin Kluivert | Edin Dzeko | Federico Fazio | Alessandro Florenzi | Aleksandar Kolarov | Juan Jesus | Nicolo Zaniolo | Lorenzo Pellegrini | Pau López,Andrea Pinamonti | Cristian Romero | Christian Kouamé | Cristian Zapata | Lukas Lerager | Lasse Schöne | Paolo Ghiglione | Domenico Criscito | Ionut Radu | Ivan Radovanovic | Antonio Barreca,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-25 SPAL 2013-Atalanta,13095,2019-08-25 19:45:00,0,2,SPAL 2013,Atalanta,2,3,0,0,7,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Marco D'Alessandro | Felipe | Etrit Berisha | Mattia Valoti | Francesco Vicari | Federico Di Francesco | Simone Missiroli | Andrea Petagna | Jasmin Kurtic | Igor Julio | Thiago Cionek,Berat Gjimshiti | Mario Pasalic | Remo Freuler | Hans Hateboer | Duván Zapata | Robin Gosens | Pierluigi Gollini | José Luis Palomino | Alejandro Gomez | Andrea Masiello | Marten de Roon,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-25 Sampdoria-Lazio,13094,2019-08-25 19:45:00,0,2,Sampdoria,Lazio,0,3,0,0,8,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Karol Linetty | Omar Colley | Gianluca Caprari | Ronaldo Vieira | Bartosz Bereszynski | Manolo Gabbiadini | Emil Audero | Jeison Murillo | Fabio Quagliarella | Nicola Murru | Albin Ekdal,Joaquín Correa | Ciro Immobile | Luiz Felipe | Luis Alberto | Manuel Lazzari | Francesco Acerbi | Marco Parolo | Senad Lulic | Sergej Milinkovic-Savic | Stefan Radu | Thomas Strakosha,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-25 Torino-Sassuolo,13096,2019-08-25 19:45:00,0,1,Torino,Sassuolo,2,1,0,0,9,14,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Salvatore Sirigu | Cristian Ansaldi | Armando Izzo | Sasa Lukic | Bremer | Tomás Rincón | Andrea Belotti | Simone Zaza | Daniele Baselli | Lorenzo De Silvestri | Kevin Bonifazi,Jeremie Boga | Jeremy Toljan | Manuel Locatelli | Francesco Caputo | Marlon Santos | Mehdi Bourabia | Gianmarco Ferrari | Hamed Junior Traore | Rogerio | Andrea Consigli | Pedro Obiang,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,1,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-25 Verona-Bologna,13092,2019-08-25 19:45:00,0,X,Verona,Bologna,1,1,0,0,10,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Pawel Dawidowicz | Amir Rrahmani | Liam Henderson | Marco Silvestri | Valerio Verre | Marash Kumbulla | Gennaro Tutino | Miguel Veloso | Marco Faraoni | Mattia Zaccagni | Darko Lazovic,Danilo | Kingsley Michael | Riccardo Orsolini | Stefano Denswil | Roberto Soriano | Lukasz Skorupski | Takehiro Tomiyasu | Rodrigo Palacio | Andrea Poli | Mitchell Dijks | Nicola Sansone,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-26 Inter-Lecce,13098,2019-08-26 19:45:00,0,1,Inter,Lecce,4,0,0,0,12,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Milan Skriniar | Samir Handanovic | Danilo D'Ambrosio | Romelu Lukaku | Marcelo Brozovic | Andrea Ranocchia | Kwadwo Asamoah | Lautaro Martínez | Antonio Candreva | Matías Vecino | Stefano Sensi,Andrea Rispoli | Filippo Falco | Fabio Lucioni | Gabriel | Zan Majer | Marco Calderoni | Gianluca Lapadula | Panagiotis Tachtsidis | Jacopo Petriccione | Luca Rossettini | Andrea La Mantia,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,1920,2019-08-30 Bologna-SPAL 2013,13099,2019-08-30 19:45:00,0,1,Bologna,SPAL 2013,1,0,1,0,11,16,4,4,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,1,1,-34,-25,2,0,0,0,0,0,1,0,1,0,72.18,84.91,Danilo | Mitchell Dijks | Kingsley Michael | Riccardo Orsolini | Stefano Denswil | Roberto Soriano | Lukasz Skorupski | Rodrigo Palacio | Andrea Poli | Takehiro Tomiyasu | Nicola Sansone,Marco D'Alessandro | Felipe | Etrit Berisha | Mattia Valoti | Francesco Vicari | Federico Di Francesco | Simone Missiroli | Andrea Petagna | Jasmin Kurtic | Thiago Cionek | Igor Julio,9,11,1,0,1,0,0,2,11,11,1,1,2.11,1.48,-1.11,0.52,0.59,0.7,0,0,0,0,1.52,1.44,1.1,1.44,-1.52,-1.44,0.03,0.0,1,-5,1,0,0,2,-2,-12.72999999999999,0.6299999999999999,0.08000000000000007,-0.33999999999999986
