LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2021,2020-09-19 Fiorentina-Torino,14116,2020-09-19 16:00:00,1,1,Fiorentina,Torino,1,0,0,0,1,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Giacomo Bonaventura | Gaetano Castrovilli | Federico Chiesa | Christian Kouamé | Alfred Duncan | Bartlomiej Dragowski | Cristiano Biraghi | Nikola Milenkovic | Federico Ceccherini | Martín Cáceres | Franck Ribéry,Nicolas N'Koulou | Armando Izzo | Alex Berenguer | Bremer | Cristian Ansaldi | Tomás Rincón | Simone Zaza | Salvatore Sirigu | Andrea Belotti | Soualiho Meité | Karol Linetty,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2021,2020-09-19 Verona-Roma,14117,2020-09-19 18:45:00,1,X,Verona,Roma,0,0,0,0,2,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Federico Dimarco | Yildirim Mert Cetin | Samuel Di Carmine | Lubomir Tupta | Koray Günter | Marco Faraoni | Adrien Tameze | Miguel Veloso | Andrea Danzi | Alan Empereur | Marco Silvestri,Jordan Veretout | Leonardo Spinazzola | Lorenzo Pellegrini | Rick Karsdorp | Bryan Cristante | Ibañez | Gianluca Mancini | Amadou Diawara | Henrikh Mkhitaryan | Antonio Mirante | Pedro,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2021,2020-09-20 Parma Calcio 1913-Napoli,14118,2020-09-20 10:30:00,1,2,Parma Calcio 1913,Napoli,0,2,0,0,4,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Bruno Alves | Roberto Inglese | Simone Iacoponi | Juraj Kucka | Andreas Cornelius | Hernani | Luigi Sepe | Gastón Brugman | Alberto Grassi | Giuseppe Pezzella | Matteo Darmian,Elseid Hysaj | Fabián | Giovanni Di Lorenzo | Dries Mertens | Hirving Lozano | Lorenzo Insigne | Piotr Zielinski | Diego Demme | David Ospina | Kostas Manolas | Kalidou Koulibaly,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2021,2020-09-20 Genoa-Crotone,14119,2020-09-20 13:00:00,1,1,Genoa,Crotone,4,1,0,0,5,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Mattia Destro | Edoardo Goldaniga | Miha Zajc | Goran Pandev | Paolo Ghiglione | Milan Badelj | Davide Zappacosta | Mattia Perin | Cristian Zapata | Lukas Lerager | Davide Biraschi,Alex Cordaz | Salvatore Molina | Emmanuel Rivière | Niccolò Zanellato | Junior Messias | Lisandro Magallán | Simy | Vladimir Golemic | Antonio Mazzotta | Luca Marrone | Luca Cigarini,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2021,2020-09-20 Sassuolo-Cagliari,14120,2020-09-20 16:00:00,1,X,Sassuolo,Cagliari,1,1,0,0,6,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Gianmarco Ferrari | Lukas Haraslin | Jeremy Toljan | Francesco Caputo | Pedro Obiang | Filip Djuricic | Vlad Chiriches | Domenico Berardi | Manuel Locatelli | Rogerio | Andrea Consigli,Giovanni Simeone | Sebastian Walukiewicz | Fabrizio Caligara | Nahitan Nández | Ragnar Klavan | João Pedro | Alessio Cragno | Paolo Faragò | Charalampos Lykogiannis | Razvan Marin | Marko Rog,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2021,2020-09-20 Juventus-Sampdoria,14121,2020-09-20 18:45:00,1,1,Juventus,Sampdoria,3,0,0,0,8,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Giorgio Chiellini | Danilo | Weston McKennie | Wojciech Szczesny | Dejan Kulusevski | Leonardo Bonucci | Cristiano Ronaldo | Juan Cuadrado | Aaron Ramsey | Adrien Rabiot | Gianluca Frabotta,Federico Bonazzoli | Bartosz Bereszynski | Emil Audero | Omar Colley | Albin Ekdal | Jakub Jankto | Lorenzo Tonelli | Fabio Depaoli | Morten Thorsby | Mehdi Leris | Tommaso Augello,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2021,2020-09-21 AC Milan-Bologna,14122,2020-09-21 18:45:00,1,1,AC Milan,Bologna,2,0,0,0,9,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Davide Calabria | Ismael Bennacer | Theo Hernández | Zlatan Ibrahimovic | Ante Rebic | Gianluigi Donnarumma | Samu Castillejo | Simon Kjaer | Matteo Gabbia | Hakan Calhanoglu | Franck Kessié,Jerdy Schouten | Danilo | Lukasz Skorupski | Riccardo Orsolini | Musa Barrow | Roberto Soriano | Nicolás Domínguez | Lorenzo De Silvestri | Takehiro Tomiyasu | Mitchell Dijks | Rodrigo Palacio,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,-0.08,0.0
ITA-Serie A,2021,2020-09-26 Torino-Atalanta,14123,2020-09-26 13:00:00,1,2,Torino,Atalanta,2,4,0,0,16,15,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-18,0,2,0,0,0,2,0,0,0,0,0,70.45,0.0,Nicolas N'Koulou | Armando Izzo | Alex Berenguer | Bremer | Cristian Ansaldi | Tomás Rincón | Simone Zaza | Salvatore Sirigu | Andrea Belotti | Soualiho Meité | Karol Linetty,Remo Freuler | Marco Sportiello | Mattia Caldara | Bosko Sutalo | Alejandro Gomez | Duván Zapata | Marten de Roon | Rafael Toloi | Robin Gosens | Hans Hateboer | Luis Muriel,9,11,2,0,0,0,1,0,11,11,1,0,0.62,0.0,-0.62,0.0,1.0,0.0,0,0,0,0,0.62,0.0,0.43,0.0,-0.62,0.0,0.0,0.0,0,1,0,0,0,2,-2,70.45,0.62,0.62,0.43
ITA-Serie A,2021,2020-09-26 Sampdoria-Benevento,14125,2020-09-26 16:00:00,1,2,Sampdoria,Benevento,2,3,0,0,19,14,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-44,0,3,0,0,0,0,0,2,0,1,0,65.45,0.0,Federico Bonazzoli | Bartosz Bereszynski | Emil Audero | Albin Ekdal | Jakub Jankto | Mehdi Leris | Lorenzo Tonelli | Fabio Depaoli | Morten Thorsby | Omar Colley | Tommaso Augello,Gaetano Letizia | Daam Foulon | Pasquale Schiattarella | Gianluca Caprari | Artur Ionita | Kamil Glik | Gabriele Moncini | Luca Caldirola | Lorenzo Montipò | Roberto Insigne | Bryan Dabo,8,11,3,0,0,0,4,0,11,11,1,0,0.61,0.0,-0.61,0.0,0.43,0.0,0,0,0,0,0.43,0.0,0.32,0.0,-0.43,0.0,-0.04,0.0,0,5,0,0,0,3,-3,65.45,0.61,0.43,0.32
ITA-Serie A,2021,2020-09-26 Cagliari-Lazio,14124,2020-09-26 16:00:00,1,2,Cagliari,Lazio,0,2,1,0,10,15,4,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,-42,0,1,0,0,0,0,0,0,0,2,0,76.91,0.0,Giovanni Simeone | Sebastian Walukiewicz | Fabrizio Caligara | Nahitan Nández | Ragnar Klavan | João Pedro | Alessio Cragno | Paolo Faragò | Charalampos Lykogiannis | Razvan Marin | Marko Rog,Lucas Leiva | Francesco Acerbi | Joaquín Correa | Manuel Lazzari | Sergej Milinkovic-Savic | Patric | Luis Alberto | Adam Marusic | Stefan Radu | Thomas Strakosha | Ciro Immobile,10,11,1,0,0,0,3,0,11,11,1,0,0.96,0.0,0.04,0.0,0.87,0.0,0,0,1,0,0.96,0.0,0.85,0.0,-0.96,0.0,0.0,0.0,1,-5,1,0,0,1,-1,76.91,0.96,0.96,0.85
ITA-Serie A,2021,2020-09-26 Inter-Fiorentina,14126,2020-09-26 18:45:00,1,1,Inter,Fiorentina,4,3,0,3,13,7,4,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,-8,0,1,0,0,0,0,0,1,0,0,0.0,80.0,Lautaro Martínez | Romelu Lukaku | Samir Handanovic | Aleksandar Kolarov | Danilo D'Ambrosio | Christian Eriksen | Ivan Perisic | Marcelo Brozovic | Alessandro Bastoni | Ashley Young | Nicolò Barella,Giacomo Bonaventura | Gaetano Castrovilli | Federico Chiesa | Christian Kouamé | Alfred Duncan | Bartlomiej Dragowski | Cristiano Biraghi | Nikola Milenkovic | Federico Ceccherini | Martín Cáceres | Franck Ribéry,11,10,0,1,0,0,0,2,11,11,0,1,0.0,2.35,0.0,-1.35,0.0,0.65,0,0,0,0,0.0,2.22,0.0,2.13,0.0,-2.22,0.0,0.03,-3,6,-3,0,0,-1,1,-80.0,-2.35,-2.22,-2.13
