LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2122,2021-08-21 Inter-Genoa,16757,2021-08-21 16:30:00,1,1,Inter,Genoa,4,0,0,0,1,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Samir Handanovic | Matteo Darmian | Hakan Calhanoglu | Edin Dzeko | Marcelo Brozovic | Milan Skriniar | Stefano Sensi | Nicolò Barella | Stefan de Vrij | Alessandro Bastoni | Ivan Perisic,Nicolo Rovella | Goran Pandev | Stefano Sturaro | Zinho Vanheusden | Andrea Cambiaso | Domenico Criscito | Hernani | Yayah Kallon | Davide Biraschi | Milan Badelj | Salvatore Sirigu,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-21 Verona-Sassuolo,16756,2021-08-21 16:30:00,1,2,Verona,Sassuolo,2,3,0,0,2,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Nicolò Casale | Antonin Barak | Ivor Pandur | Federico Ceccherini | Koray Günter | Darko Lazovic | Miguel Veloso | Pawel Dawidowicz | Mattia Zaccagni | Martin Hongla | Nikola Kalinic,Vlad Chiriches | Jeremie Boga | Jeremy Toljan | Filip Djuricic | Maxime Lopez | Gianmarco Ferrari | Rogerio | Davide Frattesi | Andrea Consigli | Francesco Caputo | Giacomo Raspadori,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-21 Empoli-Lazio,16759,2021-08-21 18:45:00,1,2,Empoli,Lazio,1,3,0,0,3,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Guglielmo Vicario | Nicolas Haas | Nedim Bajrami | Patrick Cutrone | Petar Stojanovic | Riccardo Marchizza | Simone Romagnoli | Samuele Ricci | Filippo Bandinelli | Leonardo Mancuso | Ardian Ismajli,Sergej Milinkovic-Savic | Manuel Lazzari | Ciro Immobile | Jean-Daniel Akpa-Akpro | Felipe Anderson | Lucas Leiva | Elseid Hysaj | Luiz Felipe | Francesco Acerbi | Pedro | José Reina,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-21 Torino-Atalanta,16758,2021-08-21 18:45:00,1,2,Torino,Atalanta,1,2,0,0,4,11,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Rolando Mandragora | Karol Linetty | Ricardo Rodríguez | Koffi Djidji | Bremer | Wilfried Stephane Singo | Antonio Sanabria | Marko Pjaca | Sasa Lukic | Vanja Milinkovic-Savic | Ola Aina,Luis Muriel | Merih Demiral | Robin Gosens | Matteo Pessina | Juan Musso | Berat Gjimshiti | Ruslan Malinovskiy | José Luis Palomino | Mario Pasalic | Josip Ilicic | Joakim Maehle,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,1,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-22 Bologna-Salernitana,16760,2021-08-22 16:30:00,1,1,Bologna,Salernitana,3,2,0,0,5,14,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Lorenzo De Silvestri | Musa Barrow | Roberto Soriano | Aaron Hickey | Jerdy Schouten | Riccardo Orsolini | Kevin Bonifazi | Gary Medel | Marko Arnautovic | Nicolás Domínguez | Lukasz Skorupski,Norbert Gyömbér | Lassana Coulibaly | Milan Djuric | Leonardo Capezzi | Mamadou Coulibaly | Wajdi Kechrida | Stefan Strandberg | Vid Belec | Federico Bonazzoli | Pawel Jaroszynski | Matteo Ruggeri,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,-1,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-22 Udinese-Juventus,16761,2021-08-22 16:30:00,1,X,Udinese,Juventus,2,2,0,0,6,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ignacio Pussetto | Tolgay Arslan | Bram Nuytinck | Jean-Victor Makengo | Walace | Roberto Pereyra | Rodrigo Becão | Nahuel Molina | Samir | Marco Silvestri | Iyenoma Destiny Udogie,Paulo Dybala | Alex Sandro | Leonardo Bonucci | Juan Cuadrado | Matthijs de Ligt | Wojciech Szczesny | Aaron Ramsey | Rodrigo Bentancur | Danilo | Álvaro Morata | Federico Bernardeschi,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-22 Napoli-Venezia,16762,2021-08-22 18:45:00,1,1,Napoli,Venezia,2,0,0,0,8,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Stanislav Lobotka | Piotr Zielinski | Alex Meret | Fabián | Lorenzo Insigne | Matteo Politano | Kalidou Koulibaly | Kostas Manolas | Mário Rui | Giovanni Di Lorenzo | Victor Osimhen,Luca Fiordilino | Tyronne Ebuehi | Cristian Molinaro | Mattia Caldara | Dor Peretz | Francesco Forte | Pietro Ceccaroni | Niki Mäenpää | Francesco Di Mariano | Daan Heymans | Dennis Johnsen,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-22 Roma-Fiorentina,16763,2021-08-22 18:45:00,1,1,Roma,Fiorentina,3,1,0,0,9,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jordan Veretout | Tammy Abraham | Rui Patrício | Ibañez | Henrikh Mkhitaryan | Rick Karsdorp | Gianluca Mancini | Bryan Cristante | Lorenzo Pellegrini | Matias Viña | Nicolo Zaniolo,Dusan Vlahovic | Erick Pulgar | José Callejón | Nikola Milenkovic | Bartlomiej Dragowski | Nicolás González | Giacomo Bonaventura | Youssef Maleh | Igor Julio | Lorenzo Venuti | Cristiano Biraghi,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-23 Cagliari-Spezia,16764,2021-08-23 16:30:00,1,X,Cagliari,Spezia,2,2,0,0,10,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Andrea Carboni | Alessandro Deiola | Leonardo Pavoletti | Diego Godín | Nahitan Nández | Alessio Cragno | Sebastian Walukiewicz | Dalbert | João Pedro | Razvan Marin | Kevin Strootman,Simone Bastoni | Petko Hristov | Salvador Ferrer | Kelvin Adou | Martin Erlic | Dimitris Nikolaou | Emmanuel Gyasi | Daniele Verde | Jeroen Zoet | Ebrima Colley | Giulio Maggiore,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-23 Sampdoria-AC Milan,16765,2021-08-23 18:45:00,1,2,Sampdoria,AC Milan,0,1,0,0,12,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Tommaso Augello | Antonio Candreva | Fabio Quagliarella | Mikkel Damsgaard | Morten Thorsby | Maya Yoshida | Albin Ekdal | Bartosz Bereszynski | Manolo Gabbiadini | Emil Audero | Omar Colley,Davide Calabria | Sandro Tonali | Alexis Saelemaekers | Olivier Giroud | Theo Hernández | Fikayo Tomori | Rade Krunic | Simon Kjaer | Mike Maignan | Rafael Leão | Brahim Diaz,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,2021-08-27 Udinese-Venezia,16766,2021-08-27 16:30:00,1,1,Udinese,Venezia,3,0,1,0,9,19,4,5,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,2,1,1,-31,-37,1,7,0,1,1,2,0,2,0,2,80.45,34.82,Ignacio Pussetto | Tolgay Arslan | Bram Nuytinck | Jean-Victor Makengo | Walace | Roberto Pereyra | Samir | Nahuel Molina | Rodrigo Becão | Marco Silvestri | Iyenoma Destiny Udogie,Luca Fiordilino | Tyronne Ebuehi | Mattia Caldara | Francesco Forte | Dor Peretz | Pietro Ceccaroni | Dennis Johnsen | Cristian Molinaro | Daan Heymans | Francesco Di Mariano | Niki Mäenpää,10,4,1,6,0,1,1,5,11,11,1,0,2.09,0.61,-0.09,-0.61,0.7,0.85,2,0,-2,0,1.57,0.09,0.31,0.43,-1.57,-0.09,-0.07,0.51,1,-10,1,0,0,-6,6,45.63,1.48,1.48,-0.12
