LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2223,2022-08-13 AC Milan-Udinese,18582,2022-08-13 16:30:00,1,1,AC Milan,Udinese,4,2,0,0,1,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Fikayo Tomori | Brahim Diaz | Theo Hernández | Ismael Bennacer | Pierre Kalulu Kyatengwa | Rafael Leão | Junior Messias | Mike Maignan | Rade Krunic | Davide Calabria | Ante Rebic,Brandon Soppy | Rodrigo Becão | Marco Silvestri | Gerard Deulofeu | Jean-Victor Makengo | Isaac Success | Walace | Bram Nuytinck | Nehuén Pérez | Roberto Pereyra | Adam Masina,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-13 Sampdoria-Atalanta,18583,2022-08-13 16:30:00,1,2,Sampdoria,Atalanta,0,2,0,0,2,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ronaldo Vieira | Alex Ferrari | Tommaso Augello | Mehdi Leris | Filip Djuricic | Abdelhamid Sabiri | Bartosz Bereszynski | Tomás Rincón | Francesco Caputo | Emil Audero | Omar Colley,Marten de Roon | Mario Pasalic | Teun Koopmeiners | Berat Gjimshiti | Caleb Okoli | Hans Hateboer | Luis Muriel | Juan Musso | Duván Zapata | Rafael Toloi | Joakim Maehle,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-13 Lecce-Inter,18585,2022-08-13 18:45:00,1,2,Lecce,Inter,1,2,0,0,3,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Federico Baschirotto | Kristijan Bistrovic | Gabriel Strefezza | Morten Hjulmand | Yildirim Mert Cetin | Federico Di Francesco | Valentin Gendrey | Assan Ceesay | Joan Gonzàlez | Wladimiro Falcone | Antonino Gallo,Lautaro Martínez | Hakan Calhanoglu | Federico Dimarco | Nicolò Barella | Samir Handanovic | Stefan de Vrij | Milan Skriniar | Matteo Darmian | Robin Gosens | Romelu Lukaku | Marcelo Brozovic,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-13 Monza-Torino,18584,2022-08-13 18:45:00,1,2,Monza,Torino,1,2,0,0,4,11,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Mattia Valoti | Samuele Birindelli | Marlon Santos | Gianluca Caprari | Andrea Petagna | Marco D'Alessandro | Andrea Barberis | Filippo Ranocchia | Carlos Augusto | Michele Di Gregorio | Pablo Marí,Antonio Sanabria | Aleksey Miranchuk | Vanja Milinkovic-Savic | Ricardo Rodríguez | Samuele Ricci | Wilfried Stephane Singo | Nemanja Radonjic | Karol Linetty | Ndary Adopo | Ola Aina | Koffi Djidji,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,1,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-14 Fiorentina-Cremonese,18587,2022-08-14 16:30:00,1,1,Fiorentina,Cremonese,3,2,0,0,5,16,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Pierluigi Gollini | Cristiano Biraghi | Giacomo Bonaventura | Nikola Milenkovic | Riccardo Sottil | Marco Benassi | Youssef Maleh | Christian Kouamé | Lucas Martínez Quarta | Sofyan Amrabat | Luka Jovic,David Okereke | Cyriel Dessers | Vlad Chiriches | Luca Zanimacchia | Matteo Bianchetti | Ionut Radu | Leonardo Sernicola | Charles Pickel | Johan Vásquez | Gonzalo Escalante | Paolo Ghiglione,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11,0,0,-1,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-14 Lazio-Bologna,18586,2022-08-14 16:30:00,1,1,Lazio,Bologna,2,1,0,0,6,14,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Alessio Romagnoli | Patric | Luís Maximiano | Ciro Immobile | Sergej Milinkovic-Savic | Adam Marusic | Danilo Cataldi | Toma Basic | Manuel Lazzari | Mattia Zaccagni | Felipe Anderson,Nicolás Domínguez | Andrea Cambiaso | Marko Arnautovic | Charalampos Lykogiannis | Jerdy Schouten | Lukasz Skorupski | Adama Soumaoro | Roberto Soriano | Lorenzo De Silvestri | Nicola Sansone | Gary Medel,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,-1,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-14 Salernitana-Roma,18589,2022-08-14 18:45:00,1,2,Salernitana,Roma,0,1,0,0,7,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Federico Fazio | Pasquale Mazzocchi | Luigi Sepe | Erik Botheim | Grigoris Kastanos | Federico Bonazzoli | Lassana Coulibaly | Tonny Vilhena | Dylan Bronn | Antonio Candreva | Norbert Gyömbér,Gianluca Mancini | Tammy Abraham | Leonardo Spinazzola | Rui Patrício | Chris Smalling | Lorenzo Pellegrini | Paulo Dybala | Ibañez | Rick Karsdorp | Nicolo Zaniolo | Bryan Cristante,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-14 Spezia-Empoli,18588,2022-08-14 18:45:00,1,1,Spezia,Empoli,1,0,0,0,8,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,M'Bala Nzola | Mattia Caldara | Dimitris Nikolaou | Mehdi Bourabia | Daniele Verde | Simone Bastoni | Bartlomiej Dragowski | Arkadiusz Reca | Jakub Kiwior | Kevin Agudelo | Emmanuel Gyasi,Petar Stojanovic | Filippo Bandinelli | Guglielmo Vicario | Liam Henderson | Mattia Destro | Sebastiano Luperto | Fabiano Parisi | Nedim Bajrami | Razvan Marin | Sam Lammers | Ardian Ismajli,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-15 Verona-Napoli,18590,2022-08-15 16:30:00,1,2,Verona,Napoli,2,5,0,0,9,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Bruno Amione | Marco Faraoni | Darko Lazovic | Adrien Tameze | Koray Günter | Thomas Henry | Lorenzo Montipò | Martin Hongla | Pawel Dawidowicz | Ivan Ilic | Kevin Lasagna,Mário Rui | Alex Meret | Stanislav Lobotka | Victor Osimhen | Amir Rrahmani | Giovanni Di Lorenzo | Franck Zambo | Piotr Zielinski | Hirving Lozano | Kim Min-Jae | Khvicha Kvaratskhelia,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-15 Juventus-Sassuolo,18591,2022-08-15 18:45:00,1,1,Juventus,Sassuolo,3,0,0,0,10,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Juan Cuadrado | Mattia Perin | Denis Zakaria | Ángel Di María | Alex Sandro | Weston McKennie | Leonardo Bonucci | Dusan Vlahovic | Danilo | Manuel Locatelli | Bremer,Davide Frattesi | Georgios Kyriakopoulos | Kristian Thorstvedt | Kaan Ayhan | Mert Müldür | Rogerio | Matheus Henrique | Andrea Consigli | Gianmarco Ferrari | Domenico Berardi | Gregoire Defrel,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,2022-08-20 Torino-Lazio,18592,2022-08-20 16:30:00,1,X,Torino,Lazio,0,0,3,3,8,6,4,3,3,3,0,0,0,0,2,2,0,1,0,1,0,0,0,0,4,5,0,2,0,0,1,3,0,0,-43,-85,2,2,0,1,1,0,1,1,0,0,76.64,79.09,Antonio Sanabria | Vanja Milinkovic-Savic | Aleksey Miranchuk | Ricardo Rodríguez | Samuele Ricci | Wilfried Stephane Singo | Nemanja Radonjic | Karol Linetty | Ndary Adopo | Ola Aina | Koffi Djidji,Alessio Romagnoli | Patric | Ciro Immobile | Sergej Milinkovic-Savic | Adam Marusic | Danilo Cataldi | Luis Alberto | Mattia Zaccagni | Manuel Lazzari | Felipe Anderson | Ivan Provedel,9,10,1,1,1,0,3,1,11,11,1,0,3.43,0.71,-1.43,1.29,0.69,0.85,0,0,2,2,3.0,0.69,2.55,0.63,-3.0,-0.69,0.43,0.0,0,2,0,0,0,0,-1,-2.450000000000003,2.72,2.31,1.92
