LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2324,2023-08-19 Empoli-Verona,22305,2023-08-19 16:30:00,1,2,Empoli,Verona,0,1,0,0,1,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Razvan Marin | Sebastiano Luperto | Elia Caprile | Emmanuel Gyasi | Tommaso Baldanzi | Liberato Cacace | Matteo Cancellieri | Ardian Ismajli | Tyronne Ebuehi | Francesco Caputo | Alberto Grassi,Diego Coppola | Ondrej Duda | Giangiacomo Magnani | Martin Hongla | Josh Doig | Filippo Terracciano | Michael Folorunsho | Cyril Ngonge | Lorenzo Montipò | Pawel Dawidowicz | Jordi Mboula,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-19 Frosinone-Napoli,22306,2023-08-19 16:30:00,1,2,Frosinone,Napoli,1,3,0,0,2,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Francesco Gelli | Stefano Turati | Ilario Monterisi | Simone Romagnoli | Riccardo Marchizza | Abdou Harroui | Jaime Báez | Marvin Çuni | Anthony Oyono | Luca Mazzitelli | Giuseppe Caso,Victor Osimhen | Jens Cajuste | Piotr Zielinski | Mathías Olivera | Giacomo Raspadori | Matteo Politano | Amir Rrahmani | Stanislav Lobotka | Alex Meret | Giovanni Di Lorenzo | Juan Jesus,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-19 Genoa-Fiorentina,22308,2023-08-19 18:45:00,1,2,Genoa,Fiorentina,1,4,0,0,3,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Mateo Retegui | Morten Frendrup | Mattia Bani | Josep Martínez | Milan Badelj | Aarón Martín | Davide Biraschi | Silvan Hefti | Radu Dragusin | Morten Thorsby | Albert Gudmundsson,M'Bala Nzola | Arthur | Josip Brekalo | Michael Kayode | Nicolás González | Rolando Mandragora | Luca Ranieri | Nikola Milenkovic | Pietro Terracciano | Giacomo Bonaventura | Cristiano Biraghi,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-19 Inter-Monza,22307,2023-08-19 18:45:00,1,1,Inter,Monza,2,0,0,0,4,11,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Federico Dimarco | Nicolò Barella | Lautaro Martínez | Yann Sommer | Denzel Dumfries | Marcus Thuram | Henrikh Mkhitaryan | Hakan Calhanoglu | Matteo Darmian | Alessandro Bastoni | Stefan de Vrij,Danilo D'Ambrosio | Mirko Maric | Pablo Marí | Patrick Ciurria | Andrea Colpani | Gianluca Caprari | Georgios Kyriakopoulos | Matteo Pessina | Michele Di Gregorio | Luca Caldirola | Roberto Gagliardini,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7,0,0,-1,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-20 Roma-Salernitana,22309,2023-08-20 16:30:00,1,X,Roma,Salernitana,2,2,0,0,5,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Gianluca Mancini | Rui Patrício | Houssem Aouar | Andrea Belotti | Chris Smalling | Leonardo Spinazzola | Rasmus Kristensen | Stephan El Shaarawy | Diego Llorente | Edoardo Bove | Bryan Cristante,Federico Fazio | Grigoris Kastanos | Giulio Maggiore | Domagoj Bradaric | Lassana Coulibaly | Antonio Candreva | Matteo Lovato | Pasquale Mazzocchi | Norbert Gyömbér | Erik Botheim | Guillermo Ochoa,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-20 Sassuolo-Atalanta,22310,2023-08-20 16:30:00,1,2,Sassuolo,Atalanta,0,2,0,0,7,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jeremy Toljan | Armand Lauriente | Gregoire Defrel | Andrea Pinamonti | Matias Viña | Matheus Henrique | Maxime Lopez | Mattia Viti | Nedim Bajrami | Martin Erlic | Andrea Consigli,Sead Kolasinac | Berat Gjimshiti | Mario Pasalic | Duván Zapata | Ademola Lookman | Matteo Ruggeri | Juan Musso | Teun Koopmeiners | Giorgio Scalvini | Davide Zappacosta | Marten de Roon,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-20 Lecce-Lazio,22312,2023-08-20 18:45:00,1,1,Lecce,Lazio,2,1,0,0,8,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Lameck Banda | Wladimiro Falcone | Marin Pongracic | Hamza Rafia | Valentin Gendrey | Ylber Ramadani | Joan Gonzàlez | Pontus Almqvist | Patrick Dorgu | Federico Baschirotto | Gabriel Strefezza,Mattia Zaccagni | Alessio Romagnoli | Adam Marusic | Daichi Kamada | Manuel Lazzari | Ciro Immobile | Luis Alberto | Patric | Danilo Cataldi | Ivan Provedel | Felipe Anderson,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-20 Udinese-Juventus,22311,2023-08-20 18:45:00,1,2,Udinese,Juventus,0,3,0,0,9,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Jaka Bijol | Beto | Sandi Lovric | Walace | Florian Thauvin | Marco Silvestri | Oier Zarraga | Festy Ebosele | Hassane Kamara | Christian Kabasele | Nehuén Pérez,Wojciech Szczesny | Andrea Cambiaso | Alex Sandro | Federico Chiesa | Dusan Vlahovic | Bremer | Manuel Locatelli | Timothy Weah | Fabio Miretti | Danilo | Adrien Rabiot,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-21 Torino-Cagliari,22313,2023-08-21 16:30:00,1,X,Torino,Cagliari,0,0,0,0,10,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Raoul Bellanova | Perr Schuurs | Ricardo Rodríguez | Yann Karamoh | Vanja Milinkovic-Savic | Antonio Sanabria | Mergim Vojvoda | Alessandro Buongiorno | Samuele Ricci | Nikola Vlasic | Ivan Ilic,Paulo Azzi | Edoardo Goldaniga | Gaetano Oristanio | Sulemana | Antoine Makoumbou | Adam Obert | Gabriele Zappa | Zito | Nahitan Nández | Boris Radunovic | Alberto Dossena,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-21 Bologna-AC Milan,22314,2023-08-21 18:45:00,1,2,Bologna,AC Milan,0,2,0,0,12,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Lukasz Skorupski | Nikola Moro | Charalampos Lykogiannis | Dan Ndoye | Joshua Zirkzee | Jhon Lucumí | Sam Beukema | Stefan Posch | Michel Aebischer | Lewis Ferguson | Nicolás Domínguez,Davide Calabria | Fikayo Tomori | Ruben Loftus-Cheek | Malick Thiaw | Rade Krunic | Rafael Leão | Theo Hernández | Tijjani Reijnders | Olivier Giroud | Mike Maignan | Christian Pulisic,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,2023-08-26 Frosinone-Atalanta,22315,2023-08-26 16:30:00,1,1,Frosinone,Atalanta,2,1,0,3,15,6,4,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,1,0,0,-19,-41,3,1,1,0,0,0,1,3,2,0,63.55,78.18,Francesco Gelli | Stefano Turati | Ilario Monterisi | Simone Romagnoli | Riccardo Marchizza | Abdou Harroui | Jaime Báez | Marvin Çuni | Anthony Oyono | Luca Mazzitelli | Giuseppe Caso,Sead Kolasinac | Berat Gjimshiti | Mario Pasalic | Duván Zapata | Matteo Ruggeri | Ademola Lookman | Juan Musso | Teun Koopmeiners | Giorgio Scalvini | Davide Zappacosta | Marten de Roon,8,10,2,1,1,0,5,1,11,11,0,1,0.87,1.5,0.13,0.5,1.0,0.82,0,3,0,0,0.83,0.71,0.07,1.16,-0.83,-0.71,0.04,-0.13,-3,9,-3,0,0,2,-2,-14.63000000000001,-0.63,0.12,-1.0899999999999999
