LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2425,2024-08-17 Genoa-Inter,27362,2024-08-17 16:30:00,1,X,Genoa,Inter,2,2,0,0,1,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Morten Frendrup | Koni de Winter | Pierluigi Gollini | Junior Messias | Ruslan Malinovskiy | Alessandro Zanoli | Mattia Bani | Alessandro Vogliacco | Milan Badelj | Vitinha | Aarón Martín,Henrikh Mkhitaryan | Matteo Darmian | Nicolò Barella | Alessandro Bastoni | Federico Dimarco | Yann Sommer | Hakan Calhanoglu | Francesco Acerbi | Lautaro Martínez | Yann Bisseck | Marcus Thuram,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-17 Parma Calcio 1913-Fiorentina,27363,2024-08-17 16:30:00,1,X,Parma Calcio 1913,Fiorentina,1,1,0,0,3,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Emanuele Valeri | Botond Balogh | Mihai Valentin Mihaila | Woyo Coulibaly | Ange-Yoan Bonny | Simon Sohm | Adrián Bernabé | Alessandro Circati | Nahuel Estévez | Zion Suzuki | Dennis Man,Dodô | Marin Pongracic | Andrea Colpani | Pietro Terracciano | Pietro Comuzzo | Cristiano Biraghi | Moise Kean | Rolando Mandragora | Lucas Martínez Quarta | Christian Kouamé | Sofyan Amrabat,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-17 AC Milan-Torino,27365,2024-08-17 18:45:00,1,X,AC Milan,Torino,2,2,0,0,5,15,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Alexis Saelemaekers | Ismael Bennacer | Rafael Leão | Luka Jovic | Ruben Loftus-Cheek | Christian Pulisic | Davide Calabria | Samuel Chukwueze | Fikayo Tomori | Malick Thiaw | Mike Maignan,Samuele Ricci | Duván Zapata | Valentino Lazaro | Raoul Bellanova | Saúl Coco | Vanja Milinkovic-Savic | Antonio Sanabria | Ivan Ilic | Karol Linetty | Mergim Vojvoda | Adam Masina,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0,0,-1,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-17 Empoli-Monza,27364,2024-08-17 18:45:00,1,X,Empoli,Monza,0,0,0,0,7,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Devis Vásquez | Sebastian Walukiewicz | Youssef Maleh | Emmanuel Gyasi | Mattia Viti | Sebastiano Esposito | Jacopo Fazzini | Liam Henderson | Ardian Ismajli | Lorenzo Colombo | Giuseppe Pezzella,Luca Caldirola | Georgios Kyriakopoulos | Samuele Vignato | Andrea Petagna | Samuele Birindelli | Semuel Pizzignacco | Pablo Marí | Warren Bondo | Matteo Pessina | Armando Izzo | Daniel Maldini,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-18 Bologna-Udinese,27367,2024-08-18 16:30:00,1,X,Bologna,Udinese,1,1,0,0,9,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Remo Freuler | Giovanni Fabbian | Riccardo Orsolini | Dan Ndoye | Lukasz Skorupski | Charalampos Lykogiannis | Stefan Posch | Sam Beukema | Martin Erlic | Nikola Moro | Santiago Castro,Jaka Bijol | Kingsley Ehizibue | Brenner | Martín Payero | Sandi Lovric | Hassane Kamara | Florian Thauvin | Lorenzo Lucca | Lautaro Giannetti | Nehuén Pérez | Maduka Okoye,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-18 Verona-Napoli,27366,2024-08-18 16:30:00,1,1,Verona,Napoli,3,0,0,0,11,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Pawel Dawidowicz | Dailon Livramento | Suat Serdar | Lorenzo Montipò | Grigoris Kastanos | Casper Tengstedt | Martin Frese | Diego Coppola | Ondrej Duda | Jackson Tchatchoua | Darko Lazovic,Alex Meret | Khvicha Kvaratskhelia | Franck Zambo | Pasquale Mazzocchi | Amir Rrahmani | Stanislav Lobotka | Giovanni Simeone | Matteo Politano | Juan Jesus | Giovanni Di Lorenzo | Leonardo Spinazzola,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-18 Cagliari-Roma,27368,2024-08-18 18:45:00,1,X,Cagliari,Roma,0,0,0,0,12,16,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Roberto Piccoli | Matteo Prati | Gabriele Zappa | Paulo Azzi | Razvan Marin | Simone Scuffet | Alessandro Deiola | Sebastiano Luperto | Tommaso Augello | Zito | Mateusz Wieteska,Gianluca Mancini | Bryan Cristante | Evan Ndicka | Enzo Le Fée | Lorenzo Pellegrini | Mile Svilar | Nicola Zalewski | Mehmet Zeki Çelik | Angelino | Artem Dovbyk | Matìas Soulè Malvano,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0,0,1,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-18 Lazio-Venezia,27369,2024-08-18 18:45:00,1,1,Lazio,Venezia,3,1,0,0,14,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Mattia Zaccagni | Valentín Castellanos | Manuel Lazzari | Ivan Provedel | Alessio Romagnoli | Adam Marusic | Nicolò Casale | Nicolo Rovella | Matteo Guendouzi | Tijjani Noslin | Fisayo Dele-Bashiru,Mikael Ellertsson | Francesco Zampano | Michael Svoboda | Alfred Duncan | Giorgio Altare | Magnus Kofod Andersen | Richie Sagrado | Jesse Joronen | Gaetano Oristanio | Christian Gytkjær | Marin Sverko,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-19 Lecce-Atalanta,27370,2024-08-19 16:30:00,1,2,Lecce,Atalanta,0,4,0,0,15,18,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Balthazar Pierret | Tete Morente | Hamza Rafia | Federico Baschirotto | Kialonda Gaspar | Patrick Dorgu | Valentin Gendrey | Ylber Ramadani | Antonino Gallo | Wladimiro Falcone | Nikola Krstovic,Juan Musso | Isak Hien | Mario Pasalic | Charles De Ketelaere | Marco Brescianini | Éderson | Matteo Ruggeri | Marten de Roon | Mateo Retegui | Berat Gjimshiti | Davide Zappacosta,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-19 Juventus-Como,27371,2024-08-19 18:45:00,1,1,Juventus,Como,3,0,0,0,16,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Dusan Vlahovic | Andrea Cambiaso | Bremer | Samuel Mbangula | Kephren Thuram | Timothy Weah | Manuel Locatelli | Federico Gatti | Michele Di Gregorio | Juan Cabal | Kenan Yildiz,Federico Barba | Edoardo Goldaniga | Alberto Moreno | José Reina | Marco Sala | Lucas Da Cunha | Matthias Braunöder | Patrick Cutrone | Andrea Belotti | Gabriel Strefezza | Daniele Baselli,11,11,0,0,0,0,0,0,11,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0
ITA-Serie A,2425,2024-08-24 Parma Calcio 1913-AC Milan,27372,2024-08-24 16:30:00,1,1,Parma Calcio 1913,AC Milan,2,1,1,1,7,8,3,4,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,2,0,1,-23,-27,0,5,0,0,0,2,0,2,0,2,81.91,53.91,Emanuele Valeri | Botond Balogh | Mihai Valentin Mihaila | Woyo Coulibaly | Ange-Yoan Bonny | Simon Sohm | Adrián Bernabé | Alessandro Circati | Zion Suzuki | Nahuel Estévez | Dennis Man,Alexis Saelemaekers | Ismael Bennacer | Rafael Leão | Ruben Loftus-Cheek | Luka Jovic | Christian Pulisic | Davide Calabria | Samuel Chukwueze | Fikayo Tomori | Malick Thiaw | Mike Maignan,11,6,0,5,0,0,0,3,11,11,1,1,1.86,2.14,-0.86,-0.14,0.62,0.46,0,3,1,-2,1.47,1.85,0.8,0.97,-1.47,-1.85,0.0,-0.34,0,-1,0,0,0,-5,5,28.0,-0.28,-0.3800000000000001,-0.16999999999999993
