league,season,n_clubs,n_sub_clubs,entropy,hhi,mco_rate,state_link_rate,prop_member-owned,count_member-owned,prop_domestic private,count_domestic private,prop_foreign private,count_foreign private,prop_investment fund,count_investment fund,prop_hybrid,count_hybrid,prop_corporate-MCO,count_corporate-MCO,prop_state-linked,count_state-linked
Bundesliga,2019,18,17,1.1185405956431655,0.4532871972318339,0.05555555555555555,0.05555555555555555,0.6470588235294118,11,0.11764705882352941,2,0.0,0,0.0,0,0.11764705882352941,2,0.058823529411764705,1,0.058823529411764705,1
Bundesliga,2020,18,17,1.1185405956431655,0.4532871972318339,0.05555555555555555,0.05555555555555555,0.6470588235294118,11,0.11764705882352941,2,0.0,0,0.0,0,0.11764705882352941,2,0.058823529411764705,1,0.058823529411764705,1
Bundesliga,2021,18,17,1.1185405956431655,0.4532871972318339,0.05555555555555555,0.05555555555555555,0.6470588235294118,11,0.11764705882352941,2,0.0,0,0.0,0,0.11764705882352941,2,0.058823529411764705,1,0.058823529411764705,1
Bundesliga,2022,18,17,1.1185405956431655,0.4532871972318339,0.05555555555555555,0.05555555555555555,0.6470588235294118,11,0.11764705882352941,2,0.0,0,0.0,0,0.11764705882352941,2,0.058823529411764705,1,0.058823529411764705,1
Bundesliga,2023,18,18,1.0797346179130656,0.47530864197530864,0.05555555555555555,0.05555555555555555,0.6666666666666666,12,0.1111111111111111,2,0.0,0,0.0,0,0.1111111111111111,2,0.05555555555555555,1,0.05555555555555555,1
Bundesliga,2024,18,18,1.0506652765928128,0.4814814814814815,0.05555555555555555,0.05555555555555555,0.6666666666666666,12,0.05555555555555555,1,0.0,0,0.0,0,0.16666666666666666,3,0.05555555555555555,1,0.05555555555555555,1
LaLiga,2019,20,20,1.6364955728889845,0.21000000000000002,0.2,0.0,0.2,4,0.2,4,0.25,5,0.05,1,0.25,5,0.05,1,0.0,0
LaLiga,2020,20,20,1.62642781611364,0.21500000000000002,0.15,0.0,0.2,4,0.2,4,0.2,4,0.05,1,0.3,6,0.05,1,0.0,0
LaLiga,2021,20,20,1.6364955728889845,0.21000000000000002,0.2,0.0,0.2,4,0.25,5,0.25,5,0.05,1,0.2,4,0.05,1,0.0,0
LaLiga,2022,20,20,1.6796478837567514,0.2,0.15,0.1,0.2,4,0.25,5,0.25,5,0.05,1,0.15,3,0.0,0,0.1,2
LaLiga,2023,20,20,1.7820471559051687,0.19,0.2,0.1,0.2,4,0.3,6,0.15,3,0.05,1,0.15,3,0.05,1,0.1,2
LaLiga,2024,20,20,1.8047484896412984,0.18000000000000002,0.25,0.05,0.2,4,0.25,5,0.2,4,0.05,1,0.15,3,0.1,2,0.05,1
Ligue 1,2019,20,19,1.0160085311135825,0.5013850415512465,0.1,0.05,0.0,0,0.6842105263157895,13,0.15789473684210525,3,0.05263157894736842,1,0.0,0,0.05263157894736842,1,0.05263157894736842,1
Ligue 1,2020,20,19,1.0160085311135825,0.5013850415512465,0.1,0.05,0.0,0,0.6842105263157895,13,0.15789473684210525,3,0.05263157894736842,1,0.0,0,0.05263157894736842,1,0.05263157894736842,1
Ligue 1,2021,20,19,1.156135669649826,0.4349030470914127,0.2,0.1,0.0,0,0.631578947368421,12,0.10526315789473684,2,0.10526315789473684,2,0.0,0,0.05263157894736842,1,0.10526315789473684,2
Ligue 1,2022,20,20,1.4455413224005405,0.31000000000000005,0.25,0.1,0.0,0,0.5,10,0.15,3,0.15,3,0.05,1,0.05,1,0.1,2
Ligue 1,2023,18,18,1.397991702060472,0.29012345679012347,0.3333333333333333,0.05555555555555555,0.0,0,0.4444444444444444,8,0.16666666666666666,3,0.2222222222222222,4,0.0,0,0.1111111111111111,2,0.05555555555555555,1
Ligue 1,2024,18,18,1.4264444338582805,0.271604938271605,0.2777777777777778,0.05555555555555555,0.0,0,0.3888888888888889,7,0.2777777777777778,5,0.16666666666666666,3,0.0,0,0.1111111111111111,2,0.05555555555555555,1
Premier League,2019,20,20,1.482887104712697,0.245,0.5,0.05,0.0,0,0.2,4,0.35,7,0.0,0,0.2,4,0.2,4,0.05,1
Premier League,2020,20,20,1.4446460691338838,0.26500000000000007,0.45,0.05,0.0,0,0.2,4,0.4,8,0.0,0,0.15,3,0.2,4,0.05,1
Premier League,2021,20,20,1.6264278161136403,0.21500000000000002,0.5,0.05,0.0,0,0.2,4,0.3,6,0.05,1,0.2,4,0.2,4,0.05,1
Premier League,2022,20,20,1.7127324378491742,0.195,0.55,0.1,0.0,0,0.15,3,0.3,6,0.1,2,0.15,3,0.2,4,0.1,2
Premier League,2023,20,20,1.735433771585304,0.18500000000000003,0.55,0.1,0.0,0,0.2,4,0.25,5,0.1,2,0.15,3,0.2,4,0.1,2
Premier League,2024,20,20,1.7524236752648437,0.18,0.6,0.1,0.0,0,0.15,3,0.2,4,0.15,3,0.15,3,0.25,5,0.1,2
Serie A,2019,20,19,0.7659373365785205,0.5401662049861495,0.1,0.0,0.0,0,0.6842105263157895,13,0.2631578947368421,5,0.05263157894736842,1,0.0,0,0.0,0,0.0,0
Serie A,2020,20,20,0.926155713095467,0.49000000000000005,0.15,0.0,0.0,0,0.65,13,0.25,5,0.05,1,0.0,0,0.05,1,0.0,0
Serie A,2021,20,20,0.9672604429127742,0.45499999999999996,0.15,0.0,0.0,0,0.6,12,0.3,6,0.05,1,0.0,0,0.05,1,0.0,0
Serie A,2022,20,20,1.1024288055726656,0.43,0.2,0.0,0.0,0,0.6,12,0.25,5,0.05,1,0.05,1,0.05,1,0.0,0
Serie A,2023,20,20,1.1024288055726656,0.43,0.25,0.0,0.0,0,0.6,12,0.25,5,0.05,1,0.05,1,0.05,1,0.0,0
Serie A,2024,20,20,1.3308239368722865,0.315,0.3,0.0,0.0,0,0.45,9,0.3,6,0.1,2,0.05,1,0.1,2,0.0,0
