club_id,club_name,league,start_owner,end_owner,dates,op_type,final_model,final_mco,final_state
533,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,Bundesliga,Dietmar Hopp,TSG 1899 Hoffenheim e.V. (voting control); Dietmar Hopp retained major economic stake,2023-11-29,Voting-control transfer / 50+1 restoration,hybrid,0,0
1244,CD Leganés,LaLiga,Moreno Pavon family,Blue Crow Sports Group,2022-06-23,Share acquisition / takeover,corporate-MCO,1,0
1531,Elche Club de Fútbol S.A.D.,LaLiga,Jose Sepulcre-led structure,Christian Bragarnik,2019-12-03,Share acquisition / takeover,foreign private,0,0
237,Real Club Deportivo Mallorca S.A.D.,LaLiga,Robert Sarver-led ownership group,Andy Kohlberg-led ownership group,2023-08-22,Internal control transfer plus minority investment,foreign private,0,0
366,Real Valladolid CF,LaLiga,Ronaldo Nazario,Ignite Sports Ventures / Gabriel Solares-led group,2025-06-26,Share acquisition / takeover,foreign private,0,0
714,Reial Club Deportiu Espanyol de Barcelona S.A.D.,LaLiga,Rastar Group / Chen Yansheng,Velocity Sports Partners / ALK Capital,2025-10-09,Share acquisition / takeover,investment fund,1,0
3302,UD Almería,LaLiga,Alfonso Garcia,SMC Group / Mohamed Al-Khereiji,2019-08-02; 2025-05-16,Two successive takeovers,state-linked,0,1
618,AS Saint-Étienne,Ligue 1,Roland Romeyer and Bernard Caiazzo,Kilmer Sports Ventures / Larry Tanenbaum,2024-06-03,Share acquisition / takeover,foreign private,0,0
3524,Clermont Foot 63,Ligue 1,Claude Michy,Ahmet Schaefer / Core Sports Capital,2019-03-13,Share acquisition / takeover,investment fund,1,0
2969,Dijon FCO,Ligue 1,Olivier Delcourt,Pierre-Henri Deballon,2024-07-02,Share acquisition / takeover,unknown,0,0
1095,ESTAC Troyes,Ligue 1,Daniel Masoni,City Football Group,2020-09-02,Share acquisition / takeover,state-linked,1,2
40,FC Girondins Bordeaux,Ligue 1,King Street-controlled structure,Gerard Lopez,2021-07-23,Rescue acquisition / takeover,unknown,0,0
